#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cydC//gltU//galK//cynS//
AlaS-L-alanine	adiC//
AllS-allantoin	acrD//fhuA//cynT//
AraC-L-arabinose	napH//gabT//cydC//tdcA//phoB//sodB//rprA//bdcA//phnO//hupA//lldR//appB//cadB//prpD//
ArcA-Phosphorylated	yfeW//sufS//livF//citE//rpsS//mtr//gcvT//chbG//nuoB//motB//psiE//recF//cpdB//yhfA//acrF//ubiC//uxuR//ssrS//ampE//hydN//ccmC//rimM//agaA//nirB//atoA//gcvP//araE//yiaL//mntP//entH//astE//hycF//epd//evgA//sucA//astD//iscU//cueO//sbmA//abgA//oppD//cysM//ygiA//hdeD//hmp//hmp//araG//hyaC//gspI//ydhT//dmsD//gltT//tdcF//gyrA//phnE_1//mdh//nikE//dcuB//fimG//mepH//ydhT//hlyE//lsrD//crr//fepA//tehA//hypF//malT//aaeX//ilvM//entF//gadC//aroF//nuoJ//glcA//hcr//hofB//ugpE//deoA//cysD//betA//bamA//glpG//nrdG//trpE//nrfD//focA//hypC//fadJ//ung//rplW//hybO//gadC//bglF//gutQ//cyaA//rplC//infC//fecB//astC//envZ//tfaQ//glnK//ydhX//nikC//tam//ycjF//chiP//glpX//flhD//artJ//ssuC//cpxA//argT//moeA//crp//fixX//marR//phnI//zraS//rstB//psd//cirA//cysG//phoA//malI//borD//argF//argO//bacA//cytR//garR//yebE//fau//yiaL//chbA//hycA//fimD//pyrD//nlpE//ccmB//paaH//aceA//prpR//rutB//oppD//tsr//phnK//rplB//csgB//lsrK//cysP//cydD//ompW//phnL//deoC//nrdI//glmY//fhuC//cheZ//aceE//xylF//ssuC//oppC//entD//argT//manX//rseB//gspG//ycdZ//sdhD//ugpQ//nanC//casA//ydeA//trmD//bcsA//
ArgP-L-arginine	hcp//hemL//napB//glcF//aidB//gltB//alaS//araE//gntT//phnH//mdtD//fdnI//dctA//mhpC//yfdX//hdeD//
ArgR-L-arginine	deoD//gutM//moeB//lpxB//rstA//phnG//rnlA//hybO//gltF//puuD//ppdD//moaD//yfaE//lyxK//soxS//alaS//araH//nfuA//manA//allE//yaiA//rrfH//lpxA//chbA//fecC//ygaC//priB//ompX//rseC//allE//amiB//pgaC//entC//speC//metI//yecR//yfdV//malM//ilvE//
AtoC-phosphorylated	malG//hypB//yqjH//hyaF//
BaeR-Phosphorylated	mgrR//prpB//rrsA//livK//gatB//ydhW//ptsH//hypF//
BirA-bio-5'-AMP	yhjA//ykgM//moaA//paaF//nrfC//
CRP-cAMP	idnO//frdC//trpA//tonB//xylR//mglA//dcuR//argF//malX//dppD//fliA//alaT//polA//adhE//rplB//ulaC//hofM//creC//rrlA//cydA//slt//metR//nfuA//narI//ynfE//treB//yneM//hybC//nagA//psd//nikD//hcp//prpD//marB//pdhR//aceK//bglF//cysM//trpA//fadL//nuoA//araC//purR//paaD//chbB//manZ//mdtA//ydeO//phnL//rpsJ//glcA//aroP//bcsC//xseA//ygeA//fbaA//livH//tdh//exuT//tdh//cysU//leuE//purB//nanS//phnK//puuR//nirC//speC//glpX//glcD//rprA//acnB//narI//glpB//mhpC//lysO//nadC//atoD//asr//nrfA//metR//trpB//argA//mhpB//mltC//hflK//rhaD//purH//mipA//flhD//slt//metL//ssb//glpT//puuE//ugpQ//fixX//rimM//rplD//modC//mntH//fixC//narJ//hlyE//glnG//fdnH//araA//glpB//malS//ogt//ppiD//rpoE//malT//mtr//ydeO//fdnH//mglB//nirB//marA//katG//nuoG//skp//nanM//nanM//tnaA//fadJ//rrsB//yfdX//yeiW//ssb//rplP//focA//fimH//yhcH//atoB//rplM//hflX//tdcE//ivbL//deoC//bglB//mltC//acrF//metB//phoQ//ycjF//xdhC//nrdB//pck//nrfF//fepA//lysO//bcsC//dcuR//lysO//dppC//ssuD//ada//nikD//yjcH//priB//yfiP//ompR//rnpB//puuP//arcZ//znuB//frdD//fdhF//mzrA//rplM//paaE//marR//tdcG//uidB//mntS//xylF//nikR//cysA//pheM//yjiY//hdeD//ynfF//rrfF//phoB//tsx//nrfE//caiF//glnD//ampE//ptsH//ssb//phnF//nanM//paaH//gabD//malT//avtA//aroH//ilvL//tehB//mntP//malE//uxuA//phoR//ahpF//qseB//recF//trmD//phnF//csgA//gspJ//polA//yhhY//cynR//mtlA//crr//aceK//srlR//hflX//argD//xdhB//frc//gatC//rutE//ugpC//rnlB//yibN//fadI//trpL//paaZ//ilvG_2//alaT//ahpF//ebgA//lpxD//recF//uof//zwf//serC//fadJ//hycE//iraD//narQ//napG//mipA//hybA//katE//betA//glgA//hypB//aaeR//aroA//csiE//serA//fecR//rybA//sufB//nrdG//paaJ//icd//ivbL//pgaC//gcvH//sodB//sufD//rplP//lyxK//nanC//hypF//argT//cheY//pheM//csgA//ilvX//dppB//cheA//lldD//asr//rdoA//cysK//ydeJ//paaA//uxuA//zinT//cysA//yfdX//nanT//cyaA//ssuD//gntT//rpsP//glrR//betA//alaU//aer//mgrB//astD//rpsJ//glpD//yqjH//znuC//fecD//casC//glpE//fepA//rimM//lysU//ulaB//citD//rutD//rpsI//hofP//glgA//yojI//gspD//purA//hyfR//fixX//preT//metI//cheB//dmsA//oxyR//gspL//chbG//uxuR//araH//paaA//gspC//ppiA//glpQ//yiaJ//ascB//baeR//ybdZ//hemL//spf//cynX//ydhW//chbB//frdD//purB//malQ//talA//caiC//evgA//abgT//fhuC//entB//nikD//rplS//mdtD//ugpE//polA//nhaA//aceE//nuoA//tyrP//ispE//metE//gntT//ugpC//cytR//acrE//ydhY//galK//yegZ//fucU//narI//metK//bcsB//rrfC//alaU//mgtL//dmsC//puuD//nuoB//aroF//ppiD//napA//nanE//rplM//csgC//tsgA//alaS//entH//malT//mlc//frdA//betA//bcsA//gatD//rutD//ydfN//ftnA//cysC//epd//ydbD//torD//gntK//galK//uhpT//lacA//aspA//lpd//idnD//purN//hisJ//patZ//zntA//betI//prpE//exbB//norW//nohA//hisM//fumB//thrV//torD//rimM//yjiY//carA//yecR//mgrR//paaK//ydbD//paaC//puuP//purF//glnD//hpt//ydhT//slt//rrfH//ysgA//ppiD//nupC//hycE//nikR//avtA//trpA//cas1//rbsR//thrV//dgcZ//betB//citG//garL//tehB//hflX//nrfA//malG//fepA//ada//glcC//yiaN//pdeF//guaB//purD//yggX//tadA//hyaA//serC//mlc//aceA//lacI//rpmI//gspH//dmsA//gltB//emrY//phnM//znuB//acrB//gltD//ysgA//hdeD//yecR//ilvX//prpD//csgC//codB//yaiA//narQ//kbaZ//glpR//csgF//ppiA//fhuA//gatB//uxaB//motB//rstA//fhuF//phoU//lysO//rhaT//allE//citG//creC//rpmC//phnP//flhC//glnB//sgbU//ilvE//ygbA//cydD//dusB//rof//allC//pdeF//tdcG//fhuC//sucB//iraD//hypD//rhaA//fucO//pstC//bcsC//lacI//sucC//rplV//
