#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ivbL//cysM//garR//gltA//
AlaS-L-alanine	iscU//
AllS-allantoin	ompW//rplV//argG//
AraC-L-arabinose	ulaE//livJ//rof//chbG//aidB//xdhB//patZ//fepD//rbsK//iscA//osmY//betT//hybE//phoQ//
ArcA-Phosphorylated	glgA//yeiL//tsx//sgbU//gspC//livJ//tauA//slyB//ascB//ilvC//prpE//nrfF//pgaA//moaA//lsrK//ydhX//moaB//ccmC//ptsH//mgrR//glgC//zraS//cynS//ftnA//ldtB//rutF//adhE//ndh//fdnH//casD//rnlB//gatC//betI//nuoI//tauB//glgA//yfdV//psiE//astB//rplI//yecR//phnF//tdcB//nfuA//pdeF//creC//pstA//dpiB//trpA//degP//lacI//ydeJ//rnlA//aroM//csgB//fadL//gltD//ygiA//melB//phoB//fucK//iscR//fecD//motB//yqjA//nuoH//ansB//ydfH//prfA//narL//ftnA//glpA//ndh//hcp//arfB//bioA//rhaD//gatY//sucC//idnD//puuA//rpsO//mglB//hdeB//glnK//lpxB//glnD//amn//mgrB//sbcD//caiT//ydbD//rybB//mhpF//tyrP//napH//glcB//metK//ascB//torA//nuoK//ilvY//allD//aldB//manX//hybA//yfdV//torR//tfaQ//hofP//rrlD//ybjG//hofN//puuC//dusB//malK//fucO//araJ//rpoE//bacA//ilvA//bcsZ//rseB//glmY//cra//aaeX//hycD//glnA//lacZ//ccmA//rpsF//rstB//metB//borD//uidB//cydC//acrB//galP//pstB//fbaA//tehB//norW//ynfF//nagA//torC//uxaA//nikD//ldtB//sufA//purD//metR//trpE//yiaM//dmsC//gspJ//rpoH//ssb//cspD//phnK//hpt//glnD//nuoJ//acrA//psd//aaeA//casE//puuR//adiC//phnG//cysD//astD//hypF//mhpB//ydeJ//cysU//bdcA//tauD//
ArgP-L-arginine	lsrR//tdcA//ulaB//prpC//yfdV//rimM//rimP//asr//fepD//yaiA//ascF//glpB//narK//artQ//evgS//fecI//
ArgR-L-arginine	purH//mltC//psiF//mhpT//sgbH//feoB//cydC//rcnB//nlpE//tdcC//dcuR//acrD//nuoL//rseB//hyaD//argF//fimG//fecA//metL//mglC//nrdG//sucC//nrdD//hypE//yfaE//mhpB//gspJ//hemA//citX//erpA//gyrA//cra//iscS//gutQ//lacI//thrV//paaG//ygaC//mtlR//
AtoC-phosphorylated	baeR//glcG//fimA//zraP//
BaeR-Phosphorylated	rutE//cydD//slyB//fadH//metB//allD//gspG//fimI//
BirA-bio-5'-AMP	hemL//prmC//ybdN//iscR//bcsB//
CRP-cAMP	rbsA//malG//nrfG//treC//udp//glyA//aldB//lacA//ebgC//cysH//mdtC//dsdC//rrfE//metR//phnE_1//sodA//ssuA//lhgO//lysP//nagC//dppA//rutA//hyaC//rrlE//slt//rseB//crp//cpxA//rseA//mhpB//zraP//fes//glpX//frdC//phnN//rplB//mntP//yjcH//yfaE//pheS//fecI//ykgO//paaZ//purE//hcp//dapD//pyrC//narK//ygeH//ugpQ//nagB//rrlD//fnr//tyrB//purH//fucK//nrfD//narQ//casD//tcyJ//purE//hybE//gabT//dsdX//glpE//fdnH//xdhA//qseC//tyrB//srlD//malS//hflX//gabP//argF//sdhA//mhpD//mhpE//chbR//uxuR//dsbA//nirD//cusR//xylB//fepC//metA//araD//ydeO//malQ//moaE//puuR//patZ//slyB//dcuD//hybE//tauA//waaH//citC//abgA//cysG//nuoL//rpsQ//truB//gatD//yaiA//lldD//fimC//mglA//ydhV//argI//fhuA//ssuA//oppB//yjeV//rpsI//dusB//mhpR//paaE//yeaR//glgA//ychO//phoB//araH//guaA//rhaT//aroG//uhpA//hydN//aaeX//ccmD//tdcF//sucD//galS//dapB//appA//pitA//gatB//sohB//ilvL//xylR//zwf//puuD//ahpF//gatZ//malE//sdaA//trpL//mgrR//hyaF//metC//yrbL//entC//ccmA//bglG//malS//yeaD//rrsB//phoR//nuoE//cysM//tnaC//gltA//hisQ//acrD//aceA//dnaN//fimF//srlE//mhpR//hdeB//lpxB//araH//mntS//sufE//sufC//malF//rplD//hdeD//yeiL//acrB//fucI//galM//lpxD//lpxA//secB//secB//hlyE//bglF//fhlA//fucO//ilvH//cyoD//ompX//adhE//feoC//rstA//yeaE//ompC//hisJ//ccmD//gyrA//nrdB//yneM//rrlE//gadC//ilvN//livH//csgB//alkA//cadB//entS//alaS//narX//gabT//ilvD//evgA//ycjF//nrfF//nirD//uhpA//nusA//yaeQ//aceK//dppB//lsrR//chbF//puuP//nlpE//glpB//yhhY//rrfE//lsrB//treR//aroM//hybG//puuD//yhjC//bdcA//puuD//rplM//alaU//ydhY//rrlC//nuoJ//argR//ychH//hisM//livH//bglF//atoB//nanE//phnM//lacI//nanS//tdcA//qseC//entB//araF//sufB//rpoH//nikD//melA//yneM//argP//hybO//sucA//dgcZ//ugpB//garL//cynT//csgG//argT//erpA//mhpE//purL//sdaA//zwf//fnrS//ebgA//rbsD//prpE//fhuC//livH//rimP//rrfF//fabZ//fes//gabT//hemL//gutM//psiE//galK//phnH//hofM//map//hyaB//cueO//yjeV//rybB//paaD//ompF//pgaA//flhC//mhpC//acrA//lldP//hupB//dcuA//ileU//serA//tyrP//lysC//uof//mntH//rutF//galE//deoC//malY//sodB//cheW//ilvG_2//iscS//sucC//cheZ//pitB//livJ//bglF//hupB//glpX//glcC//melA//paaD//creC//rplM//ykgM//norW//hofB//xylG//ivbL//citC//hofC//torD//uxaC//ygeA//grpE//dmsA//acrA//rbsA//pgaB//sufC//napB//casB//mltC//ydfH//pdhR//norV//ilvY//ubiX//fdnG//cysW//nohA//cueO//aaeR//adhE//uxuR//spy//idnD//gcvH//ebgA//rplC//motB//ulaC//gntU//nlpD//gltT//nuoF//fnrS//hybF//glmY//psiE//nupG//carA//entB//ompR//xylF//nrfB//gntR//araJ//cyoD//eda//gcvT//pgaC//rpmC//modA//ilvE//cytR//purE//spf//dsdA//ilvY//zntA//dgcZ//modA//prmC//flhD//rhaD//ugpC//rplI//dppF//nagC//yjiY//tdcD//fldA//ihfA//mtlD//infB//mcaS//ulaB//gntT//rrfB//ugpQ//betA//cysK//yneM//argP//prpR//katG//nanK//astB//tdcA//ycdZ//nrfD//acnA//ynfH//nanE//metB//fdnI//alkB//araG//caiD//ompA//focB//gltW//phnP//cusR//hybE//ycjF//cheW//dkgB//hflD//fnr//cyoA//srlE//ndh//modB//codB//yaeP//rrfA//glpG//garP//ydhX//melR//appA//ryhB//kbaZ//focB//amn//flhC//sgbU//ykgO//hyfD//asr//ynfF//trpC//lacI//prpR//prpB//phoU//yrbL//fumB//ugpB//ccmE//glnL//argT//mhpC//mglB//citC//hyaC//entE//pheT//ubiC//chbF//mhpA//purB//citG//alaS//moeB//amtB//rpoS//glgS//nuoE//lacA//hofO//araA//citG//phnJ//aceK//bcsZ//flhC//fecI//ilvG_2//acnB//rrfF//nlpE//copA//ascF//infC//rpsP//metF//moaE//lsrD//uof//map//ileV//nuoM//entH//
ChbR-Monoacetylchitobiose-6P	nuoJ//entC//hslJ//ilvY//yjjZ//fucO//
