#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	tdcB//nanS//rseA//gspL//
AlaS-L-alanine	aldA//
AllS-allantoin	aidB//yibN//lldP//
AraC-L-arabinose	ldtC//aceA//fucR//nuoI//atoE//hybO//caiE//murQ//rbsC//pgaA//napH//zwf//hypC//mntS//
ArcA-Phosphorylated	citE//galS//mntP//fimA//rcnB//rhaA//csgC//talA//casD//nrdF//fecB//fimA//ubiX//talA//alaT//fucO//rpsR//ugpQ//agaW//ugpC//atoB//idnT//hycH//astC//rutF//astE//malM//mhpT//xylA//sufC//puuR//ydeJ//sbcD//zntA//tyrA//acnA//ydeM//puuP//nuoE//tdcE//casC//yhjC//paaH//rrlE//moaE//glmY//aaeR//xylF//sufD//lacY//ynfE//rrfF//umpH//xseA//tdcB//ompF//ydhW//narG//sgbU//katE//rplT//fepC//glpC//gspE//fliA//nagA//chbC//gatA//fepC//exbB//fixB//hydN//modA//feaR//comR//hcr//narL//hypC//nikR//citX//glcD//cyoB//cyaA//ompT//hofN//ssuB//ynfF//adhE//degP//nuoN//safA//fbaA//mgtL//sdhC//hycG//tehB//aceF//mglA//nikC//feaR//narI//umpH//tnaA//ssuA//mdtB//sgbH//ydfH//nadC//tdcE//napC//entA//oppD//pitA//mpl//alaV//norV//phnL//yidQ//ssuC//pdhR//hofB//rrlE//rrfD//idnD//fixC//atoD//cysI//mdtC//hycH//cra//amn//osmY//ssb//entH//glpF//appB//ubiX//livH//rnlB//metQ//gatB//yegR//mepH//chbG//cra//fixA//fis//ubiC//cyoA//metA//hybO//tdcB//alaU//sufE//uvrA//aaeR//rutA//aroG//glpR//ada//srlB//mtlR//ompC//cdd//livF//ynfK//melB//napD//argE//nuoE//fimH//deoA//yiaJ//pnp//gspK//ulaE//oppC//
ArgP-L-arginine	cpxA//cyaA//guaB//hflD//mhpC//caiA//borD//uxaC//oppF//ulaD//ilvG_1//glpA//csgB//ssuA//gabT//gadC//
ArgR-L-arginine	hofN//fucO//ydhY//fixC//alaU//yqjI//nusA//agaV//rhaA//spf//ulaB//puuR//ydeP//rbsB//dcuS//garK//cusS//chbG//rplS//tauB//rbsR//fecA//bcsC//mutL//aspC//citX//nikD//skp//yhjA//lpxB//araF//ssuD//oppF//hcp//nrdI//gltT//lolB//yoaG//uxuR//
AtoC-phosphorylated	napD//rbsK//artM//ilvG_2//
BaeR-Phosphorylated	galE//znuC//cynS//puuC//glcF//ugpE//ugpA//hyaE//
BirA-bio-5'-AMP	idnK//ilvH//mgrR//cueO//fadH//
CRP-cAMP	dppD//preT//ilvG_2//xdhA//fucP//yedX//uxaB//araH//ilvA//ybdZ//prpR//yfiP//yhcH//ssuD//hybO//nuoE//yjeV//glpK//napC//napG//appA//speB//yidQ//citG//ycjF//cysK//ycdZ//moaE//ilvE//rprA//yciW//ampE//nagE//sufD//hyfF//chbC//gntK//cyoA//fbaA//trpA//dnaE//deoD//csgB//dsdX//lpxA//phnL//oppF//galS//fecI//bglB//yqaE//agaW//tktB//xylB//citE//zraP//lpxD//nac//fbaA//ydfN//uxaB//deoA//gatD//mzrA//rrfB//manX//ilvE//oppF//hycE//amn//sdaA//entA//lpxB//metF//xylG//csgD//proP//trpA//nadC//rbsK//kbaZ//galK//treR//citX//yiaO//gltF//sufB//appX//metQ//mtr//fnr//yiaN//trpA//lsrF//fliA//ryhB//gspE//aer//fucO//gyrA//uxuR//aldB//prpD//manA//ilvH//argF//paaB//ugpQ//iscR//cynS//entD//hofO//fucK//fes//pstA//nrdD//gspD//phnK//mntS//dcuS//uxaC//yiaM//spy//bioC//pstB//prpE//fixC//glgA//nlpD//nanE//serC//azuC//hisP//fdnH//bamA//yiaN//psd//rutB//speC//uvrA//hofM//feaB//yebE//narK//trpC//gatA//rrfA//yaeP//rplV//serA//hisJ//thrS//waaH//abgB//dctA//artQ//aceB//nrdG//rpsS//abgA//galT//aroP//sufC//lrp//napF//cysM//envY//cynT//tyrB//zntA//dcuB//creB//hyfA//lsrC//cusS//treB//yhjA//rpoS//nirB//fucA//ppdD//ykgM//paaG//yiaM//mdtC//chiP//gspF//yojI//grpE//creC//yhhY//ssb//polA//rpoH//pta//tdcF//ilvX//hflC//tsx//xylB//focA//yaiA//artP//paaB//alaT//ysgA//artJ//nanM//fis//ryhB//fhuE//marA//rrfE//gabD//rpsI//sdhB//focA//ybdN//mtlA//yfiP//miaA//rrfE//edd//gltV//yjiY//feaR//grpE//serA//oppD//hyaA//tyrP//envZ//murP//frdB//gatY//fumC//fepG//yiaL//folA//araH//rbsC//ulaF//gcvT//infB//prpC//ycdZ//abgB//tdcC//hofO//xapB//adiC//narQ//paaB//slt//phnP//rhaD//artQ//ynfG//fadB//yeaR//rrlH//lsrR//emrY//treC//treC//putP//artI//hyaF//fimG//cadB//ppiD//malZ//sgbH//citX//uxaC//hisQ//ebgA//cydA//exbB//fecA//fepC//nikA//ynfE//ycjX//rpoS//hybO//napD//treC//betA//nikR//fepC//lolB//hisM//actP//rrfF//rhaR//rplM//rnlB//hisQ//hyfB//zinT//lsrK//cydD//ilvE//moaE//argC//uidA//nrdB//iraM//secB//tsaE//ldtC//argI//malI//pgaC//psiE//aceB//chbB//thrV//entS//purL//hybB//nuoK//moeB//yhhY//ydhV//dadX//rutA//iscA//citF//fecR//frc//fau//frdA//envZ//pgaC//tonB//katE//yegR//fimF//nupC//cusF//marR//fecD//ccmF//araB//argP//entS//emrK//degP//puuP//narQ//fucK//dpiA//kbl//rplM//gspO//yeaR//deoD//hyaB//argP//glnG//araD//ada//gntP//glgC//fecR//manX//prs//sufA//dnaN//speB//yccA//fdnG//ndh//chbC//mglC//norR//paaG//xdhC//oxyR//puuD//bglG//gltD//caiA//mdtC//araC//lldD//livJ//rpsF//lysO//deoD//rplS//prpD//mipA//dcuD//nrdB//hyfC//rprA//fucO//rrsA//ivbL//lpd//argI//adhE//pstS//fucO//speC//norR//speA//glcA//tfaQ//rbsR//rplV//nagC//iraM//gatC//ahpC//ppdD//yqaE//rpsI//nuoN//proP//lrp//rpsJ//paaE//araH//abgA//idnD//fimH//hofB//ynfF//degP//ygaC//chbG//cydA//phnK//xdhB//sufD//astC//zraR//rrfE//glpR//dapD//yaiW//artQ//asr//entF//ydbD//tdcC//ybfN//ilvG_1//metQ//ccmB//rrsC//cysK//gcvH//sohB//hyfI//cpdB//citX//napA//nhaA//nirB//metE//yeiW//efeU_1//pepT//rpsI//ssuC//pagP//cyaA//gcvP//glgB//gntP//tauD//yfeW//aldB//mtlA//rybA//tauD//caiB//cyoA//iclR//ybdN//cydC//uhpA//ada//hycD//cueO//murP//gpsA//pstS//metK//thrV//casC//nhaR//ileV//gpsA//uhpB//aceF//fumA//hypB//allD//fur//hybG//ssuE//rof//fimF//phoQ//trpD//trxA//pgk//napG//bglF//cynS//csgD//mglC//gntR//pstA//entS//rprA//gspI//aaeR//icd//
ChbR-Monoacetylchitobiose-6P	thrS//slt//ahpF//gltF//glpX//pitB//
CpxR-Phosphorylated	dppB//tpx//gltD//zraP//nrfB//purK//dctA//aroH//xylF//metC//dgcZ//nlpD//gatC//feoC//rrfE//carA//hycB//ysgA//hcr//tdcC//rplD//metJ//tfaQ//acrD//trpR//pstB//rrfH//rrfC//rpsQ//phnP//hofM//tdcG//aaeA//gspJ//appB//hycH//ybiT//folA//hofC//dcuA//tcyJ//entC//yfiP//bioA//artI//nagE//yiaM//malQ//aroH//nikA//phnN//ydeA//lsrC//nanA//nikC//fliZ//fiu//araF//puuC//fecC//hyfF//alaU//rrsA//abgB//aceE//ileT//rrsA//ompC//chbR//
CreB-Phosphorylated	fepC//moaA//rrlD//fdnG//ldtC//gltA//astC//napD//trpC//
CueR-Ag	pheM//casC//chbC//hypB//torD//paaH//rplC//
CueR-Cu+	adhE//prpB//uxuR//amtB//srlE//dmsA//rstB//
CuerR-Au	ilvH//ulaC//dsbA//artP//nirD//argT//marA//
CusR-Pasp	sxy//nrdD//csgB//stpA//phoH//xapA//torA//glpX//atoE//fepC//chbA//agaV//
CynR-Cyanate	hyfR//hycD//chbR//cusR//
CysB-N-acetyl-L-serine	dsdX//yaiW//lsrK//infC//hdeD//yeiL//fucA//phnJ//tnaC//mhpR//yjjZ//norW//lysU//idnT//cysJ//sucB//gcvT//garK//fimE//casC//hslJ//evgA//atoA//soxR//feaR//purN//ilvG_2//feaB//ompC//chbC//
CysB-O-acetyl-L-serine	crp//metQ//nuoE//hisM//hemL//gspH//caiC//avtA//ampE//gspL//slyB//rpoE//ompA//bioC//melR//sbcD//purK//znuB//rutC//tdcE//bcsZ//araF//hybF//ilvL//mscM//fdnH//hypC//fucO//napA//bglF//livG//
DcuR-Phosphorylated	prs//trpE//srlR//glgP//nanT//gspE//thrS//glnB//sdhA//
DnaA-ATP	bioF//rpsR//ydeP//znuC//metE//glcE//nuoF//yoaC//bdcA//paaH//creB//ybdN//
DpiA-Pasp	sucD//livG//chbF//pncB//sufA//ptsG//hypE//modB//yjiY//fepA//phoE//
DsdC-D-serine	ptsI//caiC//degP//
EvgA-Phosphorylated	zinT//tauD//xapA//nrfF//cynX//erpA//caiC//ada//ykgO//chbR//borD//fdnI//agaA//yiaO//dcuD//
FNR-[4Fe-4S]2+ reduced	cheW//sufB//fau//lldP//gspK//glcA//mhpE//yeiW//acnA//gntT//lpd//gapA//rpsQ//fadB//dadX//metI//bioF//aldA//nanM//map//lldR//sufE//glnA//citF//sgbE//yggX//cynX//malM//ybiT//ampD//yfdE//glpK//hdeA//yeaD//tauA//tdcB//ydhX//pgaD//purH//aspC//gatY//fadE//hisJ//rhaA//nmpC//crr//garK//envZ//cynR//arcZ//yhcH//sufC//ompT//aceB//acrF//rof//moaE//malE//slyB//umpH//ada//tsr//eda//xylB//torD//napH//puuP//yjeV//pnp//betA//argR//ydhU//nuoJ//abgA//entC//paaB//aroF//srlD//aceE//pagP//fhlA//gspG//cysN//hyfJ//pck//ccmE//tomB//argD//rrlA//yeiW//ompT//bcsZ//agaW//malP//iraD//purB//rbsA//hycC//glcF//lhgO//rutF//patZ//fecI//slyB//rrlD//dapD//glpG//rutB//lysP//cheB//glgB//betT//glnK//rplC//uhpT//nrfD//cas2//cysG//mhpT//ebgC//pheM//ilvG_1//udp//pstS//aaeR//gutM//manY//nrfF//tadA//ansB//icd//yjiY//metC//cytR//nirB//tauB//nuoM//yiaJ//ydhU//cydC//srlB//rstA//znuC//fepE//fucU//ulaF//nhaR//uvrA//hyfC//dnaE//guaA//rybB//flhC//yegZ//tomB//aroL//metL//mlc//iraD//cynT//yeiW//napG//cheY//mdh//infC//xdhA//ptsG//tsaE//dmsD//malS//mgtL//mdtA//aer//phoQ//astE//modC//tsx//ychH//lsrA//lpxD//ybfN//hyfF//gspJ//map//nhaR//ydhT//nrdH//narJ//map//chbA//rimP//mglB//yaeP//ydfN//dcuA//sufA//metY//nrdF//rrlH//phnD//moeB//lsrF//hypF//iraD//uidA//feoB//glpR//uxuR//yciW//pflB//iscU//arcZ//ydhT//bcsC//araG//tdcE//caiF//polA//eda//malT//rpsC//fdhF//csgD//cusC//cynX//bioA//hpt//napC//phnL//gntP//yfeW//csiD//feaR//ung//ebgA//nanS//mtr//torC//yjjZ//chiP//glyA//phnE_1//casD//malG//rbsD//ydeN//efeU_1//rrlH//dcuD//ileV//hupB//map//dpiA//paaJ//mglB//efeU_2//hybB//tsr//rpsC//garP//appA//nikA//phnF//nagB//entB//hybC//iraM//cyoC//kbl//cirA//tyrR//tktB//cysA//evgS//feoA//hdeB//fhuA//bioF//feoA//ycjF//pepT//deoA//casB//ackA//ybiT//argT//osmY//abgA//glcA//glpT//ascF//moaB//speC//argA//gspI//xylR//appC//hofB//fhuB//xylR//paaH//yibN//murQ//ilvA//thrS//
FhlA-Formate	preA//tonB//folA//murQ//ssuB//phnH//ugpE//bioA//cusC//hisM//fepC//mhpR//ascB//yeaR//gspK//cydB//acnA//cas1//glpR//mgtL//slt//pck//atoA//mtlA//pncB//glcE//agp//nirB//tehA//cydD//
FucR-L-fuculose-1-phosphate	gspM//cyoB//rutF//cheA//ydhV//mipA//lacA//
Fur-Fe2+	glpD//abgT//hycI//yoaC//aaeX//alkB//gltV//entD//ulaE//chbA//hlyE//cusR//gadB//glyA//fadJ//abgB//moeB//pflB//rbsD//sroD//hyaB//sufD//stpA//garP//cysC//fdhF//purF//hyaC//srlB//yiaJ//ascF//oxyR//ftnB//feoB//puuC//oppA//ileV//galS//fadE//fhuD//nrfB//glpD//mgtL//tsr//nrdF//malI//sucA//hslJ//fimC//sbcC//gntR//yhfA//hpt//envZ//betA//hyfG//dppA//mltC//rrlG//uhpT//cdd//rutF//dsbA//fis//yfaE//moaA//rrlA//torA//bamA//rrfA//oxyR//glpX//murP//ybdZ//cra//cheA//cyoA//artJ//sodB//mhpB//lldD//fumC//nuoJ//yiaN//rrlC//glcB//dmsD//bdcA//fecR//rrfA//hypF//cydB//gspE//nirC//zinT//hycI//ydhY//moaD//csgB//fimC//dsdX//gatC//rpsO//qseB//phnG//preA//mcaS//ilvA//lysO//hdeA//rplT//yaiA//mgtA//tomB//grxC//cysW//cysW//bcsZ//yfiP//purF//preT//ompC//ihfA//nanA//hycF//gatB//tauD//pgk//srlA//aaeR//paaB//aroL//ascB//aroF//pck//nrfC//ompF//csgC//gutQ//mhpT//
Fur-Mn2+	napG//ugpB//creB//ompT//yoaC//ccmF//zwf//dppA//prmC//lacI//mcaS//fecA//purE//idnO//pgk//stpA//ulaA//entE//acrE//fimI//astA//glpB//lolB//oppC//yibN//gntP//acrA//appC//folE//ahpF//lldD//rbfA//entB//moaA//psiE//uxaA//rrsE//yfdE//cydC//sroD//exbB//malP//dcuD//nuoK//bcsA//ppiA//nanT//ycjX//metF//yfdE//xapA//asr//rseB//grcA//yjeF//pgpC//zraP//dadX//fimF//dmsD//mgrB//hypC//astC//gspE//fes//srlD//ssuB//focA//tonB//codA//fes//livF//rrfH//xdhB//cysM//dcuD//agaV//infC//metI//argO//pyrC//narX//aroL//idnK//nanK//cynS//cyaR//hisM//yedX//yjeF//paaF//rrsA//gspL//rplP//yfdV//borD//hybD//aroH//uhpA//nikA//alaV//hisM//ygaC//gapA//yegR//citF//gntX//oppD//rpsQ//mdtD//slt//priB//aaeA//serC//glnL//metB//paaA//aroA//cpdB//moaC//chbA//bioF//ccmG//nuoA//ackA//cvpA//tauB//tdcC//yegZ//lysU//mhpT//rrfB//tdcB//dkgB//rrfH//xapB//narH//adhE//rplB//rbsB//
GlcC-Acetate	yeaR//pgaD//gntT//narI//fimC//zntA//raiA//
GlcC-Glycolate	ydeJ//hyfH//napC//araG//ftnA//cadC//cysB//
GlrR-Pasp56	mgrR//
IclR-pyruvate	rrlB//cheA//uraA//hypD//
IdnR-5-ketogluconate	rbsB//bcsC//cadB//araA//hofM//casC//entE//nuoE//
IdnR-Idonate	atoE//ybfN//csgC//micF//serA//metJ//fecD//cyoA//
IlvY-2-acetolactate	nrdH//astC//
IlvY-Alfa-acetohydroxybutirate	nuoG//fdnG//
