#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	sroD//argB//glnL//rutE//
AlaS-L-alanine	acs//
AllS-allantoin	modB//ynfK//psd//
AraC-L-arabinose	rnhB//lsrK//cysH//serA//osmC//metB//cheZ//argO//gspC//ivbL//argI//micF//argE//acrE//
ArcA-Phosphorylated	argO//nikD//purM//cysP//aer//mtr//ybdN//xylB//treC//nuoI//rnhB//deoA//paaJ//sbcC//entA//idnK//tolC//hlyE//tehB//gspD//acrE//lolB//ilvN//rcnB//fhuF//folA//paaA//csgG//argO//hisJ//rplM//purN//phoH//codA//hcp//malQ//moaC//ydfH//purC//gltB//mdtC//argF//cbl//yjjZ//kbl//cheY//ysgA//prpD//sgbE//fhlA//ilvX//dmsD//puuA//yhiD//actP//yegZ//hofP//manY//acrB//cyaA//sufB//cdd//melA//cysB//bglB//ychH//metK//phoH//aroH//ynfG//trxA//oppF//nrdH//lpxD//nagC//tonB//yhiD//ppdD//ftnA//ivbL//ompC//hdeB//tolC//fadB//nirD//osmC//aroM//dcuR//uvrA//dcuD//rrlA//bhsA//acrF//hofN//hupA//mepH//rpoH//livG//motA//ugpE//nanT//acrA//sdaA//cheA//ubiX//sufA//feoA//sufC//nuoC//xdhB//ahpF//fadE//udp//fecD//ynfE//copA//uxaA//ilvL//lsrK//sucB//gspJ//aroG//cysI//tam//aspC//nrfE//gatC//rutG//hha//araC//safA//hypE//tdcE//rrsA//cynT//pstS//srlA//purB//kbl//entB//glpD//hyfA//acrE//nac//sufB//nlpE//evgA//nuoN//nirC//cra//fdnI//argE//xdhA//guaA//caiF//gabT//cysK//yidQ//rrlC//mpl//glcC//garK//yeaE//entA//rseC//nirC//hofB//sufC//phnP//nuoG//galE//amtB//tsx//sbmA//rpsO//entB//hupB//
ArgP-L-arginine	rrfB//ugpA//rpsO//azuC//ilvC//entA//modA//modC//dcuS//tdh//purN//appA//srlA//hofN//gltV//cvpA//
ArgR-L-arginine	sxy//yeaD//nuoJ//fepG//rpoS//hycE//glgA//hisQ//folA//phnO//paaH//metQ//ynfE//sucB//spf//rhaT//rpmI//metY//hemA//nuoN//ilvB//fecE//ugpA//galS//acrE//nrdE//degP//ilvH//pstS//ydeM//gcvT//ycdZ//nlpE//tyrB//feoC//argF//exbB//treR//rrlD//
AtoC-phosphorylated	aceK//rrsE//hyaB//glgB//
BaeR-Phosphorylated	truB//ybjG//leuE//prpE//envY//dnaE//mhpF//hmp//
BirA-bio-5'-AMP	hyfA//ubiA//araJ//feoA//nhaR//
CRP-cAMP	glcA//ugpB//hypC//yidQ//cheB//caiB//cysI//glyA//gabP//tfaQ//purC//artJ//ybfN//fixB//rpmI//mtlA//citG//gspC//oxc//nrdD//norW//rpsF//baeR//fiu//lldP//hyfA//cadC//ubiG//ascB//melB//entA//moeB//bioA//glpE//ugpC//rrsG//fbaA//glpE//hyfF//tyrB//fau//phnE_1//yjiY//yeaD//ackA//mpl//yfdV//murQ//gspE//malI//artP//mhpD//rpoE//cynX//fumB//malX//efeU_1//melA//rpsP//cydC//hyfF//cyoE//dcuB//cysG//envZ//hfq//aaeR//fadA//fhuB//fimD//lpxB//hisJ//nikC//pepT//glnL//nuoG//fiu//citC//hybD//fadD//gltT//ileV//phnM//chbG//gcvP//nanE//pyrC//baeR//gltV//dppA//stpA//uxuA//rimM//astD//ugpB//rutC//lacA//idnT//mtlA//qseC//metQ//dapD//cvpA//fimF//abgA//cynT//hslJ//moeB//glgS//lolB//mhpA//mgrB//hisJ//ykgO//pagP//purM//bhsA//ebgA//ompA//dapD//rhaT//hyfG//lacY//phnJ//nlpD//micF//aroH//fimG//malM//ycdZ//phnK//gltU//narX//fabZ//nuoE//tdcC//gyrA//hycH//aspC//gntR//lsrK//metC//puuE//glnL//creB//marR//tdcE//uraA//fadL//gcvH//rrsH//cyaR//gntP//creC//fhuC//sufC//aceB//livK//eda//ilvG_2//azuC//aaeR//feoC//fucO//lpxB//yrbL//moaB//rplC//pgaB//fimE//glcC//astE//idnO//mcaS//hfq//tadA//pncB//gntP//ung//hyfD//yedX//lsrK//garK//psiF//frdD//metN//csgC//leuE//nuoB//recF//rpsC//idnO//oppF//yqjH//ebgC//fumA//glpT//gltA//amn//grpE//fhuC//metR//trpE//xdhB//glpR//xylF//rrfA//argR//rcnB//mgrB//narJ//napF//gatB//iscS//lyxK//araG//dpiA//xylF//gltT//hisM//phnC//nikB//mutL//hisJ//cysU//hyfF//mgtA//gltD//bcsB//nrfE//cusR//ccmB//yoaG//dcuA//ilvE//dapD//nhaA//bioF//feoA//puuB//fis//mutL//cynX//ynfE//ilvD//cysU//psiE//pyrD//hyfB//dsdA//ydhW//lsrB//cydA//mhpA//nrdG//gutQ//gadB//yjeV//rrfH//puuD//metL//purD//nirB//guaB//ebgA//ascB//ssrS//cyoA//fadE//idnD//nohA//mscM//lldP//leuE//efeU_2//ccmA//trpL//preT//csgG//fdhF//amn//qseC//katE//arfB//rpoE//ilvG_1//fixC//appB//gadB//fnr//malY//fadJ//phoR//hycD//actP//prpR//nanT//fecC//argO//amiB//manX//yhjA//yccA//soxR//rbsB//hyfE//narL//yfeW//yiaO//puuD//phoH//ccmG//appC//acrB//hyaA//nuoG//uhpA//argP//lpxB//phoP//artI//nuoK//glcB//yebE//nanC//nusA//glgB//rrsA//napH//fhuA//alkB//rpsS//xdhB//fhlA//leuE//phnM//rrfA//hybC//nupG//ydfN//acrB//malM//aceB//garL//sufS//nrdE//ugpB//nac//glgS//cysM//cyoD//nuoA//caiE//glpA//fldA//aceB//fepG//gabD//aaeB//melA//gapA//fhuB//treR//malF//rbsR//puuA//cydD//nrfA//xdhC//galT//feaR//glpK//gspK//rbsB//motB//xylG//sbcC//csgC//bcsB//yeiP//argR//dapD//cydD//alkB//cbl//ssuD//tyrA//gatA//uhpA//nuoI//iraM//ssuE//fumB//hycD//chbR//waaH//phoQ//fadI//atoA//ilvN//ydhV//sroD//efeU_1//bacA//galS//cvpA//xylH//fdhF//fepD//mglB//cueO//napC//speC//fhlA//prpC//caiF//citE//fucK//ykgO//yfiP//aaeR//phoA//ydhT//adhE//srlB//xdhC//pheM//fecI//dpiA//sucD//pepT//nlpD//patZ//agp//tnaC//sohB//bcsB//glpD//dgcZ//rstB//rpsI//uxaB//mhpE//cyoA//fadI//malT//hycB//rnlA//lldP//lpxB//skp//rrlA//rpsI//preA//mcaS//moaC//malQ//ulaD//ulaA//citD//ydeO//cyoC//moaB//focA//dsdA//hybG//phoE//galS//gyrA//bcsC//phnP//argE//cyoA//abgB//glgA//safA//rrsE//fldA//xylA//fhlA//tsgA//argT//soxR//rrlH//rybB//entS//metF//mtlR//malQ//bcsB//lysA//ilvX//dpiA//speB//rplP//phnM//hybB//aroF//rnpB//agp//folA//sdhC//hofC//gatY//glgS//gntX//hemA//uvrA//ybiT//acrA//mtlR//mutY//citC//idnD//fecE//ubiG//lsrA//metE//ackA//ydiU//trg//hyfF//nanE//nuoH//ygaC//
ChbR-Monoacetylchitobiose-6P	gspG//mhpB//cspE//ahpF//bcsB//hycD//
