#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	glpG//speA//znuC//aroG//
AlaS-L-alanine	chbG//
AllS-allantoin	gltA//paaJ//cysN//
AraC-L-arabinose	gspM//motA//ydfH//hyfA//gatB//ugpC//glgP//uidA//psd//hyaD//fimD//dctA//ilvE//dppF//
ArcA-Phosphorylated	cynS//spf//xdhC//hyfR//phoA//pta//argG//ldtB//ilvB//argI//cheZ//hisP//xylH//gpsA//spy//pyrC//gspM//araF//rseA//sgbU//cyoA//mcaS//manA//citX//aldA//rrfB//qseC//mdh//talA//nuoL//deoD//purF//ulaB//tolC//soxR//dnaE//acrA//ulaA//nikA//purE//rpsF//hpt//gntT//purF//argF//tauB//ilvG_2//rpmI//ilvX//yeiW//fhuB//hupB//grxC//citC//araF//artM//glpC//ascB//ydeP//manZ//rutB//tfaQ//dsdC//ccmE//rhaS//rnpB//purD//cas2//pitB//yeiP//copA//appX//sufS//glyA//tdcC//nupG//caiE//xdhB//deoD//hycC//tpx//kbaZ//nagE//napF//malK//cysC//ytfE//phnM//metR//nuoK//hupB//yfiP//tdcE//dnaN//fis//hyfG//alaA//map//purE//pdeF//cbl//idnK//trg//livJ//phnJ//casE//phnG//yoaG//caiA//araG//nrfB//uxaC//hypB//ilvY//fbaA//lpxB//eda//hupA//hflD//flhD//rhaA//narI//ampE//asr//argE//ascB//phoH//ahpF//dapB//artP//ugpQ//nanC//glcG//fepD//mglA//malK//ycjF//ykgR//glgX//cvpA//yhcH//lldP//ygiA//aldA//cusB//dusB//rrsH//gspC//treB//hybE//napD//yjeF//edd//gltF//norV//mgrR//pstC//puuE//nirC//betI//rrlE//sdhB//rpmC//ptsG//pstA//narX//murP//dpiA//ogt//casD//grpE//citD//pstA//feoA//ydhY//argA//napB//
ArgP-L-arginine	rimM//cusF//oppA//arcZ//norW//cyoC//tdh//cynX//mntS//cusC//hisJ//melB//sbmA//thrS//ompX//nadC//
ArgR-L-arginine	ulaF//xdhA//pdeF//glpF//puuR//citF//rrsD//yjjZ//ygiB//putP//fis//yhcH//znuC//nrfG//glcF//uof//fau//glnA//mglC//hyfC//glgA//ycjX//hycC//metR//ygbA//arcZ//uxaB//ydiU//ccmG//fdnI//rplT//ynfK//pstB//iclR//nrdH//csiD//yojI//dusB//glcF//
AtoC-phosphorylated	csiE//amn//fepC//nuoF//
BaeR-Phosphorylated	pyrD//fecI//sucA//sbcC//paaG//dpiB//gspF//rof//
BirA-bio-5'-AMP	fecB//gcvH//malT//nrdB//nuoM//
CRP-cAMP	fhlA//cadC//hyaC//ydbD//ubiX//glcF//hyfD//osmC//acs//oppA//lldD//mltC//livM//bioF//adhE//xylR//cysI//mdtC//cyoA//chbB//nrdF//sodB//pstS//narJ//acrF//rpoH//rutF//araB//cysJ//ycjX//fucA//aroP//nohA//glnB//ydfN//puuD//spy//ysgA//ilvA//phnN//ilvG_1//preA//fes//fhuA//lysU//chbR//tauB//lamB//hofP//gcvH//dapB//fhuA//rpmC//hycF//fimC//hcr//cysC//yhhY//rstB//malS//ilvL//sdhB//hflD//aidB//phoE//puuC//chbB//yggX//dpiA//ompT//pyrD//allE//chbG//csgB//znuA//gspK//uraA//hofM//yjeF//paaA//ynfG//moeA//malI//entE//bioD//fecD//rplI//puuC//caiA//lpxA//rpsP//idnR//alaA//ompR//baeR//fes//rutE//mglC//avtA//mhpB//yaeP//kbaZ//epd//gspC//malF//gntT//torR//narJ//ogt//mipA//feaB//treB//sdhD//napB//cusR//guaA//torR//aceK//galE//cytR//hofN//puuA//ascB//marA//aroA//cadC//yeaE//fepA//nuoA//yaiW//gcvH//thrV//rpsP//puuP//tyrA//hcp//motA//ssrS//ychO//ydfN//citG//tsr//evgS//nanT//mdtA//rof//rpmC//moaA//rpsI//ftnB//rhaD//dcuD//oppB//yjeV//ydhX//tonB//gatA//csgG//cspE//iscR//yojI//malQ//aroH//yjjZ//glpQ//rutF//xylR//rplT//yjeF//pstB//aroA//cydC//srlE//ccmE//ybiT//uxuB//rbsD//rpsJ//mhpB//fimF//gspF//rplV//gabT//hycE//psd//cvpA//fdhF//hcp//metR//lsrF//tdcG//gntU//slyB//dnaN//mglA//uidC//citC//glpG//alaA//hha//citD//atoB//hofP//lsrG//bioF//betI//cvpA//acs//ompW//bacA//yiaN//malS//dcuB//ogt//araG//aceB//lacZ//purM//ysgA//gabP//garK//nrdB//prs//pstB//degP//pheS//purM//ulaA//spf//mdtC//uxuA//mtlA//iclR//serC//nrdE//metH//pgaA//paaC//purL//artM//aldB//gatD//mglC//araH//betB//ubiC//sbmC//bioF//bioA//alaT//ysgA//glpD//marA//appC//phoU//prfA//paaF//ileU//fimF//thrS//puuD//exuT//trpC//garP//yjeV//gpsA//sufS//puuC//pstS//eda//gatC//pstA//napC//gltT//sdhC//hypA//ahpC//aer//lysO//ilvY//frc//betT//ugpC//mtr//lldR//puuB//chbC//ilvG_2//cas1//lldD//tnaB//cynS//nuoB//nikB//yggX//lysA//abgA//nrfD//aaeA//fadJ//adiC//bcsB//fes//ulaB//serC//pdeF//metE//ygeH//xdhB//fumA//ydhU//frdC//paaD//nikA//phnN//mhpR//idnD//cysG//xylH//araJ//ynfG//malM//bioA//rimM//hisM//xdhA//malQ//zraS//glcA//hyfF//glcD//hybG//lrp//hdeB//lsrF//gutQ//tyrB//erpA//asr//livJ//feoB//rutE//sufS//nuoM//serC//yiaK//xylR//ppiA//rpsR//cusF//argF//ptsG//ugpE//flhD//hyfI//ydeN//hyfH//yqaE//ompX//rpsO//rbsR//katG//lldR//priB//uxaB//tdcF//glpF//yfaE//appB//cspE//marA//mhpF//paaF//lysO//ldtC//folA//ftnB//mdtA//metC//fepA//cas2//modC//nanA//narJ//moeB//nadC//caiA//fucK//iraD//truB//argR//carA//uidC//narG//icd//yhiD//prpB//glyA//ahpF//thrS//dsbA//alaT//nrfF//nuoM//glcF//hyfH//hflC//glnB//gspG//nupG//fdnH//hypB//araF//pitA//cysA//truB//hisP//gatA//garK//torR//ynfE//oppF//hflC//mglA//casD//avtA//purL//tehB//grpE//hcp//frdB//ytfE//cusC//yeaE//arfB//hypC//grxD//ydeA//dppD//glpR//lsrC//ccmF//mtlA//acrD//yeiP//pheM//cpdB//cydA//sohB//sucA//ada//citX//rbsB//ldtB//dppD//aroM//aceB//glcG//hybC//lsrK//argA//ampE//hyfG//argE//hisJ//lacA//purB//phoR//tnaB//narL//pdeF//bglG//nuoH//cdd//glcG//fimH//sufB//phoR//fadD//nrdB//nanM//cusR//dppA//hisQ//ygiC//dctA//murP//speC//fucA//malE//entS//actP//hha//citE//paaG//phoQ//pagP//hofP//yeaR//hyaB//chbB//phnF//paaG//purM//moaB//rplI//yfeW//cheR//dnaE//metR//nagB//hypB//psd//cysW//mutY//aroF//ygiC//lolB//amtB//metK//rpsR//ysgA//fecA//yegZ//rrfH//
ChbR-Monoacetylchitobiose-6P	thrS//prpC//ilvD//gltF//znuC//ptsH//
CpxR-Phosphorylated	glgP//dppF//exbB//bcsZ//xapA//csgA//glcA//zraS//ygaC//metH//fldA//moaA//feoA//hybB//pheS//rutE//fhuF//argP//hflK//metH//ccmD//ychO//uxuA//ccmF//ahpF//tauA//livM//pheT//rnhB//phoR//livG//tyrB//sodB//gspK//phoE//ilvG_1//fimI//csiD//chbG//mglA//fecB//gadC//ompC//aidB//ycjF//fadA//gntX//citE//rpmI//puuR//yaiA//arfB//tktB//abgA//nuoJ//efeU_1//aroA//melR//gcvH//yecR//ilvH//ycjF//phnC//serC//glcF//chiP//creA//eda//mgtL//
CreB-Phosphorylated	ugpB//frdA//gspI//metL//argC//rrsE//paaG//fadB//fepB//
CueR-Ag	artI//ssuA//hyfJ//glpB//nuoF//yneM//ssuA//
CueR-Cu+	metR//frdB//gabD//fabZ//nanM//yaiA//talA//
CuerR-Au	glcD//tdcF//cyoD//bhsA//folA//galE//uvrA//
CusR-Pasp	uraA//feoC//fhuC//napB//malI//citG//nrfE//phnM//tdcF//rnlA//artP//ydhW//
CynR-Cyanate	cpxA//gnd//sodA//gltV//
CysB-N-acetyl-L-serine	rcnA//dctA//oxyR//entD//fucR//cyoE//hflD//abgB//yeiL//ackA//arcZ//rplT//astB//hisP//frdA//oppC//entF//argE//mhpD//ileU//nagB//dmsA//fepG//marB//motB//lacZ//gltT//modC//entC//fhuD//
CysB-O-acetyl-L-serine	mzrA//csgA//fliA//fliZ//rybB//feaB//araG//yhcH//hyfG//rmf//fepE//glgA//glpQ//acnB//modC//cynS//pheT//znuA//phnD//nrfD//comR//moaA//rpsF//yhhY//aspA//pheM//gspL//prfA//hyfE//uxaA//yiaK//
DcuR-Phosphorylated	appC//glpT//fadB//ydeN//fhlA//rrfH//prpC//norR//paaB//
DnaA-ATP	xylF//fadL//nuoB//rutC//psd//garL//ada//rpsS//fecC//casD//fliA//pagP//
DpiA-Pasp	frdC//argP//fadL//hyaE//hyfC//thrV//ychO//hybE//trpL//ada//yfeW//
DsdC-D-serine	rpsF//fabZ//ydeO//
EvgA-Phosphorylated	mglB//xapA//uhpB//iscU//creC//narX//rseA//hyfR//nupG//prpB//treR//hyaA//bioC//katG//rmf//
FNR-[4Fe-4S]2+ reduced	ilvG_1//sdhB//fepG//csgC//trpD//purN//dpiA//truB//rutE//uxuR//mntH//mzrA//araA//dnaE//creD//alaT//arfB//nupG//nrfF//yhiD//preT//glpR//sodB//osmC//sgbH//dusB//nagA//rpsR//fucO//mntH//priB//metB//dmsD//glcG//csgB//gntU//araA//modB//gspI//mglA//nagE//tnaC//hyfG//melB//dsdA//araF//napB//glpB//livJ//chbG//phoU//znuB//garK//lsrD//yhcH//yeiW//paaZ//marB//pnp//cusC//nrfG//rhaS//malE//sbmC//ilvN//nohA//oxc//rybB//ydhX//phoB//pgaB//cydD//glcA//phnK//fecI//map//xseA//hybO//adhE//aceA//sdhC//katG//putP//cysP//phoH//yeaR//idnT//mglC//lysC//znuC//hybC//ynfE//cysH//hycD//artJ//ssuC//ydeP//araD//gadC//ccmA//rrlG//hpt//aceB//yhfA//argB//paaF//sucD//hydN//betA//cyoE//fhuE//tsx//pstC//hupB//glnA//cra//srlB//mltC//kbl//treR//soxS//hcr//fnr//narI//putP//frc//rmf//fldA//cynR//psiF//aldA//trmD//rrlH//artJ//sufE//rpsR//cydD//artM//fimC//nlpD//uxuB//crl//abgT//malM//malF//lrp//cadB//nikB//fecB//paaE//nmpC//citD//livG//srlD//soxS//uxaA//caiA//livJ//ihfA//yfdV//uxaC//hemL//mhpE//galM//tsgA//hofO//entB//norW//ydhW//cheZ//gspE//mhpR//aceK//oppB//rpsP//dmsD//marR//znuB//yfbR//paaC//bioD//purF//pitA//purR//astC//fixB//metE//lysP//lpd//trmD//rrfB//yggX//fbaA//grxC//mglB//carA//ppiA//gatZ//upp//nrdA//malP//dsdA//cysI//cas2//thrS//fimA//cadC//fumB//argB//argA//metL//sufS//pgaA//fepE//moaE//melB//purK//cheB//melA//gatC//rrfA//nhaR//trpC//fadE//yjeF//ompC//sdhD//rrlD//deoD//cadC//yiaO//hycD//phnO//abgT//lacY//sbcC//nuoC//metB//fucA//moaB//dcuC//atoE//yeaR//osmC//yhhY//torA//rutG//gspI//rhaA//argP//feaR//metJ//ispE//narL//allD//hycH//ydeJ//dpiA//nupG//alaS//rbsK//gntT//lysU//glpD//gspF//dsdX//ulaF//bcsC//gspI//amtB//crl//iscS//zraP//deoC//ynfE//idnO//nikA//cbl//osmY//tam//yaeP//fimA//ackA//trpA//oppB//narG//tnaC//bglB//entB//sufS//fecC//cynT//yfiP//skp//iraD//glcF//uhpT//folE//gspG//rpsS//purL//fucI//metL//xylG//cysK//
FhlA-Formate	crl//yfbR//tktB//rrlD//lacY//yeiP//fabZ//ulaD//glgP//torD//rstB//serA//rpsQ//idnT//paaE//purR//glpE//rplS//acrA//ilvG_2//metB//alaT//comR//nhaA//ychO//hyfF//nuoJ//tsaE//livK//hycA//
FucR-L-fuculose-1-phosphate	uraA//mglB//rpsF//lysP//rpsC//gatB//yaiA//
Fur-Fe2+	atoD//uhpB//nuoF//feoA//glrR//aaeA//hybF//fldA//mepH//dsbA//envY//map//malG//hisM//purA//yibN//xylG//ysgA//rpsC//torA//fimD//ssuE//umpH//carA//baeS//infB//metJ//hybA//mepH//carB//tpx//glgB//yggX//fucI//cysM//yfdV//lysC//treB//betB//fucU//rpoE//pgk//ldtC//osmC//sufD//xylA//metI//rimM//ppdD//lysP//casE//infB//frdD//ompX//nrdA//rutF//xylB//galM//idnD//allC//rrsE//folA//hyaF//argE//araH//glcF//metY//hyfH//glpF//iscS//bcsA//hyfI//asr//fldA//tnaC//rutC//hflK//nrfA//grpE//glnG//ccmB//ompT//emrY//caiT//purR//ysgA//metJ//phoH//ascB//amiB//purL//fepB//appX//glpT//mhpD//gapA//yiaO//phnE_2//ampD//pheS//livJ//fixC//mepH//ilvN//yqjA//yeiB//malT//nagC//xylA//livK//dusB//gltU//epd//hofM//ilvN//rutF//gspI//yjiY//gntT//mdtC//prpE//uxuB//aceF//nikB//lysO//nirD//gadB//metF//gatY//glgB//rpsO//dnaE//argH//uxuB//fimE//purL//lsrK//ybdN//pncB//ilvD//
Fur-Mn2+	rrsC//yfdE//nanT//tdcB//garR//rbsC//yfdX//adiC//fliA//ydhW//bamA//mtlR//nfuA//lsrD//guaA//yjcH//purD//rnpB//hypE//mglB//ycjF//cvpA//yfdE//oppF//ftnA//hyaB//rrfG//dcuS//malK//appY//puuA//gltW//yidQ//manA//entS//cyoD//hupA//ydhX//phoE//hybE//hupA//moaD//malS//ileT//ynfH//ebgC//alaU//artQ//frdD//ompR//patZ//gatD//metB//rplV//phoB//glcG//bcsA//map//srlR//paaJ//hycA//mdh//hflX//hycC//preT//rhaT//rhaR//pdeF//tdcD//rpsF//rutD//bioF//moaB//gspD//fimI//yqjA//rhaD//nuoI//purM//argI//fimA//ilvM//ysgA//acnB//entH//fumA//fabZ//ppiD//gcvP//idnR//glpR//fimG//mltC//mutL//mglB//folA//ygbA//tsaE//caiE//glpA//ccmA//aaeB//metF//amiB//raiA//oppB//pstS//livF//ppiD//cydD//tar//gutQ//agaV//cheA//cytR//idnT//fixC//yjeF//dmsB//speB//bamE//nlpE//phnC//mhpR//trpE//artI//moaC//yciW//sucD//phoR//fur//livF//preA//frc//hypD//lpxB//lsrR//nrdB//trpE//ftnA//
GlcC-Acetate	rutD//narJ//dcuS//cysB//ilvI//rutC//tdcC//
GlcC-Glycolate	ydhX//hisQ//mutL//gltV//nrdB//nikA//rrlA//
GlrR-Pasp56	garK//
IclR-pyruvate	cysW//puuB//galS//udp//
IdnR-5-ketogluconate	glgC//tehB//tnaC//hycA//serA//cyoC//rrlD//aroL//
IdnR-Idonate	sdaA//artJ//tehB//phnG//yhhY//hemA//nuoM//aroF//
IlvY-2-acetolactate	rhaS//ilvH//
IlvY-Alfa-acetohydroxybutirate	epd//dctA//
IscR-[2Fe-2S]1+	nusA//mutY//caiB//cyaR//cysP//paaH//hycG//fhlA//yhcH//envZ//mglB//phoA//csiE//rpoS//garR//hdeB//xseA//cynS//ygiA//ydeO//metE//agaA//paaC//rnlA//tdh//ygiA//bacA//creB//putP//idnK//ilvD//phnF//tauB//malY//araE//tam//nuoI//yqjI//torA//pflB//efeU_2//
LldR-L-lactate	cysB//iraD//yfdE//
Lrp-Leucine	fimE//nhaR//chiP//glpE//arfB//modB//casC//csgD//rhaT//nrdI//hyfG//phnD//yqjA//ompW//yeiL//fucR//nupG//cusB//tyrA//nrdG//recF//moeB//katE//yfeW//glpE//hofM//chbC//rhaR//rutB//acnA//mhpF//ygaC//gnd//ada//hycF//pdhR//glgP//hycB//nrdE//moaB//entH//ugpB//fimH//ssuE//glpD//fixA//entH//carA//uhpA//glrR//ydeM//metF//tyrP//gspF//purE//umpH//ychH//rrsG//fau//waaH//mhpB//bglB//cas1//ihfA//bioA//glpR//rrsG//glgA//ascB//tadA//glpR//ssrS//hpt//yccA//ydhX//gatB//aroA//nrfD//grxC//argC//gdhA//ompF//prfA//uxaC//glpC//ebgA//rnlB//aceB//betA//hybD//yiaN//lolB//hycG//trxA//ilvH//fhuB//sdhB//metR//pyrC//agp//csgE//dcuA//fiu//tyrR//uidC//narI//
LsrR	rpsQ//glpX//dpiA//cpxR//glpA//gspO//hycF//rplW//bcsC//
