#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ydiU//mdtC//hflD//phnE_2//
AlaS-L-alanine	malI//
AllS-allantoin	trpE//ygiA//aroG//
AraC-L-arabinose	cas2//iscU//pheT//malQ//napF//cheA//livM//azuC//glyA//rplD//rybB//dcuB//pgaC//bacA//
ArcA-Phosphorylated	sufC//glpC//flhC//narG//pgaA//bamE//nirC//hycH//abgA//yfdV//srlD//uof//frdB//rplM//nirD//hflX//umpH//glpD//trpA//ydeO//zraP//sucD//tsx//napD//zntA//glgC//hisJ//bglG//ndh//fhuF//cheB//mcaS//ulaD//ygiB//fis//aroM//rcnB//bglB//narL//zraP//fepD//glpC//yhjC//rbsK//crl//paaA//creC//tnaA//ugpQ//nlpD//csgB//uhpC//srlB//gspM//bioC//nuoB//mgrR//frdD//fldA//gspG//araE//citC//hyfR//tdcB//yjeF//sgbE//kbl//garR//hpt//glnA//znuB//udp//nikC//yiaK//mdtA//fepA//nrdB//nikB//fimC//adhE//rpsF//rpsJ//aceA//ebgC//agaA//fucU//sucA//nanS//torD//lpxD//glpD//cyoD//csgG//rhaD//argE//rbsB//rplW//rimP//araJ//glcA//uraA//cspD//fimD//nrfA//ccmE//norW//acrF//map//ygeH//mgtA//gadB//hflX//marA//napH//phnH//tfaQ//yfdX//purE//uhpC//ygiB//entF//rplM//hyfF//tdcD//malY//idnK//adiC//ilvG_2//mglA//agaW//cadC//deoC//gltU//atoA//fimE//fhuD//modB//carA//yaiW//ompX//prpR//uxaC//livH//ompC//argI//lyxK//glpE//yidQ//kbl//casB//gntX//rhaR//sdaA//csgC//alaU//aaeA//ebgC//nlpD//lacZ//dpiA//hycB//fecI//cheB//casC//uxuA//astC//mglA//rbsC//focA//mhpC//tdcC//ansB//caiA//uof//cstA//hycA//hyfC//
ArgP-L-arginine	yidQ//tdh//nadC//fimE//ptsG//sbmA//lsrG//uhpB//ccmE//bamA//flhC//modB//hofM//ilvN//prs//feoB//
ArgR-L-arginine	ptsG//fimH//hflX//tsgA//bcsZ//ampD//iraM//cadA//citD//ompA//cysB//phnF//yfaE//ptsH//miaA//tyrB//argT//xylR//nuoM//gspM//rrfA//phnO//narQ//lpd//tdcC//fhuA//livH//phnE_2//ssuA//nlpD//nhaR//frdA//entC//argE//moeA//motB//yaiA//katE//ldtB//
AtoC-phosphorylated	folE//puuR//galE//nanT//
BaeR-Phosphorylated	hisP//modC//modA//yneM//pck//narI//dapB//lsrK//
BirA-bio-5'-AMP	pck//xdhC//zntA//fimD//icd//
CRP-cAMP	malM//pitA//nanT//rrlC//metA//paaD//gntU//yeaR//aaeA//cas2//nrfF//araD//grxC//bioC//tolC//slyB//cdd//gltU//gpsA//acrB//emrK//acrB//gcvP//nanM//ilvH//fixB//edd//infC//chbA//agaV//yjeV//ilvX//chiP//ssuC//ptsI//uidC//yaeP//narJ//nrfC//ytfE//glpQ//hybO//hcr//ybjG//qseC//rutB//fliZ//yiaK//alaS//bioD//nrdB//gpsA//phoE//allC//csgG//tpx//yqjA//tsaE//uxaC//ydfH//caiF//ssuA//yfdE//astC//ppdD//rplD//cysB//argA//moaB//mgrR//araE//lolB//fimE//moeB//mtlR//nrdA//rhaS//rybA//tadA//ldtC//acrD//alaT//fimG//dnaN//envZ//sbcC//hyaA//phnH//rbsB//entB//oppC//puuC//fadH//ilvX//ydeO//uidC//acnB//ccmE//ugpE//sgbE//ompX//guaB//malY//modA//yfbR//dkgB//tdcB//betA//cadB//murQ//hybA//deoD//deoD//aroA//astA//oppA//oxyR//rrsC//tdh//cueO//rpoH//yfeW//tsaE//yiaL//dcuS//pgaA//ndh//hyaD//torR//phnJ//mntP//yccA//rutG//mglB//hycD//pdhR//cyaA//cusS//rrfD//lldD//pheT//manY//manX//purA//phoB//chbA//gltW//fucO//cusA//bcsA//oppC//ykgO//adhE//yebE//ppiD//fur//argD//rrfH//zraS//dppD//garL//gspD//ubiG//ampE//mdtD//lldD//hcr//fliA//ydhU//glnD//mglC//actP//murP//narK//argO//ybdZ//znuB//yiaM//ebgC//atoB//lacY//cspD//casC//gatC//fimE//qseC//torD//gntT//tap//nuoM//cyoA//sucC//creC//fldA//cysP//fnrS//slt//ampE//ispE//appC//nrfB//citC//qseC//fadE//ccmD//hybA//argD//cyaA//hypC//cheR//tktB//yfaE//ompW//melB//glnA//ileT//moaD//glpK//ydfH//livG//spf//tdcA//rplW//napH//bamA//cysJ//rrlD//hybF//rrfA//rhaR//moaE//tehA//hupB//nrdI//tam//argT//zinT//fur//tdcE//casC//cusC//xdhA//ilvB//osmC//rpsQ//lysC//cadC//glgC//malY//yiaM//ccmH//paaF//exbB//ykgM//nac//hycG//fepD//glcG//yhjA//lacZ//truB//ptsG//gspO//rpsS//moaE//napA//nupC//gspJ//nuoG//srlB//phnC//fadD//tdcF//glcA//argB//cytR//entC//lsrR//pstB//osmY//waaH//citF//gatC//ydeP//araJ//glgA//pstS//cpxR//torA//alkB//ugpB//citE//napC//fes//ccmB//ilvX//bamA//gadC//bioB//nmpC//gatZ//ftnA//garL//pgaD//gcvP//acrB//dppD//rrfE//glpF//dcuC//tyrR//carB//cysW//ompC//rrlE//gspO//ulaC//sucC//tnaB//bioF//znuA//cas1//cysN//yhiD//sroD//motB//cydD//malT//ycjF//yiaO//fecB//hslJ//cirA//uxaB//garK//betT//nrfA//rrlC//fhuD//hemA//csgA//zwf//gltT//ugpB//ydiU//fecE//copA//cysA//glpT//fhlA//dmsD//tdcD//mhpT//ldtC//dmsC//phoE//hisP//dcuB//cadB//yeiL//deoA//abgA//rmf//araF//fimD//yiaO//moeA//mtlA//deoB//cdd//prpR//yedX//ssuE//cydC//lldR//astD//ptsG//glgX//preT//citX//torR//nanC//nac//hyaF//speA//mlc//fhuB//cusB//purA//alaS//paaA//rrfF//gntU//grxC//frdC//nrfB//amtB//paaH//purL//ptsH//xylF//araF//skp//mntP//dpiA//cpxA//lrp//hycG//hmp//nrfF//entH//rbfA//mutL//ydeM//fhlA//nusA//gltU//fiu//xapB//speC//nagB//aroL//hyaD//fecR//yjjZ//iscA//raiA//ygeH//gapA//nrfD//metR//araJ//gatB//fis//metN//artP//chbG//fepC//livF//gapA//metH//malX//ugpQ//hybF//rutA//cusS//hybD//focB//cspD//lldP//rprA//nfuA//artM//phnP//lacA//glpE//hslJ//gntR//gatC//fiu//fumC//nlpE//ascB//idnT//narG//nrfE//phnM//fepG//yidQ//lpd//caiT//gatA//manX//nuoJ//entF//srlD//cheA//aer//malI//rrlB//cysW//rnlA//rplT//hybF//mgrR//nhaR//norV//tomB//qseC//malT//ygiA//treC//arcZ//glpB//raiA//puuB//nuoC//rpsF//gspK//hybA//rcnA//xylF//cvpA//ydeN//dnaA//pstB//purF//fecD//agaW//chbA//glpC//citG//raiA//astA//gcvT//fimF//gatZ//dctA//nrdH//gspI//carB//moaD//gatY//fixA//nuoC//
