#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	sucC//cdd//ygbA//citG//
AlaS-L-alanine	umpH//
AllS-allantoin	bamE//cydC//yegH//
AraC-L-arabinose	katE//rpoE//ilvL//avtA//bioF//pitA//uidB//chbR//yjeV//ybjG//znuA//fnr//csgF//fepE//
ArcA-Phosphorylated	glnG//avtA//rbsD//yhhY//aldB//uhpA//pgaB//csgB//nikB//gltT//rpsF//fau//glpQ//tyrP//polA//acs//argD//osmC//fnr//pgaA//thrV//lsrF//paaB//napF//nuoF//rplD//gltV//tyrB//fhuB//rdoA//narK//evgA//moeB//fimI//ccmE//oppB//speA//tdcD//lsrF//ascB//yhjA//phoE//hypE//ycjF//fepA//ilvM//frdA//hdeB//gspH//uidB//ydiU//phnD//napB//arcZ//carB//ugpQ//glpQ//fabZ//rutG//puuA//fimI//yfeW//gspC//malK//fecD//yccA//sucD//caiC//ampD//gltV//purH//cysJ//phoB//malM//iscA//hlyE//katE//fecE//araH//cynT//cydA//argH//betI//sodB//aldA//ydeA//casC//xseA//narK//ilvY//hcp//livK//rpsF//ykgR//mhpC//rrfE//gspG//creB//tyrB//mcaS//pstS//cysC//artP//yqjH//yfaE//mhpR//treB//rrsG//deoD//idnT//iscA//galK//ahpF//fepE//phoA//glpX//araD//uidA//hofM//ssrS//hofP//nuoE//glgX//nohA//serA//araJ//dkgB//sufA//ftnA//dcuA//proP//betI//skp//sohB//fnr//tyrR//acrD//treC//osmY//dppA//rseB//yhiD//fiu//nrfB//preT//pyrD//yhjA//cspE//cydC//lpxA//ynfK//hpt//rpoE//narJ//fecB//abgT//lacZ//lpxA//aldA//hisQ//dsbA//fhuC//ugpB//rpoH//yiaN//gspI//nrdD//yegZ//ung//rstB//yccA//gatC//katG//citG//rplP//uof//rcnA//
ArgP-L-arginine	rrfF//cusB//hybF//nanE//cysK//ebgA//ulaE//trpD//phnC//cpxR//ssrS//gspI//patZ//csgG//yoaG//cusC//
ArgR-L-arginine	hypD//murP//manA//nrfC//cadB//ubiX//zinT//ompA//ulaF//tdcF//hyfC//yqjA//dctA//yebE//cusF//fixC//ybiT//uhpB//yfdX//hyfG//grxD//ykgM//cydA//thrV//yeaE//aroH//bdcA//metE//phoA//ydeN//ccmD//bioC//tauA//prpR//ygiC//livF//moaC//mntH//lysC//
AtoC-phosphorylated	citE//agp//yggX//gspM//
BaeR-Phosphorylated	fnrS//zraS//lsrA//phnE_2//citF//carA//malY//yfiP//
BirA-bio-5'-AMP	adiC//ilvX//cusF//ykgM//ahpF//
CRP-cAMP	yjeV//znuC//caiD//galM//rpmI//sbcD//galT//aroA//glgC//ytfE//deoD//znuA//aroL//ilvG_1//lhgO//ilvD//gatD//entC//raiA//artP//napH//uhpT//nupC//rbsB//speA//yiaK//sdaA//gadC//aldA//lacA//cra//chbG//tdcC//paaG//nanE//ybdZ//ccmF//mhpE//yfdV//napH//livF//micF//ydbD//betT//pdhR//entE//csgD//sufB//hyfG//fhuF//mhpT//yegZ//rpsC//treB//csgD//amn//gadB//nanT//bcsZ//nmpC//rrsG//araH//uhpB//sdaA//frdC//lolB//pyrD//yaiW//ccmA//phnJ//hyaC//feoB//hyfJ//dps//acnB//murP//deoC//rutD//ansB//gadC//malT//fepG//csgE//rutB//yeiB//phnC//ugpE//hypA//ptsI//trmD//paaB//dnaE//bcsB//ugpQ//katE//nlpD//rplC//xdhA//marR//gspG//dppC//gspC//mhpB//nanT//ung//sufS//ompX//ascF//nupG//tdh//ccmD//tauD//glgX//lpxA//nuoH//bioA//tfaQ//modC//glpD//purN//yhiD//serC//exuT//proP//argG//cydA//iscA//hycC//uof//phnF//gcvP//ulaA//rimP//gltA//cusR//srlR//hdeA//ptsG//rhaR//nirB//livH//nuoI//ybiT//leuE//melR//moaA//argF//tdcC//fepA//thrV//pheM//fnrS//sodA//glcB//psiE//malS//nuoJ//fadL//livJ//cysD//gntR//phnE_1//fecB//talA//ilvA//argF//ulaC//dusB//tdcF//dusB//ydhW//yibN//mgtL//mglB//hfq//aroF//mepH//araA//phoA//rutB//nrdB//feaB//rcnA//trxA//garP//metA//xseA//mntH//srlR//aroG//tolC//crr//pstC//arcA//bcsC//epd//spy//infC//trxA//agp//ompA//casC//alaT//atoA//rpsP//pitB//nhaA//phnH//nuoJ//pdhR//pstC//tnaB//csgE//acs//nikE//argR//fhuF//idnR//murP//garR//gltB//ilvG_2//pnp//phnE_2//pnp//paaF//fadB//nohA//mdtD//rrsB//actP//pheS//yeiB//ydeA//rplV//abgA//sucC//atoA//ulaE//ssuA//yqjI//cspD//fadB//aceF//ydeN//phnF//fhuA//rutA//rstA//tolC//cheY//norV//hycF//rhaB//mhpR//tap//casE//mcaS//ascB//phnL//napH//narG//ygbA//ccmB//gspJ//pta//galM//tehB//nrdI//rnhB//hyfF//hmp//xseA//arcA//puuA//dppB//melR//icd//nrfC//nupC//rplM//fadB//hycG//agaA//ygiB//purR//citC//hdeB//gltB//xylF//bamE//galM//dnaE//metI//fdnI//gatB//rplD//gspM//yecR//aceF//casD//ygeA//nagE//araH//rpsP//patZ//ihfA//gltW//fecC//dnaA//puuR//manY//puuD//cysA//hybD//bglG//astE//prpB//gntK//purL//fecD//argD//astC//rplT//frdC//atoB//gcvT//nanM//feaR//artQ//purR//dctA//cysU//tfaQ//nrdB//phnK//nrdA//nrfG//ydeN//caiT//yecR//ydeO//gabT//dmsB//ydeN//acs//artQ//speC//ugpB//kbaZ//ychO//cheR//rrsH//dcuC//dnaA//ydhY//ssrS//fdnH//fixX//glcA//tyrA//dmsD//micF//amtB//ompF//fepA//evgS//torR//hyfR//fdnG//hemL//rpsJ//iscA//lpd//iscS//dpiA//cueO//galK//acrD//metB//nrdI//mepH//narH//appB//xapB//sodB//uof//lsrA//lpd//metF//glcC//yfaE//azuC//bglB//osmY//cpdB//gntX//glpG//mgrR//rrlB//paaI//iraM//acrA//trpD//trpC//phnE_1//fepA//cheY//cheY//carB//gcvH//nupG//tyrA//hycE//ilvD//tktB//xylR//dadA//zraS//phoH//srlR//nanK//nikB//rhaA//ygiC//fucK//grpE//rstB//fimE//cas1//fhuD//ybdZ//speA//yecR//ilvD//fhuE//gatC//gabT//yqjH//ssb//hycA//phnO//cysB//lpd//amtB//waaH//skp//hyfB//hisQ//rseC//napF//ivbL//rprA//ilvY//artQ//rpoS//murQ//nrdG//ugpQ//sufC//rhaT//fiu//napH//garL//zinT//ilvC//tam//pheM//mgrR//chbC//rrlE//ispE//tcyJ//phoE//hflK//rhaT//cysB//malS//artM//cpdB//yccA//sodA//ygbA//glgP//patZ//mcaS//ebgC//hybF//hypE//cyaA//ileV//iraD//hisP//ilvE//agaA//nuoG//rhaD//pepT//ptsG//abgA//mhpC//codA//hofO//rutF//frdD//ynfG//cyaA//hlyE//mdtD//gspH//metK//fepE//crp//pheT//rplI//purM//ssuD//tolC//cpxR//cysB//focB//ydeM//fepE//nuoK//zraR//
