#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ygiC//hyfH//argC//napD//
AlaS-L-alanine	hcp//
AllS-allantoin	gatY//ivbL//ahpC//
AraC-L-arabinose	evgS//yhiD//metC//nikB//nanM//purR//yfiP//abgA//aldA//araF//iscA//rutG//glgC//xylA//
ArcA-Phosphorylated	ybdZ//gltF//dnaA//yeaR//fixA//fhuE//puuB//appC//melA//yegH//rhaA//gyrA//gabP//citC//nuoL//ubiG//yneM//metY//livG//hyfI//caiB//tsaE//crr//dppB//soxR//napC//soxS//speB//phoU//gabT//rnlB//argD//hypD//malS//qseC//paaA//tar//trpA//polA//uidC//hybG//alaS//casA//nrfF//rseB//idnK//malT//atoD//dpiA//moaB//gatB//narI//dppA//marB//fhuE//ulaB//cheZ//mdtA//pck//tdcG//tonB//sbcC//malS//rbfA//flhC//araA//hlyE//zraR//nmpC//ptsH//tolC//rnlA//fau//ubiX//glpG//pgaD//recF//moaC//cadB//yojI//cydC//frc//cspD//srlD//csiE//cyoE//bglG//hypB//ytfE//rpoE//phnC//ulaF//narG//purH//ascF//lacA//sbmA//rpsP//malP//dsdA//gpmA//nuoF//narH//gltA//appY//waaH//uraA//fepD//sdhA//argA//bcsB//chbF//argP//lyxK//ilvI//srlB//moaA//ilvM//nuoB//infC//rseA//evgA//ssuC//torR//fnr//allC//rnlB//nrdF//nrdD//yhiD//yqjA//moaC//abgT//yoaG//srlD//rutB//mhpC//nfuA//asr//garP//atoE//phnP//rrlC//csgB//sgbU//tfaQ//napC//nanC//ynfK//caiF//nrdI//fadB//uxaC//argP//hyaB//rof//srlE//csgD//xylA//nirD//cysI//gntK//idnO//deoC//fepE//cheY//lysC//mpl//aaeX//marB//garK//glpF//yjeV//cspD//tdcE//csiD//tomB//
ArgP-L-arginine	fimF//cysW//metF//mhpT//narX//purF//frdA//rseC//napC//artJ//melR//dsdA//rhaT//modA//glgC//dsdX//
ArgR-L-arginine	pgaD//entH//gatY//malG//gltF//lsrA//rbfA//codA//napC//tnaC//ygiA//mutY//infC//hisM//cysN//lacY//hycG//ilvE//tyrA//tap//phnE_2//aldA//rof//ygiC//nrfC//mtlR//astA//ulaE//rpsR//ileV//lsrD//puuC//dadA//yhfA//pgk//pgk//aroA//paaZ//rpsS//
AtoC-phosphorylated	fepA//glyA//fecB//rpsQ//
BaeR-Phosphorylated	tdcB//purN//hyfR//glnG//xdhB//fimF//torR//rrfF//
BirA-bio-5'-AMP	ileV//paaD//pyrD//yeaD//tktB//
CRP-cAMP	yrbL//nac//gatA//ebgA//glpG//gltT//betI//fadL//feaB//ykgO//yhiD//hdeD//arcA//ysgA//nanT//hycB//nuoA//norR//rhaS//oppA//fucR//murP//glgP//hybF//atoB//yeaR//metK//lamB//frdB//ugpA//nrdE//torD//narL//comR//lyxK//citX//dadA//patZ//recF//rrsA//mpl//rpsQ//motB//pyrC//yjcH//purE//preT//dadA//rrlB//livH//feaB//gutM//argB//cynX//rpsP//narK//mutY//cydD//ugpC//metA//slyB//mgtA//nirC//entF//xdhB//xdhB//rrfD//zinT//nrdF//phnP//zinT//cas2//argD//rrlD//rimM//hybD//mntH//nrdA//psd//nuoF//uhpA//ulaC//srlB//gntR//kbaZ//creC//umpH//thrS//hlyE//mdtD//serA//ampE//nuoE//katE//yccA//ydhX//purR//degP//feoA//ubiA//caiE//murQ//oppA//aspC//hha//nanK//artJ//paaC//truB//rstA//slyB//stpA//rseC//guaA//nrdG//fldA//caiT//sxy//glgS//yfdX//fliA//abgA//tehB//melB//mtlD//araB//rplS//hybF//trpD//phnD//ccmG//baeS//ebgC//prpE//rplM//srlR//avtA//nanS//adhE//sohB//dnaE//bioF//ulaE//artM//csgF//secB//livH//cueO//ilvA//yjcH//gltU//yfaE//hybD//nikE//gpmA//cadC//copA//rpsI//abgA//cysB//fhuE//hycA//hcp//bhsA//ftnB//narX//marA//pgk//gatY//melR//fadB//rpsO//psiF//gspM//rbsB//mutY//cynR//ilvM//fabZ//cyaA//spf//livH//degP//cyoD//lacY//glpC//feoA//entE//stpA//nuoF//iraM//yjiY//sroD//ydeJ//codB//aaeB//hycC//marR//nrfC//cysG//cspE//mutL//cadB//dsdX//bglB//cysC//erpA//hyfD//glgX//lysU//entE//rnlA//dcuD//caiA//map//livG//ynfE//acrE//hybD//araA//pagP//mzrA//narX//amiB//puuP//puuB//rbsK//polA//argH//paaK//atoB//glcD//moeA//metR//ompW//dsdC//pyrD//pstA//nagE//rhaD//pflB//narQ//cysK//phnH//malM//hpt//hflC//prs//dgcZ//nanM//cysU//speA//rnhB//hybD//leuE//envZ//yeaE//atoA//argO//spy//ulaB//rstB//hemA//xdhC//rrlG//astD//argH//phnC//livK//hybF//ccmA//rrsC//ompR//rrfC//ptsG//ompW//rbfA//carA//hdeB//dppB//psiF//citF//stpA//dusB//sdhC//ldtC//ulaC//melR//glyA//rplC//yidQ//phoB//ilvD//yciW//rstB//fepD//lacZ//lysA//preT//glnK//mhpE//marR//cra//mcaS//fabZ//glnG//tam//nhaR//dppF//chbF//glcA//moaB//oppF//mdh//cysC//rnlA//xylA//sufC//hofM//rmf//nrdD//treC//tpx//csgD//erpA//tdcA//proP//abgT//sdhD//yjeF//waaH//rplB//feoB//ycjX//aldA//ilvX//aceA//iraD//agaW//ileU//rbsK//csgD//hyfJ//rutD//phnN//gpsA//rmf//evgA//caiC//rbsR//caiC//cusS//tdcE//ycjX//treB//tcyJ//cyoC//nupC//mpl//cysM//malS//hycH//metB//hycC//ompA//cynT//malY//yojI//ispE//miaA//rutE//purN//cyoC//hdeD//ydfH//tauC//rstA//phnN//zntA//rplD//cyoE//sodA//yibN//hypF//hofN//astC//cpxR//cysW//ilvL//glnL//glcA//manX//fepA//frdA//mhpE//rpsR//hofB//ygiB//degP//gyrA//argC//prfA//gdhA//gdhA//exuT//tar//mntP//fdnI//pgpC//idnO//cynR//hydN//nrdF//uhpB//chbF//rpsR//artI//cynX//napA//phnN//yhjC//lldP//tdcF//purA//ugpE//gntP//cra//rrfD//melB//frdB//entB//glnA//xseA//mntS//deoD//fimD//exuT//mgrR//upp//eda//gutQ//fucA//hyaB//chbF//artI//rcnA//frc//fixX//yaiW//ilvE//metE//norV//casC//deoB//idnD//yjeF//nrdI//xapA//ampE//emrY//pheT//csiD//creA//oxyR//ysgA//gabP//acnB//rplC//tnaC//xapB//glpK//argR//yfiP//phnL//prs//hypC//aaeB//dpiB//gadC//norR//grcA//alaV//agaA//rrfD//exbD//tdcF//mgtL//xdhC//narQ//yibN//nikC//agaA//purB//rpoE//nikR//pncB//fimE//glcE//araB//focA//ccmF//mdh//psiE//dppC//gntR//oxyR//argD//exbD//pgaA//tam//acrF//sbmC//alaS//rbsA//fumA//sdhD//ccmG//leuE//uxaC//astC//hycI//astC//fumA//napB//preA//
ChbR-Monoacetylchitobiose-6P	yjeV//grcA//treC//glgA//xylH//ldtC//
CpxR-Phosphorylated	feoC//ydbD//rutC//dsdX//xylH//chbR//fimG//cheR//ssuB//gspF//cynX//phnM//rof//hypB//torC//ompR//glnB//paaE//gspE//oppA//purC//bhsA//aer//grpE//hmp//cueO//nanC//hybO//ugpQ//fimF//ydeA//dkgB//iraD//lsrA//glnL//mzrA//gatD//aceK//moaC//nuoJ//ahpF//tdcE//nlpE//dsdA//fepC//rpmC//rrfE//manA//metK//exbB//dppB//yggX//lpxD//cheY//fadA//ugpE//dcuD//crp//gnd//uxaB//galS//purD//pheM//ydhT//efeU_1//rimP//purD//tdcG//nagE//
CreB-Phosphorylated	rrfB//iclR//mtlA//yneM//lsrF//fadI//rpsO//yfaE//hypE//
CueR-Ag	galS//bacA//sohB//infC//yjiY//agaW//zinT//
CueR-Cu+	nagC//aroL//nuoH//fecC//ssuD//zraR//garL//
CuerR-Au	fadD//yeiW//manZ//ydfH//rpoH//mutY//yfdX//
CusR-Pasp	aroP//hyfF//tdcC//amn//hofN//yhfA//yqjI//glnL//fimD//fecD//borD//hslJ//
CynR-Cyanate	cydD//caiA//ogt//rplP//
CysB-N-acetyl-L-serine	prpE//hcp//hypA//hyaE//csgG//argH//metK//gspC//tyrB//fnrS//ung//ulaB//mhpF//tyrA//ccmA//rutF//codA//rrfE//polA//rrfH//ssuB//lamB//fhlA//napH//polA//bioA//mglB//sxy//tdcE//gltT//
CysB-O-acetyl-L-serine	tauB//ivbL//creA//pta//hisM//alaA//exbD//cadA//feoC//aceE//argB//csgE//modA//chbF//dppF//dapB//xapA//rrfF//sufA//pgk//aaeB//rutF//fau//dppD//betA//caiT//fadI//livK//fhuA//melA//hybB//
DcuR-Phosphorylated	nrdA//napH//alkB//lacY//ccmD//gltD//ptsH//ybfN//appX//
DnaA-ATP	srlA//ydeP//rutC//znuB//marA//yfdE//yqjA//nikD//argF//rrfF//nrdD//tcyJ//
DpiA-Pasp	casE//gatB//mutL//cadC//fabZ//sodA//galP//guaB//ascB//aceB//phoU//
DsdC-D-serine	umpH//garL//bioB//
EvgA-Phosphorylated	bglF//nirB//argT//oxyR//allC//ugpA//ygiC//lsrR//tauC//dapD//rbsK//rhaT//fepD//dcuD//tauA//
