#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nmpC//lrp//hycG//pdeF//
AlaS-L-alanine	sxy//
AllS-allantoin	hycC//katE//dpiB//
AraC-L-arabinose	cyoA//hybB//hflX//rplI//mglB//tsr//lldP//cysU//citF//sdhC//casB//narK//malS//ccmG//
ArcA-Phosphorylated	nrdA//rrfB//moaA//puuP//fimC//artJ//dapB//dapD//fadB//narL//bioD//cusR//mtlD//hcr//ansB//artJ//acs//rpsP//rimP//mdtB//csiD//hypF//galT//pheS//yidQ//evgA//garL//cas2//paaZ//deoB//sucA//phnO//soxS//aldB//ileU//hyfC//glnG//rhaR//carB//proP//argR//azuC//rrsE//rrfH//livK//glnK//polA//uidC//caiD//nikR//entE//katE//pagP//preT//fes//motB//phnN//cheW//fimE//fixX//treR//ubiA//rrlD//yhcH//galP//napB//prpD//cusF//metK//bioC//yaeQ//ilvH//rbsB//aroH//fhuF//moeA//murQ//gltA//nuoJ//rrlD//ileT//ydhU//dcuR//folA//icd//ugpC//mltC//ygeA//hisQ//folE//ychH//metH//sufC//aceF//fnr//prmC//glpX//rnlA//argE//glrR//nrfB//fixA//yaeQ//aaeA//lsrR//casE//iscS//nikR//marB//phnO//csgD//cusC//ydbD//yeaE//mgrB//fucO//gspK//dcuR//agaA//ogt//rhaB//livG//metK//yeaE//hybB//rrsC//narL//rrfD//gltV//nuoH//ompC//nikA//bcsB//rrsA//purF//oxyR//uidA//nuoG//napA//rhaR//deoA//fur//rrlE//lsrA//pstA//ybjG//artP//zraP//citD//aldB//glpQ//gntX//ydfN//glgB//purH//fepD//hofN//glpK//aidB//napF//gntP//psiF//emrK//glcG//rprA//creA//lsrD//glgC//nuoC//cysA//galT//nuoN//rpsC//hisQ//mhpE//fdnI//fhuE//
ArgP-L-arginine	lsrF//patZ//gltW//baeR//bioB//yiaK//aceF//bcsZ//fimF//hybE//ebgC//gntP//fbaA//ybdN//preA//folE//
ArgR-L-arginine	hypF//nrfD//abgB//mcaS//cstA//mhpC//ilvN//ugpE//rrsB//dppB//tktB//cspE//tehA//galS//fadB//rrlD//yjcH//kbaZ//hybC//cysK//mtlD//modA//treC//araJ//rrsH//ycdZ//galK//serC//nupC//citD//cysI//nrdF//cyaR//cynT//lacY//cyoE//artQ//miaA//idnO//
AtoC-phosphorylated	astA//araC//ygiA//iscS//
BaeR-Phosphorylated	argA//sdhB//amiB//hypC//garP//livJ//fixX//hha//
BirA-bio-5'-AMP	glcC//appC//marR//phoE//exbB//
CRP-cAMP	nrfA//argD//glnG//phoP//yhhY//hycI//umpH//rrlG//cusB//ugpC//paaF//rmf//gspI//exuT//yaiA//rpoH//ulaA//osmC//ilvH//qseB//aidB//lrp//trxA//nuoL//puuE//ydfH//gutQ//hyfF//malQ//yegH//fes//ascB//tsaE//phnJ//cusS//yaiW//fhuE//feaR//fecR//dpiB//galK//amtB//pgaB//nfuA//yaeP//ilvC//paaH//ydfN//purC//pta//srlD//pheM//tauC//yedX//fucO//artM//treC//pstC//leuE//idnT//mhpR//glnL//osmY//ackA//rrsA//tyrR//udp//nagA//cirA//dppD//paaE//paaC//raiA//mhpF//entE//yegR//paaB//ssuB//fepD//trpB//cueO//trmD//cydC//lysP//nagA//casE//phoB//gspE//carB//ilvY//yhfA//ldtB//psiE//rdoA//fau//fabZ//dcuD//cysN//hypE//purC//flhD//hycE//rplC//ssuC//hyfA//metY//fucA//rrfA//nusA//deoA//sucD//yhhY//qseB//dps//rrfC//edd//trpC//rrsC//garP//hybG//trpE//rutD//atoB//gnd//ompR//cydD//kbaZ//dpiA//gltB//appB//napG//nuoJ//focB//argI//fdhF//araJ//fur//rhaB//nanE//melB//fimI//ybjG//rplS//zraR//gnd//paaA//hyfE//fadH//atoE//entH//amn//sufA//ackA//ydhX//moeA//ulaB//cra//cynR//rpmI//nupC//fadD//citD//glpX//fdnG//atoA//atoB//zraP//cusF//hdeA//dcuA//aer//yiaK//agaV//fadJ//katE//pdeF//qseC//metJ//cysM//fucP//araF//hypF//rpoE//sbmA//dppF//phnC//hyfE//rstA//metJ//prpC//bglF//tpx//preA//ilvM//astC//lldD//lldP//glpX//ahpF//pitB//lsrB//hybF//argC//livH//tnaA//entA//cspD//rrfC//rbsR//evgA//uxuB//frdA//metL//phoE//xdhA//ilvA//cysU//hupB//malQ//codB//paaH//oppA//fabZ//ycjX//zraS//appA//ydhT//napH//dpiA//fliZ//crl//hflC//nrfF//ilvL//caiE//araG//rplP//xapA//glpF//rplB//mhpT//fucR//dadA//polA//norV//deoC//hofN//fucI//slt//pstA//lldD//tdcA//malK//idnD//astB//galT//hpt//acrD//malM//abgA//lysC//pta//mepH//dcuR//rplV//yegH//sucA//aroP//gspM//fecI//rdoA//oppF//ahpF//ccmG//truB//cra//feoC//grpE//rnpB//paaA//glgC//lysP//nuoK//hupA//rhaA//tnaC//casB//osmY//fecE//lacI//ydhW//flhD//nagC//hycE//mglB//hyfA//hofP//osmY//cspE//mltC//casA//hypB//metK//bioC//hlyE//ptsG//galT//rrlD//malP//leuE//fimF//gspF//moeB//manX//livJ//nrfF//hisJ//tauC//hyaC//nanS//fecA//dsdA//ygiC//manZ//glpA//phnI//hmp//rseC//narQ//tauB//rplW//rof//mhpT//yfbR//carA//iscA//bamE//safA//yeiP//fimG//lysO//hcr//gabT//efeU_1//oppA//ycjX//xylA//trmD//hybO//gspI//yfbR//ilvL//fixB//lacA//ompT//chbG//argR//aspA//evgA//puuC//hypA//csgA//rpsP//serA//rpsS//csiE//glcA//mpl//ubiX//yfdV//napG//nrdG//lysA//nanE//hyaA//marR//rbsK//uidC//cheR//glpE//lacI//melA//malP//polA//rplM//metF//ada//mipA//xylH//tam//ydfN//dmsB//galK//hybE//frdC//dppD//ugpC//puuD//aspA//yqaE//rplB//atoD//artI//ihfA//rprA//nirB//ynfG//pta//phoB//dapB//mdtA//rrfG//aroF//fadL//ccmB//ychH//sufD//rrlG//yjeF//modC//melB//astE//caiE//envY//galM//gltF//moaD//napH//yfdX//metL//fhuA//ascB//tauD//ybjG//hycC//fecC//rutE//gatB//sdhA//dnaA//purK//phnN//entD//ilvG_2//ilvM//dcuD//acrD//rrlE//xseA//rybA//ivbL//fixC//yfdV//rrsE//ydhY//cydB//recF//fucA//cysH//phnN//xylG//artP//nfuA//hofB//nrfD//dmsA//flhD//tyrA//dapB//yoaG//xylB//carB//cirA//allD//hyaD//betA//yebE//rutA//tnaB//gltD//nanC//cusA//purR//glpR//argB//pnp//ppiA//nrfE//cydD//fucI//rrlB//aldB//metA//mtr//yeaD//citC//argC//lysU//fimF//dnaE//sdaA//rrlB//rof//yibN//gyrA//astB//yjiY//bglF//prpB//rrsH//yfdV//ilvM//yeaR//ybiT//tsx//deoB//hisM//nohA//bcsZ//nrfB//gltW//mgrB//fimA//purC//treR//
