#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	creD//gcvT//sodB//hdeB//
AlaS-L-alanine	hupB//
AllS-allantoin	ileU//mtr//evgA//
AraC-L-arabinose	acrD//ugpC//oppD//rybA//oppF//atoA//hyaC//feaR//moaA//hycC//paaB//ackA//gntP//mcaS//
ArcA-Phosphorylated	fumB//livF//livM//artJ//cydD//cadC//mhpT//rrfF//sxy//cytR//prpR//rbsA//borD//fdnH//dusB//bacA//mdtC//astE//xylF//yeiB//tdcG//ygeA//hyaB//napG//cadA//rseB//mtlR//hofB//hycF//acrB//gdhA//gcvP//frc//rpsQ//prpB//mhpR//rutD//cheB//oppB//motB//ygbA//ydeJ//rpsS//puuC//mdtC//chbC//pgpC//hlyE//tar//caiA//mltC//nmpC//sohB//tauD//mgtL//csgC//cas1//zraP//fhuA//argB//rhaA//sufS//fdnI//pgaC//dppF//ydiU//sbcC//yeiP//lacA//ubiA//tdcG//nhaA//ackA//appY//rplM//cvpA//lyxK//sdhC//cirA//pgaC//ccmE//polA//nrdA//phoH//nikE//ydeJ//ubiA//exuT//malG//malT//comR//cas1//fdnI//uxaB//nirC//paaJ//tam//nirD//atoE//codA//yjiY//gnd//dppA//fumB//trpR//yhcH//ssuB//napB//glpE//hslJ//rpoS//truB//rnlB//pyrC//metY//motB//dapB//sbcD//deoA//csgG//lrp//eda//phnD//iscA//aaeB//mltC//ykgR//metK//arcZ//rrlG//yjeF//rrfE//nagC//dpiB//waaH//hemA//lysA//ebgC//puuC//gltU//yfdE//araG//hycE//hycG//soxR//zraR//ccmC//ihfA//ompC//icd//citX//nuoH//yfeW//araJ//livF//mhpE//hyfI//ugpB//citC//astB//napG//hisJ//hybO//trpA//hybO//cueO//paaE//tolC//zntA//yggX//copA//raiA//paaE//tehA//entF//hofB//rnpB//
ArgP-L-arginine	fucA//gdhA//nrfE//yegR//ptsH//nagA//ilvM//hyaD//proP//cspE//gcvH//ulaC//galM//glnG//uidC//csgD//
ArgR-L-arginine	hofM//rnpB//cheW//hflX//hyaF//nrfE//mscM//fadH//nhaA//rrlD//dnaN//alaT//ilvD//rrsD//hybD//yfiP//gcvT//cheY//mzrA//metR//alaV//dpiA//frdD//rplB//ynfH//hyfH//agp//yjeV//deoD//citE//dusB//gltT//nupC//yeiL//pstA//nikE//entA//puuP//ung//
AtoC-phosphorylated	paaA//napF//iraD//ugpE//
BaeR-Phosphorylated	cysG//sbcC//rutF//ompT//galS//sucC//moeB//glpQ//
BirA-bio-5'-AMP	fadL//hfq//nagB//truB//creD//
CRP-cAMP	rpsR//cysK//nuoA//yaeP//lsrR//tsx//rpsS//tsaE//asr//hdeB//ccmE//hycC//mntH//guaB//dmsB//ilvH//ychH//trpA//betB//napF//sodB//cysP//lldR//modA//rutD//phoR//glcB//dpiB//livF//ydhY//oxc//purK//csiD//entF//znuB//ydeM//treC//paaK//phoA//mdtC//nuoI//dusB//aroF//yojI//ivbL//rplW//rpoS//polA//hyfH//gltF//aldA//tauB//sdhA//pheS//glnG//dapD//baeR//glgS//purB//nikB//puuB//csiD//fixX//cusA//nrfG//gutM//rnlB//prpB//prfA//fimF//nikC//gltB//yfdV//crr//efeU_2//dps//trpD//lldR//hha//evgS//prpB//ilvC//ompT//cspE//fecR//yiaJ//argP//tam//alaV//nuoA//efeU_1//hfq//norV//creC//emrY//gspK//hisJ//araJ//glpC//creD//ascF//hyfF//pgaD//aroH//aaeR//yidQ//atoA//pgaD//xapB//phnC//polA//mntH//argO//bcsZ//hypC//cheY//entH//purR//fimC//ilvI//gspM//ilvX//ubiX//dapB//ackA//rbsD//hofC//caiF//acrA//fumC//metA//lldP//nuoB//rcnB//gntU//zntA//mcaS//chbA//rpsC//citF//paaE//dadX//mdtD//arcZ//manY//sgbU//yrbL//rplP//ugpE//artP//idnD//hyfI//dppD//phoA//cyoA//rrfG//yfiP//iclR//ssuD//ryhB//lacI//ynfH//pgaB//phnN//metA//gspD//mglA//fadI//trpB//nuoK//nirB//argH//dkgB//gcvT//trpD//dcuD//metB//purF//nuoH//dcuA//dadA//hycC//nuoN//pflB//zinT//cynT//argO//hycF//prpR//araB//lysP//amn//moaA//glpX//dctA//fepB//crr//fepE//envY//rstB//ompR//motB//atoD//nrfE//lysP//nirB//sbcC//fliA//citD//tauD//ydeJ//pta//torR//ybjG//entB//bioA//ndh//tam//glcF//ubiA//araE//yccA//pyrD//ptsH//pck//narJ//nupC//cysD//nhaA//phoB//abgB//iscA//rbsR//nuoK//caiD//glpD//rbsR//ackA//phnF//fucR//phnD//pgpC//hydN//ybjG//ompX//idnK//fbaA//mzrA//zraR//alaS//cysB//tnaA//nuoJ//fhuB//csgC//glyA//fhuB//gcvP//torA//tdcA//argP//hycB//skp//gspK//alaT//rrsG//rrlA//livF//nrdE//ileT//yaeP//purF//mglB//fecI//rplV//tauB//fepG//efeU_1//ydeO//ydhT//cspD//glpT//nupC//yhiD//lacY//alaU//bioF//hyfA//rseC//rpsR//gntU//fadJ//yfiP//hyaB//phoE//aaeB//fhuD//narX//rrlC//sufB//feoB//dctA//tam//casA//abgB//cyoB//acrB//allC//xdhA//rrlH//evgA//dnaE//ydfH//mglA//uidB//ascF//aldA//lacA//hfq//bioB//gapA//fepD//astE//stpA//phnK//sohB//nuoG//pck//erpA//lpxB//cynT//entH//ugpB//pgaC//ivbL//cysH//acs//yaeQ//aceF//alaS//yggX//stpA//yqaE//gntP//lacA//ompR//ompC//glnA//xdhC//csgB//kbl//yiaJ//ndh//tauB//codA//cysK//rplV//sucC//amiB//nlpD//argC//fdnI//tadA//lldP//cysK//hycF//ilvL//narK//tsr//dcuC//arfB//hisQ//fixB//fabZ//phnE_1//nagA//glgA//aroP//grcA//mdtA//pck//fixX//icd//lsrD//xseA//fucA//mglC//envZ//fdnG//ilvX//phoB//gntR//pstA//artI//casE//tyrR//metL//arfB//cydC//tauA//ycjF//phnM//metQ//feoB//grxD//nuoG//rbfA//mhpA//bglG//uxaC//fimI//mcaS//gpsA//narX//cyaA//rrsE//yfaE//purN//fnr//znuC//livK//alaU//mipA//hycD//ydeP//mgtL//artP//atoD//hyfF//paaF//uxaB//nadC//cysK//malF//rseA//napA//mglC//infB//lyxK//entC//acrE//metA//yojI//murQ//upp//yhcH//lpxA//comR//nrfA//uvrA//uhpB//artM//emrY//lsrK//yrbL//argD//ccmA//yeiB//frdB//yfbR//edd//modC//gadC//ydhV//aroL//ytfE//nagB//frdA//paaA//evgS//yiaK//rrfC//cusB//ompW//glpF//cyaA//leuE//uxuR//gltV//dmsC//artQ//argP//mhpR//araJ//secB//metR//nrfC//acrA//hslJ//lsrA//recF//puuR//aroL//metB//uhpC//pheT//caiE//narQ//garP//fepC//znuC//ssrS//cyaR//cadC//yeaE//acrE//garP//yeiP//glpA//tam//treR//glnG//sbcD//fes//tauA//lpxA//argI//cysG//xylB//amtB//ugpQ//fadL//tadA//murP//iraD//
