#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	dpiA//pstC//glgP//bioB//
AlaS-L-alanine	ybdZ//
AllS-allantoin	ygbA//yegR//glcD//
AraC-L-arabinose	lpd//ydhV//lhgO//nohA//trxA//ilvI//ptsH//yhiD//betI//cpxA//adiC//nuoM//dppF//uidA//
ArcA-Phosphorylated	pgaA//yfiP//rrfF//ynfG//rplD//garR//rutA//trpL//rutF//sucA//gspF//nikE//acs//lpxD//argG//hyfE//ytfE//gpmA//ulaA//bglB//cysN//ldtC//acrF//gatZ//rpsS//chbA//ileU//pdhR//gspG//cysA//sxy//araB//nac//alaV//napG//glpT//mltC//purE//gspH//pgpC//nanT//acrF//cysK//ilvX//hyaB//rrsE//uxuA//metL//prpR//nrfE//trmD//gspF//fau//dpiB//fixX//iscU//trpE//gutQ//dnaA//focA//gspH//dpiA//csgF//arcA//gltU//appC//nuoH//ssrS//feoB//ilvA//phoE//ydhW//ccmD//alkA//mdh//astA//lyxK//argF//fabZ//yeiL//purL//sucD//hflK//ygeH//yjcH//xylH//rbsD//hlyE//moaC//dadX//rrsD//nuoN//entB//araJ//glgP//fadE//osmC//abgT//nuoJ//alkB//fimD//paaH//hdeA//edd//nuoJ//tyrP//nupC//adhE//dadX//ilvD//argI//xapB//uidB//aroP//hydN//napC//lsrA//trxA//ykgO//grcA//prpC//acrD//modB//aroF//hyfB//rutC//hofC//feaR//cynT//moeA//ada//ydeJ//fnrS//pstC//ftnA//aroA//ompA//ivbL//ulaC//gltU//rseC//metR//dpiA//nanA//ilvH//fdnI//srlA//garR//aldB//hofC//ldtC//tyrR//gntT//mipA//nuoK//cusC//epd//modA//puuP//nrfD//rseC//cheZ//ahpC//treC//yqjA//nuoI//gatA//murQ//hupB//dcuR//gcvP//mhpF//aroF//lysC//tehB//gnd//garR//
ArgP-L-arginine	torA//malM//livK//aaeX//prmC//sucD//gdhA//eda//ubiX//cusA//fadB//uvrA//galK//gatC//frdA//csgD//
ArgR-L-arginine	fau//aldA//fhuE//sgbH//mntS//hflX//pitA//nagB//phnD//edd//rpsO//malX//glcA//caiT//tdh//ftnB//fhuF//bioB//frdC//puuR//ykgO//dusB//lamB//yjeV//malT//yojI//nuoK//gspJ//ydhV//fumC//argR//hycF//nrdH//ssuB//yfdV//artI//dsbA//garR//tar//
AtoC-phosphorylated	rimM//hupA//manX//yiaM//
BaeR-Phosphorylated	yeiW//tsx//narG//hycI//fldA//nuoC//talA//cysK//
BirA-bio-5'-AMP	bamE//mhpD//phnK//qseB//ssuB//
CRP-cAMP	sdhA//feoA//gspM//paaI//phnI//tehB//malK//yaeP//gnd//yaiA//oppC//rstA//ssuD//rplS//trxA//flhC//napA//tauA//ilvG_1//ascF//cusB//yebE//gltD//rpsJ//gspD//yeiB//ybjG//nikC//iraD//frdD//acrA//acrE//nikD//nhaR//secB//yfbR//rybB//gadC//rseB//moaA//dsdA//rutE//serA//ahpF//ubiA//hlyE//phnP//psiE//iscR//hyfC//gatC//paaH//fes//fecC//trmD//hofC//hyaB//caiE//ilvI//paaB//pta//mhpE//yqjA//fnrS//exuT//ydhW//araE//hisP//uidB//cysP//nrdG//lpxB//cyoA//bhsA//fnrS//ydeP//gatB//puuP//lsrF//ybdN//napB//csgC//gabD//ompC//lysO//bioB//safA//phoQ//nrdE//malZ//rmf//malK//gcd//bamE//cas1//yiaM//gapA//nrfG//idnR//paaC//feaR//gntP//nusA//fecI//casB//trpB//hyaD//ssuB//murQ//guaB//baeS//treR//hisQ//lldD//argP//gatZ//nikB//rhaA//alaS//mgtL//fumB//prs//entS//rutC//uxuR//focB//ompC//tcyJ//stpA//caiF//pck//astC//lysA//preA//dsbA//fur//ycjF//rpmI//rpsS//borD//rmf//umpH//sdaA//alaV//malT//cysN//trpB//pgaC//uxaB//cirA//iscR//glrR//paaG//nac//phnJ//phnK//livG//puuA//tadA//purB//ilvD//glgB//narQ//yeaE//atoD//rseA//galT//ykgR//aroH//envZ//yedX//nagA//ydhX//ycjF//flhD//cysC//trpE//gltF//yjiY//nac//rrsC//paaZ//ssrS//livK//sbmA//tauD//uxuB//pheM//acrF//yjjZ//betI//cysU//pdeF//hofN//pstC//rpmI//bcsZ//paaC//rnpB//deoA//glpQ//argT//qseC//thrV//artM//cadC//degP//paaI//fucO//mtlD//hyaB//xapA//rrfE//serA//fixX//pheS//rnlB//narL//livG//ispE//yhjC//artI//mltC//rbsA//argF//motA//astB//deoA//micF//hybC//aroM//fucO//rrsE//gatZ//motA//sxy//chbF//hofC//rrfD//pstA//ansB//gadB//sbcC//soxS//glpB//gabT//cpxA//pheT//dmsC//srlB//rstA//puuE//hypC//sufB//rnpB//cynR//aer//iscR//aer//yecR//exuT//puuB//adhE//yhjA//nuoH//dmsB//ygiC//iraM//caiD//alkA//cusR//mgtA//hofP//guaA//yegH//ilvA//rbsR//glpB//gspO//ilvY//cheZ//deoC//puuD//yneM//aceE//dsdC//bamE//tdcE//ssuE//gatC//dmsC//fucO//puuA//hycH//preT//ubiG//crr//lldR//mhpT//nanT//argC//citF//fhuE//gltU//phoA//glcA//csgA//astD//nanT//pgaA//hybA//nuoI//garR//nikD//bioB//rdoA//ybdZ//hemA//ykgM//prpE//nagC//rpoE//lsrF//hycB//cusC//fecA//ompT//thrV//cyoB//nikD//metL//alaT//nrfG//pagP//fepB//araH//entA//manX//fhuF//soxR//fbaA//mgrB//yqjI//casB//fadJ//puuC//creB//fadH//pdeF//rutG//dgcZ//yaiW//appA//cadB//yfdX//baeR//feoB//aaeX//uxuR//amn//recF//xapB//dmsC//cysD//galP//udp//dcuB//uraA//ihfA//tap//hyfJ//gutQ//purE//ubiX//upp//gspH//phnN//caiE//astD//feoC//deoA//allE//kbaZ//ydeM//yqjI//rhaD//hofO//fucP//dmsB//iraD//ydeO//ycjF//guaA//fepD//moaC//hycB//manY//eda//modA//cysN//ldtB//dpiB//artI//fepE//fadJ//preT//fhuA//puuD//glnG//ydeN//grxC//torC//puuP//yrbL//oxyR//mdtB//gntP//nuoF//ilvB//codA//galP//xylH//fepB//fepC//ydeO//putP//mltC//bglF//betT//yeaR//ccmD//cynX//fhuE//ygeA//tauB//lsrC//phoA//mlc//galS//arcA//yeiL//purN//mtlD//mutL//araD//deoA//argP//pepT//eda//gltA//raiA//rrlH//hyfC//ykgO//moaA//narG//glcA//gltT//purN//ugpB//artQ//deoB//phnP//ryhB//tyrR//phoA//yqaE//manY//priB//treR//sdhD//gntT//gpmA//mepH//ampD//srlA//gutQ//gntX//ydiU//zinT//cheB//hdeD//ccmE//grpE//glpG//gpsA//nuoL//hdeD//entB//lysA//betB//serA//csgE//gcvH//glpD//yhcH//glpC//nrfF//nanT//tonB//glrR//csgD//focA//rpsJ//acrD//znuC//rutE//srlB//udp//hycC//fes//yidQ//sufD//ilvM//tnaB//rrsC//sucD//oppD//creD//gspD//torC//glnG//galS//yeiW//ulaD//
