#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rplM//acrD//sroD//znuC//
AlaS-L-alanine	betB//
AllS-allantoin	patZ//nirC//aroF//
AraC-L-arabinose	hfq//exbD//atoB//fdhF//zntA//argB//ydeP//entA//citD//fimE//csiE//ssuC//fucO//lldR//
ArcA-Phosphorylated	ilvG_2//yidQ//slyB//ompC//focA//malX//malK//feaB//nupG//fhuF//argG//ydiU//gpmA//borD//rdoA//ydfH//hofC//cysI//lysU//hofM//oppC//ilvI//hyfC//csiD//pitB//putP//bioF//nhaA//entB//argR//caiT//mtlD//dcuD//pncB//bioB//creC//rrfE//yfaE//nupG//oxyR//ygiC//ompA//prfA//nrfD//phoR//ompX//hflX//aspC//murQ//amtB//rrlG//tap//tdcG//gcd//phoU//modC//srlA//casB//hycB//glnL//amtB//narK//gatA//yhcH//rbfA//nrfE//acrA//bdcA//thrS//srlB//agaA//abgT//dmsB//purK//ybfN//cdd//glrR//nrdB//nanM//gabD//caiF//pgpC//ydhV//ivbL//acrD//astE//prmC//glpB//bamA//gabD//mhpC//fumB//fau//phnJ//agaV//glpX//aceF//nagA//ccmF//ydiU//gspC//yecR//araA//gntX//azuC//rrfB//ldtC//oppC//glpT//malP//tdcA//bioB//fhuA//norW//sucB//yqjA//gabT//feoA//nikE//entB//araA//bcsZ//gatC//rbsD//cyoD//fhuA//slt//preA//mntP//ileU//chbB//fhlA//evgA//rpoS//osmC//ccmE//pgaA//rutC//glrR//treR//yhfA//gspC//rdoA//rrlE//srlA//pgaD//rmf//azuC//ilvY//rnlA//rrfG//yccA//lsrD//ompW//hyaD//nlpE//gabT//lldR//lsrC//uhpA//alaV//cyaR//rrlA//avtA//ccmG//ptsH//fucR//fimD//narL//purR//ydeA//ascF//rybB//cpdB//rpoH//yhiD//glcG//
ArgP-L-arginine	glpX//purN//astB//araG//hupB//gatZ//lyxK//mhpT//yeaE//uidC//alaU//qseB//araA//idnR//rrsD//caiF//
ArgR-L-arginine	katG//mipA//mntH//dsdC//nanS//mdh//ugpC//yecR//rnlA//hlyE//cbl//lsrC//sdaA//znuA//dmsD//dnaN//abgT//nikA//gyrA//yaiA//tcyJ//nrfA//modB//rybB//torD//bglG//moaD//aroF//rimM//rbsB//nuoB//xylH//dpiB//envZ//avtA//mglB//yjiY//malY//citF//
AtoC-phosphorylated	rplC//cdd//pstS//entD//
BaeR-Phosphorylated	entF//hflK//bdcA//preT//caiC//metN//cadA//yhiD//
BirA-bio-5'-AMP	trpE//tdcD//garK//nuoF//nanT//
CRP-cAMP	sbmC//lpxD//nrdA//rpmC//manZ//gcvP//yciW//dppF//comR//mglA//glnD//infB//feaB//tauD//zwf//argO//gspJ//cysK//cstA//glpD//nrfF//purC//exbB//ccmH//bcsZ//tcyJ//paaB//tauC//envZ//phnD//mscM//deoB//pepT//bcsB//yiaJ//xseA//tonB//glgX//nuoC//upp//guaB//envY//glmY//tauD//nagE//creD//polA//nrdE//malP//malM//fimH//ispE//lysP//hycC//moeB//bacA//tauA//rrlA//hisQ//ampE//tfaQ//ccmA//dapB//xylG//gspO//acrF//yidQ//ogt//mhpB//iscS//sufA//ydhY//glpF//phnD//aroG//lpd//dsdA//mhpA//ilvB//hdeB//pta//glpD//fur//nuoE//rybB//guaB//nikB//ugpB//ubiC//nagE//focB//uidB//guaA//alaU//dapB//xylR//pagP//tsx//entA//hypC//nlpD//dcuA//fliZ//yebE//puuR//uxaB//ilvH//treR//malF//frc//pitB//mutL//metQ//glnD//glcE//pheT//rbsK//bcsZ//slt//aroH//gspO//nuoC//gspG//prpC//rhaR//osmY//fecE//ygiA//sdhB//mgtL//cheW//aspC//tsr//rrsA//narG//dmsA//gadC//rplM//carB//cysD//ogt//paaB//ilvI//malF//argD//hycE//fumC//bcsA//gntT//citF//lrp//aaeX//fucR//baeR//allE//rrfB//yqjH//rhaT//narI//hofM//oppC//dsdX//narJ//sbcC//ilvA//tsgA//sbcD//ykgM//sucD//envY//dnaE//uxaC//prpD//livH//glnG//nhaR//narK//srlB//ydeA//yibN//nikE//baeR//ugpA//csgF//fadL//torR//gabT//rrfE//feoA//nikB//mtr//paaB//lsrR//ydeJ//frc//glpQ//rpmC//hemL//cysG//malP//ompA//fepE//ptsH//napG//alaT//tdcA//hofB//gdhA//nrdG//hycE//gltV//purC//hdeD//fimE//uhpB//purE//argF//phoE//spf//rnlA//nikB//csgB//glcE//pgk//hyaE//sdhB//tauD//emrY//glyA//znuB//phnL//tsaE//csgB//mtlD//ybdZ//phnP//citX//aaeA//ydeA//purA//sufS//aroF//aaeR//ubiX//acnA//hdeA//ulaB//puuP//rbsA//rplS//mtlR//cusA//csiE//fixC//prpE//phnJ//rmf//rplB//entS//rrlC//ilvX//araJ//dcuC//treR//nuoM//ptsG//metI//yiaN//ilvB//ydfH//sodA//fhuA//sbmC//rnlB//dppD//paaI//bioA//prmC//cheB//spf//ydeO//bcsB//argD//pyrD//gyrA//citD//xapB//deoC//dps//idnD//hypB//speC//cadA//erpA//puuE//torC//rimP//yggX//napD//pdhR//fucO//comR//casD//caiB//bioA//abgT//sdhD//sdaA//tdcB//glpK//pgaC//ebgC//metH//mhpD//fucO//puuR//fhuA//argT//purD//allE//paaK//chbC//rutG//cueO//nlpD//glpA//nikR//baeR//ubiX//rof//gadC//cydC//oppC//rrlE//csgF//yojI//fecB//gapA//yhiD//paaF//nuoJ//ptsH//feoA//nikR//hycB//citX//hyfF//cyoB//ydhW//hybC//ugpE//glpB//ydhT//citG//rybA//yiaO//pgaC//yeaE//ilvG_2//appX//ybdN//rpmC//yeiL//gatY//lpxD//folA//rhaB//lsrK//cydA//hyaA//ugpA//fadB//yjeV//fimE//ygeA//fepE//dcuA//hyfJ//cheW//adhE//nikC//cpdB//nagE//nfuA//fliZ//ebgA//moaD//csiE//rutD//ilvE//yojI//sodB//lolB//rseB//gatY//chbB//hyfE//malE//hycE//cydA//ydeA//hyfD//bdcA//lldD//hybB//metL//bioA//mhpR//metR//rrlG//srlB//hycH//hofM//malQ//serC//gspF//mdh//polA//fepE//hisQ//hlyE//kbaZ//napA//dapB//acnA//mhpT//ompA//phnL//osmC//fdnI//paaH//nikR//dgcZ//yqjA//glcC//yebE//fepE//aidB//rrsB//mdtC//lsrA//aroL//guaA//comR//ompF//lacA//tar//araG//tehA//dcuR//tdcG//nlpD//trpL//ilvI//bioA//hybB//uhpB//dpiB//gabD//hisP//ilvH//agp//lsrB//ydfN//mglA//gspJ//dsdC//araH//motB//artI//allE//arfB//rnpB//zraP//borD//cusC//comR//artP//copA//trpL//fepE//malP//mdtA//ackA//yjeV//cyaR//alaT//mlc//yggX//rrfC//mhpF//tdcB//ftnA//lacY//allE//sodB//dmsD//sbmA//iraD//yfdE//glnA//sufB//dadX//metJ//mntS//rbsC//fecA//uxaC//gntP//nac//tpx//ugpC//nikE//nrfF//prfA//trpC//pagP//lsrK//crl//yrbL//bamA//rrfH//paaB//xylB//cirA//
