#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	yiaL//kbaZ//citF//glcB//
AlaS-L-alanine	hfq//
AllS-allantoin	ykgM//uidB//narX//
AraC-L-arabinose	adiC//rpsI//aaeR//yiaM//ilvE//rutB//cydB//hyaB//gcvP//mhpE//ssrS//rnhB//pitA//glcE//
ArcA-Phosphorylated	cbl//cusF//metN//mhpC//fadH//gspJ//rrfD//hisJ//evgA//paaH//yedX//araE//fumB//gltW//hybB//cadA//ugpQ//rutC//uhpT//lrp//nuoN//arcZ//psiE//acrF//malF//aspC//treC//efeU_2//entA//ulaA//mglA//yibN//uxuA//focB//polA//pgaC//cydB//ivbL//chbG//gcvH//yqjH//uvrA//rrsG//rplP//dcuB//tolC//napH//ileV//ppiA//ulaA//yojI//rutB//rrlB//citC//crp//mutL//fadB//dppA//dmsA//copA//phnP//gapA//aceF//rhaA//nanK//dps//ccmA//adhE//mhpA//tolC//ydfN//hofO//cirA//pitA//rhaS//ygiA//dcuR//ulaC//chbR//ilvC//hycH//hybD//sucD//gltW//kbaZ//cysD//ynfE//stpA//rbsD//ilvG_1//katE//napF//metN//talA//nuoJ//hyfC//preT//hybC//dmsA//fhuB//mntH//cysB//nikC//glcG//nuoB//ccmB//pgaB//yiaK//nac//dpiA//comR//trmD//tdcE//caiF//lsrK//ygiB//betB//abgB//rutC//cysH//sufA//dpiB//bcsA//pgk//sxy//hflD//ldtC//ybdN//gspC//ssuA//napC//ssb//hycA//ada//fucI//agaV//astB//ydhX//mntH//moaD//puuE//norR//rplV//glpR//ydhU//fhuD//narI//tdcE//glpG//caiF//norR//dmsA//gabT//pagP//lolB//dusB//hybO//cspE//appA//amtB//agp//moaE//nrdE//ulaD//phnG//astE//chbC//rrfE//tdcA//dnaE//dpiA//ccmA//dppD//ptsG//mtr//gltV//hlyE//
ArgP-L-arginine	gatZ//gatZ//ompX//gnd//nmpC//glgP//aceE//fixX//cydB//yqjH//tehB//mutY//hha//rhaA//hybE//nrfA//
ArgR-L-arginine	caiE//bcsA//fadH//appB//sufE//dcuB//hofC//purA//lsrC//yiaJ//alaV//rplV//psiE//sdhD//gdhA//uhpB//livJ//uvrA//fixB//nikB//baeS//fhlA//rplW//phoR//asr//ydeO//puuR//glrR//gntP//cydB//rdoA//fadE//ydfN//rybB//dmsB//gspL//epd//yqjI//tolC//
AtoC-phosphorylated	rutC//ilvC//cyoA//sdhC//
BaeR-Phosphorylated	hyfE//hflK//prfA//napG//cyoA//pdeF//rrfE//agaW//
BirA-bio-5'-AMP	yfdE//fhuE//nagB//rrfD//glcD//
CRP-cAMP	paaI//dnaA//hypC//argD//baeS//nikB//dsdX//phoH//tdcF//dkgB//talA//kbl//torA//ydhV//prpD//hybE//marR//dpiB//cpdB//citF//tap//hyaE//fucU//cadC//citC//hofC//ynfG//bioC//osmC//fepD//hyfG//gltW//iscS//fimI//ynfK//idnT//cheA//chbA//fixA//ileT//norW//dcuA//adhE//kbl//rutA//gltV//cysU//ppiA//nrdG//sufE//borD//feoB//eda//torC//aroL//deoB//glpF//agp//acrB//purR//hyaC//rrsB//yhhY//rpsC//cyoD//trg//ompA//lpxA//fimG//yeiL//trpB//ynfK//glrR//glgB//paaF//rutF//manA//paaF//thrV//fabZ//ugpQ//aceK//uxaA//rhaT//gapA//pdhR//rrsG//gatA//bglG//dcuR//rhaT//tdcD//metK//exbD//motA//dusB//udp//deoA//fdnI//stpA//yecR//waaH//trpL//mdtC//gutQ//adiC//yhjA//yoaG//napC//nuoF//nikC//nmpC//araB//hyfB//mdh//yibN//cadA//appA//artQ//zinT//rrsA//phnL//crr//phnE_1//cra//appC//rpsR//gspO//lldD//ynfH//nuoN//rnlB//recF//grxD//mepH//cynR//caiC//modA//acnB//qseC//fumA//rpsI//nikB//puuD//hcp//mutL//hmp//malG//citX//ugpA//malY//ydhW//hyfH//hyfC//icd//ivbL//xylH//gspG//nagA//mdh//pagP//hflX//oxc//hycE//ahpF//ompA//gabP//napG//entH//malM//nrdF//ygaC//mglC//chbF//ilvE//glnA//yaiW//fecR//hyfI//fimA//bioA//bacA//modA//gabT//yfdV//hypD//araF//hyfR//ompR//rrsD//hypB//phnF//purN//rrfB//tsgA//cysG//nrdH//acrB//sxy//gspC//napB//trpR//pgaB//astA//nikE//rrfB//pgaD//pyrD//frc//hofP//betI//aaeX//dsbA//asr//moaC//acrD//fldA//phoE//uidC//yidQ//fldA//ilvH//ydfN//cysN//ssuD//ampD//entA//guaB//rstA//tdcG//betA//alaT//cysB//lldP//emrY//yoaG//ampE//focA//recF//ynfK//ihfA//modC//purN//yecR//nagC//caiE//ynfK//phnJ//ldtB//baeS//paaI//tdcC//gatD//ilvX//bcsA//yfbR//dnaA//tsr//hyaD//tdcG//tsr//moaB//dppA//rnhB//prs//fhuF//galK//rrlE//grcA//nanA//acrB//yaiW//hycI//ileU//tauC//nanK//efeU_2//nanS//yfeW//garK//ptsI//napA//pdhR//prpC//sgbH//nagB//prs//dapB//nrfC//ssuC//tam//creA//cadA//metJ//hybO//gadC//metE//mdh//nuoG//cbl//nrdG//hyfF//fepG//trpB//glpC//hycI//ilvN//glmY//iscU//fldA//rutF//rutA//fnrS//ynfG//rnlB//argP//recF//treB//yeaE//bcsC//fimC//araC//cysP//sufA//folA//lhgO//rplW//glpG//nrdG//patZ//rbfA//artJ//prs//narH//zraP//paaH//hdeA//fadJ//hofP//fucR//ahpF//iscA//znuC//yjcH//yaeP//hofB//fimG//acnA//gspH//rhaR//caiE//rhaD//feoA//gspM//fepC//ydfH//hcr//ilvA//rutG//fabZ//gpmA//rrfA//mhpR//caiF//gcvT//artI//lsrC//fecC//pncB//hypB//prpD//idnR//hybG//fau//cynS//treR//phoA//rcnA//glpA//metC//ygiC//lacI//nanA//rbsR//phoU//dmsD//tehA//rpsI//fadI//cysN//trpE//nuoM//ppiA//cheR//rrsC//citX//glpA//puuP//rplM//astA//puuA//fumB//phoU//aroG//cyoE//pstB//focB//hyfG//lrp//appA//glpR//ygeH//sufC//tcyJ//malS//phoA//yaiW//mscM//codB//flhD//metR//sucB//gspL//ygeA//adhE//osmY//ssuC//gyrA//hyaC//yfiP//pstS//hyfB//caiC//hypB//oppB//cysI//sufC//pstC//artM//ychO//rnhB//psd//ebgC//patZ//qseC//rutD//araB//rrsE//rcnB//emrY//aroH//nuoG//yhhY//dcuR//fucK//srlD//hofC//ynfE//gnd//araD//grxD//miaA//hlyE//artJ//prpC//mntH//yqjH//narX//metN//phnJ//gadC//dadX//pnp//mhpR//sucD//dapB//hyaE//trpC//malX//malQ//amiB//speA//araH//hupA//hflK//yiaK//tauD//astB//bglB//hyfF//phnL//skp//dcuS//uhpA//hupB//miaA//frc//nrdE//rrsB//avtA//napD//hyfD//phnC//lldP//yhhY//norW//marR//yrbL//hybG//psiF//gatD//ybfN//arfB//mhpE//casD//chbA//mhpA//fadE//araE//fdnI//argF//ilvC//serA//dcuB//fhuB//
ChbR-Monoacetylchitobiose-6P	nadC//cydD//iscR//ycjX//rrlD//acrB//
CpxR-Phosphorylated	dcuC//lolB//puuB//yfbR//bacA//gabT//metH//ssuB//lhgO//gspF//alaA//tfaQ//frc//zraS//bcsC//hisP//tyrP//iscR//sucA//phnF//pgpC//azuC//folA//dsdA//betB//argE//xapA//aaeB//bioB//avtA//marA//fecA//nanA//glrR//uof//pitA//rseA//argH//caiF//modB//citF//prmC//dps//cpxR//serA//moaC//hydN//rpsC//murQ//aspA//cyoB//phnE_2//manZ//fadD//napF//napH//hybE//rrlG//prpD//aaeR//hyfF//acrB//hha//rhaS//tsgA//gntP//argB//gatD//rhaS//
CreB-Phosphorylated	yqjI//aidB//bioC//paaB//mgtL//hycI//gltW//galE//tauB//
CueR-Ag	narJ//hyfC//ompX//malT//envZ//cysN//cysP//
