#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	hflK//aroP//hupB//cyaR//
AlaS-L-alanine	soxR//
AllS-allantoin	nuoL//gatC//mntH//
AraC-L-arabinose	fes//fdhF//ilvN//sdaA//nohA//napD//mepH//uidC//mgtA//tadA//rbsD//aroA//bioA//ispE//
ArcA-Phosphorylated	gltT//aroP//hofM//stpA//ccmF//miaA//fiu//cpdB//metH//fucK//gpmA//rrfE//cas2//mhpT//yhiD//qseB//tsr//lysC//ydfN//pheS//cadC//hisQ//osmC//feaB//alaT//metK//cyoC//ampE//tdcE//yfeW//idnR//argI//rutF//bcsA//ryhB//fepB//oppA//thrV//rutB//rrsD//aroP//cysH//hypF//citE//psiF//moeB//acrB//arfB//lldD//paaK//fdhF//atoD//rrfB//bglF//uhpT//guaA//appA//rrlC//phoQ//fepA//ilvH//feoA//hflX//agaV//treR//ykgM//oppD//phnJ//hyfR//frdA//zwf//tauC//fhuD//rutA//pstA//entS//phoE//cueO//tyrA//hdeD//gyrA//casD//rbfA//avtA//fucO//dppC//yaeQ//galS//tauC//nuoE//phoQ//cpdB//acrD//marA//aceF//lysO//ulaF//cpxR//lsrK//glpG//frdC//phnH//gntT//hdeD//ompR//hofB//phnG//rplC//yqjA//malP//yjcH//arfB//nirD//fdhF//cyoD//pgaA//evgS//hypC//glmY//alaA//narG//entD//ileT//mdtD//chbB//glcB//nanC//yebE//purE//fucA//dnaN//yciW//caiA//phoR//nupC//rmf//ascF//fhuB//nikE//mdtD//dppF//glgP//nuoC//ykgR//rpsI//malF//agaV//nohA//casD//nrfG//cadB//gpmA//trpA//fimG//frc//rrfH//map//rybA//norV//ubiA//rrsA//uidC//gdhA//phoB//argH//ispE//yhhY//malM//phnJ//lrp//sbcC//rcnB//glpC//artM//rnhB//cynS//astD//
ArgP-L-arginine	fimA//agaW//exuT//ykgM//znuC//ilvH//galK//yfbR//grcA//ascF//yneM//speA//speA//rhaA//pstS//nhaR//
ArgR-L-arginine	ilvG_1//yeaR//bcsB//gspJ//hofB//glpA//fes//napB//ykgM//rpsR//nupC//phoA//purF//phnE_1//rrsC//glmY//yhfA//dpiA//mgrR//treC//ygbA//rrfG//lldR//rpsI//fucO//cusR//soxS//fhuB//cysH//allC//astE//codB//ivbL//hflC//citF//aroM//prpR//yfdE//ebgA//
AtoC-phosphorylated	carA//cyoA//uxuA//ynfE//
BaeR-Phosphorylated	gpmA//gspI//srlR//artQ//yneM//rrsD//marB//gspI//
BirA-bio-5'-AMP	fldA//garL//purE//yqjI//xdhC//
CRP-cAMP	rimM//tnaC//trmD//deoD//ilvD//cspD//ugpA//cysA//ubiX//yeiP//aspA//hdeD//fliZ//tadA//dpiA//moaB//rutF//abgA//lsrG//entA//acnB//appY//glpD//mdtB//crl//glpG//citX//fecA//hupB//metY//moaC//yfdV//rcnB//torD//glpT//phnO//fadE//puuA//zraR//atoE//aroF//lysP//chbR//chbC//caiT//erpA//cheB//phnN//idnT//ssuA//phnP//rnlB//mutY//phnL//fimI//purA//glcD//yfaE//fepG//narI//agaA//psiE//rof//yebE//hydN//trxA//fhuC//ysgA//hdeB//ahpF//lsrA//paaC//rnlB//gpsA//lyxK//sohB//ygiA//frdC//rpsQ//rrsA//cstA//hyfF//yhjA//nanS//exuT//rplD//grxC//lsrG//hyaA//crr//rnlA//mtlD//citF//spy//nmpC//zwf//oppF//dpiB//gabT//malP//lpxD//glcA//trpR//iraM//appC//hcp//fumA//hypD//mgrB//gdhA//narL//rrsA//ccmF//grxC//ppdD//dppA//mhpF//phoB//kbl//ugpQ//lysO//hyaD//frdD//ychH//znuB//phoP//fucP//infC//cusA//lpxB//dapD//manX//yaiA//fecB//aceB//purF//gltA//purF//pyrD//argD//trpD//trpR//fimH//sbcC//metE//fhuA//narI//mgtL//yeiP//yhhY//cysI//guaA//ynfG//rmf//safA//marA//tdcE//srlA//kbaZ//evgS//ssuE//fhlA//kbaZ//gspD//entE//oppF//prpE//psiE//ulaF//argR//ahpC//dcuC//srlE//sufA//yegZ//yneM//pitA//ssuA//chbB//rbsC//yjcH//purC//pncB//pnp//rrsG//bioA//hypE//yhhY//mdtD//hupB//trmD//purL//speA//mntS//ascF//frdC//hycB//rpsS//treR//narG//malG//lsrK//rrsC//napB//ftnB//hyfA//tauA//galP//xapA//nirB//ygaC//hflX//fes//ychH//ybiT//mdtC//gltV//xdhC//cadB//mglC//hycG//cheA//nrdB//artP//metC//sgbH//cspD//rimP//cydB//nrdA//purF//argA//waaH//sufE//xylH//fepC//tehB//yegZ//ysgA//cydA//yedX//rrfF//sdhC//artJ//hisJ//hupB//xylH//guaB//ugpA//pck//fucA//dusB//rutG//hydN//paaJ//cadB//srlB//nusA//modA//ppiA//rbsR//bglF//dgcZ//avtA//yqjI//yegR//map//hyfH//phnF//fdhF//entC//creD//acs//arcZ//rrlA//ygiC//thrS//yfaE//fecC//rmf//fepD//metA//rpoH//aroM//mdtB//ompX//deoD//ilvG_1//rplM//nikE//ygeH//prs//cheY//ompW//nikD//ytfE//cydC//lamB//grpE//fimF//yjeF//hyaE//rbsB//yqaE//appA//phnI//glgP//gadB//ssuB//napG//psiF//malK//rnhB//hyaC//lacZ//dadX//glnG//rutB//dsdC//ccmB//oppA//livF//pagP//motA//cysW//mhpA//tauC//glpK//pstA//ccmH//nagB//uxaA//hdeB//kbl//sbmA//ssuB//ansB//rrfG//glgP//puuD//lysP//znuA//epd//pta//norR//hyaA//yaiA//rplD//ybdZ//metI//pyrC//fecI//aspC//argR//glyA//yibN//csgF//metI//dkgB//lsrG//ahpC//cyaR//hcr//rrlD//ompC//ygiA//cytR//galS//nlpD//nohA//pheS//glnB//nfuA//chbA//tdcA//ssuA//dppA//gabD//moaA//sdaA//cysN//metF//fimF//aldA//hyaA//dapD//gspL//ptsH//uhpB//rutB//nohA//cspE//puuP//melR//purN//yqaE//metE//sufD//aroL//idnK//nrdB//phnO//dppD//fecE//sufD//gntP//ompF//casA//bioB//nrdA//galP//ybdZ//ptsH//flhD//efeU_2//bioF//sucA//ada//tsx//yeaE//uxuA//cyoD//tsr//rrsA//ygiC//fumB//cusC//ansB//aroL//lysU//ahpF//serC//allD//gspI//mdtC//aldA//arcA//soxR//csgG//cysH//creC//yeiB//mtlD//ydeN//uvrA//acs//iscS//yfiP//dsdX//hdeB//csiE//gltW//metY//cadA//glpB//arcZ//yneM//acrF//fbaA//purK//yeaR//pitB//bacA//hha//glcE//entA//rplD//abgB//adiC//entS//mntP//secB//fadJ//ccmH//sdhC//ompC//creB//gatY//rhaS//manZ//feoC//idnR//ssuC//sbmC//hyfB//yeiW//treB//slt//pdeF//dnaE//mntS//rpsS//znuA//deoA//adiC//hofC//xapB//nrdE//lsrG//livF//malZ//rrsC//xylF//gatA//mtlR//treC//hypE//yqjA//garK//paaK//ychO//bcsB//asr//rrsE//rutD//katE//tsr//narG//ydhU//fucO//nfuA//galT//hycB//rrfE//rbsK//
ChbR-Monoacetylchitobiose-6P	kbaZ//rrlB//bhsA//rpsJ//prmC//yjeV//
CpxR-Phosphorylated	mhpE//hybE//nuoC//mhpB//paaI//yiaL//ydfH//yeiW//cynR//ssuB//gatD//hcr//livH//fimD//cyaR//leuE//uvrA//frdD//cspD//gadC//rdoA//mhpF//rplP//rstB//purB//glcD//focB//yhfA//folA//prpB//tsx//sxy//rrsH//dmsC//nanS//paaC//rnhB//nanC//lsrB//csiE//atoD//rnpB//cusF//mgtL//gadB//lpxD//hypA//cysC//srlD//manA//hupA//modA//ogt//pgpC//hyfB//mgtL//rbsK//csgG//tdcG//glpA//mtlD//rprA//guaB//moaC//cynR//nanE//fepA//agaW//cbl//
CreB-Phosphorylated	uhpA//galT//hybB//ilvH//prpC//hfq//rhaD//cirA//fabZ//
CueR-Ag	preA//prpC//pflB//exbD//abgA//yfdV//yhiD//
CueR-Cu+	znuB//dcuS//melB//cusB//tsx//gltB//hycF//
CuerR-Au	phoR//frdA//livF//metR//hycC//guaA//ulaD//
CusR-Pasp	yegZ//glnG//priB//ompR//rrsB//rrsA//ilvA//envZ//glpA//nadC//uidA//cheW//
CynR-Cyanate	cysU//psd//lysA//lrp//
CysB-N-acetyl-L-serine	ygbA//oppB//ssuC//hmp//glgX//argR//rutB//hmp//umpH//citF//nuoA//norW//rrsH//pheT//yhjA//rhaD//cdd//gyrA//purD//ugpB//ulaB//hycG//ppiA//cysU//ubiA//rpoH//hofN//gspF//cysW//yfbR//
CysB-O-acetyl-L-serine	rbsR//rpoS//rplW//glrR//phnL//fepA//srlB//tauB//tadA//garR//rrfD//cas1//hypB//melA//yeiB//yhiD//rpsJ//narL//ompW//lysO//waaH//hycC//napH//cynR//pgk//ulaD//glyA//rrfC//manZ//tap//casE//
DcuR-Phosphorylated	sgbH//prpD//glgB//pheM//folE//thrV//chbR//astE//gpmA//
DnaA-ATP	ydhT//metK//cueO//hybF//motA//bioC//ytfE//zraS//hyfB//gspO//kbl//phoQ//
DpiA-Pasp	ftnB//cheY//nikC//katG//gltV//fdnG//nikR//acrE//pstA//hybD//dsbA//
DsdC-D-serine	glgX//crl//puuP//
EvgA-Phosphorylated	casB//exbB//metE//glcB//pgaC//tyrA//srlD//rpsQ//fdhF//puuB//bglF//frdB//creA//ygeA//narQ//
