#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	yggX//sodA//yggX//gntX//
AlaS-L-alanine	entS//
AllS-allantoin	cysN//aspC//rrsE//
AraC-L-arabinose	ydeP//aaeX//yqjH//yjiY//treR//hybF//entA//ampE//tdcD//dmsD//dppB//xseA//nfuA//glgC//
ArcA-Phosphorylated	garP//gatA//sucA//nagC//caiT//hycF//mdtB//atoE//prpB//cpxA//ada//atoB//cysA//puuC//hybD//cysK//fhuB//treR//nuoJ//nanA//nrfE//rplW//sufC//deoD//fecA//lsrC//aroP//rplT//metY//tyrP//gspG//phnH//ilvL//betI//ybdZ//glpF//frdD//paaA//argD//dcuS//cheR//acnB//rrsH//chiP//yidQ//glpE//cra//sdhC//hyfR//fdnG//serC//ydhW//cysA//cpdB//dsdX//cyoB//hofC//prpR//tolC//melR//guaB//safA//cheA//citD//rplB//uhpA//fhuA//zraS//fimE//rrlH//xdhB//cadB//glpG//moaE//nikR//fau//livJ//srlE//mntH//ompF//chiP//modB//ydhW//metE//glnG//rseA//gspK//fadD//rof//purH//nanA//entB//fdnH//hpt//tap//chbC//metL//idnD//glnG//sbmA//nlpE//fumA//glgB//pitA//aspA//hybF//dppB//casA//tyrP//aer//yecR//bcsZ//gspH//truB//fepC//xylG//entB//ogt//hycC//hofC//gntT//murQ//sdhA//yneM//lpd//soxS//rrfG//oppF//hypA//metF//yojI//xapA//aspA//yjcH//fimA//cysN//fecD//cheZ//glnL//bdcA//sucA//sufE//hyaF//nuoB//fes//rrsA//rbsK//bcsB//gntP//dnaA//ccmB//nrdD//alkA//osmC//nupC//acnA//tyrP//astD//fdnI//zraP//yebE//cyoE//ygaC//glnB//chbB//grcA//aaeX//hflC//yjeV//aroL//agaW//mtlA//csiD//hycG//glpF//cyaR//rbsA//
ArgP-L-arginine	aidB//moaB//dmsD//alaS//metF//arcZ//preT//aaeA//araC//yiaO//emrY//hyaF//sufD//gspG//gspI//hisP//
ArgR-L-arginine	caiA//rhaR//rbsR//infB//garR//gntT//nuoL//ileV//bioF//sgbE//yhjA//dmsA//ebgC//fimD//yhhY//purE//cydA//nagB//pflB//phnD//mutL//caiT//moaE//ydeA//fhuF//lysC//mntP//nfuA//artM//tomB//rplC//srlD//pnp//hypD//gatY//yibN//cysG//acrA//hyfA//
AtoC-phosphorylated	dusB//trpB//artM//idnD//
BaeR-Phosphorylated	appX//gspJ//ygiC//putP//grxD//ahpC//yfdE//hybG//
BirA-bio-5'-AMP	yeaE//grcA//rrlH//sbmC//ldtC//
CRP-cAMP	amiB//lsrB//lysA//hybA//allC//hybG//casC//xseA//dcuR//fucO//phnN//pheT//cysB//pagP//puuE//nanC//idnO//chiP//yeaD//cyaA//melB//sdaA//znuC//fhuF//acnA//galE//cysW//eda//creA//hdeB//yhjC//hybO//sdhA//purC//phnH//cytR//ybjG//hybC//hybG//deoC//tdcA//hisQ//uhpA//yidQ//ydhW//rhaT//ybiT//uidB//idnD//cysA//csgG//yjjZ//malP//lldD//gspD//rseA//idnK//malX//mglC//cysW//fadL//lacY//fixC//zraS//mntH//mtr//artM//purA//fhuE//ilvM//fimH//ilvB//tam//aaeX//sbcC//ssuD//sgbU//envZ//rutC//ilvC//folA//hflC//metK//ugpE//iscU//xdhC//nirD//ykgR//gdhA//rpoH//cbl//fhuA//guaB//focA//caiB//avtA//hyfR//dpiB//rpoS//glpX//flhD//cysM//aroF//manZ//garK//gutQ//rcnA//puuC//acrB//hycE//gntK//envZ//metL//rhaB//hypF//dnaE//yoaC//ygiB//cysU//rnpB//gcvP//argG//nrfB//ulaF//puuB//yiaM//artQ//rutB//rhaR//mgrB//arcZ//pflB//phoE//mntH//araH//mtlR//lolB//fucO//sufD//lacA//yedX//rpoE//hofO//rutB//icd//iscS//phnK//yeiW//rrsE//sufC//gabP//uof//rplP//tdcG//gabT//ahpF//tdcB//envZ//hyfA//ackA//alaS//lldR//treB//citC//dapD//chbA//ung//rybB//rrlG//treR//creA//betA//fepC//fixB//ycdZ//glrR//mgtL//srlA//zinT//fnr//lyxK//fhuB//mdh//rcnA//yqjH//trg//ilvE//soxR//mglC//nagA//ryhB//manA//glpR//tdcD//grxD//bioD//nrdA//ydhW//rpsP//mhpF//araF//aldA//sucC//sgbH//rrfC//mgtA//cydC//ydhX//purH//prpD//priB//glpK//bglF//glnG//oxc//tyrA//sdhA//mtlR//ydhY//allE//aroH//efeU_2//lacY//ygiC//mglB//ompX//oppB//rpsQ//puuR//cysJ//iscS//hofO//phoQ//gspC//chbR//yoaG//allC//murP//deoD//cyoC//secB//rprA//dsbA//glmY//fimG//nhaA//malS//fucA//gntX//pyrD//appX//rplM//zinT//chbF//bioD//rutG//moeA//gatB//mhpE//nrfB//arcA//nrfG//rplD//metF//yqaE//yhiD//nagB//paaG//carA//ulaB//nac//ulaE//tpx//iscR//purF//entS//fixA//fhuC//prpR//lpxB//kbl//mzrA//torR//yneM//galE//yeaE//sodA//rpsO//prpC//fixX//fucA//ssuA//fimA//argF//glgS//serC//tfaQ//fhuF//aaeA//ulaB//aidB//mutL//aroM//nirB//agp//ydeJ//gltA//cpxR//fucU//iscS//oppC//hyfJ//dcuD//rrlH//fhlA//uxuB//eda//moaB//mdtC//phnH//pheT//fadH//hycD//preT//nirC//gntK//tdcD//gspJ//hyaE//artJ//comR//malM//nlpE//lysC//acrE//rrfH//sodA//cysC//rplT//rpmI//emrK//ydhW//amiB//pheS//fhuB//entF//ynfK//dsdA//sbcD//gspC//glpA//yeiL//mdh//nrfB//xapA//dpiA//argI//glrR//ugpC//trpD//paaG//tolC//manX//cyoC//hybF//citE//xylA//ydeO//astC//ysgA//ompW//aidB//narG//ihfA//rcnA//mhpF//fes//lldD//acs//rrsH//carB//gntU//glgP//gcvT//ftnA//phoE//fhuE//dnaA//entC//yggX//abgB//agaV//asr//hyfJ//caiC//gadC//iraM//ybdZ//casC//fhlA//katG//metQ//dmsC//uxaA//rplC//tnaA//ydeO//mdtB//recF//fiu//cheB//sgbH//phoR//ugpB//abgB//gltU//evgA//trpC//cheA//nuoK//rpmI//pstS//ilvM//argD//csiD//narH//creA//rnpB//gyrA//miaA//fbaA//gntU//malY//gntP//galE//yneM//ompT//hydN//rnpB//garP//osmC//purN//aceB//rutB//araG//tehA//ilvG_1//ydhT//lhgO//livG//ugpA//hdeA//ychO//aroA//fiu//fbaA//skp//cysM//trpL//motA//rimP//glcG//glgC//fixC//cysP//prpE//glrR//avtA//purA//ydiU//marB//icd//entH//ahpF//malZ//yaiA//abgT//dsdA//argP//aroG//hybE//ybdN//leuE//phnJ//phoR//mglA//argD//rrlE//rutB//citC//exbD//tdh//ydeP//ydeP//gspI//ivbL//yibN//fhuE//tdh//tdcB//ydhW//treC//hycG//mdh//creD//serA//tdcD//deoA//mgtL//acrE//cbl//manX//entC//nuoA//ydeO//fimE//betB//aceF//rplS//uxaC//psiE//pyrC//gatY//yjeV//artI//
