#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	puuA//ycjX//yoaG//polA//
AlaS-L-alanine	hypE//
AllS-allantoin	nikC//ulaC//folA//
AraC-L-arabinose	lpxB//hybO//pgaB//uxaA//yedX//cysN//frdD//sdhA//lacA//moaB//nrfB//xylB//prmC//cpxR//
ArcA-Phosphorylated	chbA//deoA//fhuB//cysH//rcnB//dsbA//hcr//ppdD//srlR//rhaT//mtlA//pepT//fadA//cysJ//aidB//pgaC//napF//phnC//cysM//iscR//yfdV//tdcF//cheA//mlc//rrfF//rnlB//glpT//ahpF//hcp//nikE//chbC//hofB//yeiB//ampE//yoaC//focA//gatZ//rplC//cynX//lrp//ascF//trg//fldA//rrfB//bioB//ackA//hyfR//gltD//galT//mhpR//murQ//glrR//cysW//gntX//frdC//allD//dmsA//zwf//borD//tolC//caiB//alaT//idnD//dmsB//pyrD//fucK//fixB//grpE//yjeV//bamA//tdcD//cyoB//glpD//cspD//sbcC//fldA//map//sroD//nagA//rplI//lsrA//atoB//xdhB//rrlG//glnL//ydeJ//fliA//csgA//bioC//nuoM//agp//alkB//ydeP//sdhB//fadA//epd//cysA//rstB//baeR//ilvN//ilvD//envY//lacY//treC//araA//nuoM//paaZ//lsrG//yeaD//nirB//gabP//hslJ//creC//fecR//nuoI//nanE//frdB//fur//cyoC//lpxB//hyfA//narL//tauC//cysP//rnpB//gspC//fecC//oppD//yqjH//ytfE//moaD//hyaA//hflC//fimG//tktB//tsx//malT//rrlD//rimP//exbD//dppF//caiE//rpsR//glgS//csgC//nirC//pgk//dpiB//metC//tfaQ//yfaE//gspF//betB//cysJ//pck//ygiC//alkA//glpE//xylR//nhaR//yccA//fixA//aroF//purK//ychO//hycE//ilvN//talA//fixC//fnr//uxuA//chbC//glnG//mpl//aroH//argR//folE//
ArgP-L-arginine	paaK//cydC//pdhR//rpsP//hofN//ftnA//cirA//cysB//gatZ//yjeV//yoaC//yiaL//mhpR//manX//nuoN//glcE//
ArgR-L-arginine	rhaD//cheZ//casB//bioD//sodB//uhpB//cysP//rbfA//ugpC//tpx//sucD//ccmC//rcnA//tadA//bglF//bamE//cusB//fepA//trpR//hyfB//gcvP//nanE//cydC//modC//metQ//ftnB//pstC//fadE//caiA//dnaN//gspD//ybdZ//fecR//bioC//rrsB//dsdA//hyfC//amtB//phnL//
AtoC-phosphorylated	trpE//sdaA//fucP//bioC//
BaeR-Phosphorylated	ydeN//oppB//feaR//pdhR//mdtC//udp//rpmI//bamE//
BirA-bio-5'-AMP	gntK//citG//cysJ//nhaR//argR//
CRP-cAMP	acrA//mutY//edd//lsrB//ppiA//glpA//micF//rdoA//mltC//astC//sbmC//ugpB//gcvH//treB//tar//napA//pgpC//hybA//paaD//srlR//argE//speC//nanS//tpx//ynfH//argR//ssuE//rutG//sufD//pagP//srlB//uhpB//cysK//yegZ//narK//mutY//baeS//sucB//manY//ulaC//gspG//aceE//rrsH//tsx//rpmC//fimC//entD//nanK//ilvD//aroM//ilvE//mntH//hfq//spf//rplI//gspD//bglG//dmsC//cstA//alaV//gabT//ileU//slyB//aspC//ygiA//phoA//galK//ybdZ//rplW//fur//tauC//codB//alaU//csiE//uidB//pheT//manY//hisJ//znuB//fis//ptsI//folE//dsdX//alkB//ilvH//yeiL//napC//rhaD//metY//glpA//aceA//lldR//rseB//gyrA//srlR//rbsA//argG//araE//glgS//nrfC//motA//creD//iscU//glnK//aceE//hypA//sbcD//dmsB//katG//marR//ihfA//pheS//lpd//aceF//fdnG//qseC//iscA//gpsA//napA//ampD//idnO//avtA//malX//purF//norW//ptsI//frdC//sufA//phnI//spy//tyrR//rbsA//yrbL//dgcZ//yiaK//glpA//uidA//gnd//ileU//cynR//rplD//srlA//proP//ugpE//epd//rbsA//ada//csgE//ogt//ilvG_2//hyfR//mhpE//leuE//phnK//gpmA//ydhY//cspD//fucO//prpB//rplI//sufS//ychH//nuoK//cbl//appA//hyaD//nuoC//rrlE//phnC//hybA//rpoH//fimA//gltU//astC//ulaD//cra//fdnH//argH//rplW//yaiW//ssb//ydfH//focB//ugpC//casE//cydB//yneM//rplS//rstA//focB//flhC//tcyJ//metL//hyfA//astD//ynfF//caiE//prs//fadL//hyaA//aaeB//glgB//mntS//ada//serC//ygiA//astB//gspM//ccmH//rhaS//xylH//rbsK//lldR//appC//fucI//rrfB//cysG//nagA//rrlD//evgA//lsrK//pstC//ydeM//fixB//entH//torD//casA//citE//pstB//efeU_2//ulaD//bamE//fecR//hycF//yegH//marB//nuoK//rhaS//rnlB//argC//lpxA//uhpC//mgrR//argH//malY//argO//envZ//csgA//fucI//tehB//cusS//ydeJ//gapA//pstS//cydD//hyfA//manY//casC//rrsC//ptsI//sucD//rutF//yaeP//metA//pgaD//arcZ//betI//iscU//idnO//chbB//psiE//mhpD//amn//bglF//hycI//tadA//mutL//araF//fes//metB//glcE//tomB//fimA//hypD//lsrG//narQ//ugpA//xapB//rstB//rcnB//avtA//folE//uxaB//bioB//ydeJ//acnB//rdoA//rseB//nuoJ//ccmC//bcsB//aroL//ssuA//iscR//hupB//qseC//garK//sdhC//ilvI//xylF//nupG//zraP//pgaA//mtlA//yiaM//gspE//cyoC//aceF//mtlD//bacA//iscA//ydiU//araB//mdtA//zwf//rrsB//dadA//yfdX//ssuC//acrF//xdhC//rpmI//hydN//caiA//purA//bcsB//ugpC//dsdX//lldP//rrlD//hybO//ftnB//yeaD//focB//hybG//sroD//galS//glnA//mlc//cyoE//kbaZ//livJ//astA//sdhB//pck//mhpC//purR//phnO//allD//nagE//yggX//fhuA//trpE//citC//hofP//glgX//lacI//gatD//motA//pgpC//ilvG_1//cpdB//mltC//rrlD//lacA//nmpC//glcC//yoaC//xylH//casA//hupA//nuoA//fimE//upp//lsrB//rrlH//nrfD//rbsD//rof//idnD//lacA//carB//rrfA//dapB//ampD//ydhY//rpmC//puuC//fucI//galP//hofB//mglA//pdhR//rrlD//cadA//cydC//fadB//fhuC//rbsA//phnN//katE//murQ//ilvL//gdhA//znuC//ybiT//csiE//tdcB//rrfG//lsrG//marB//pgaD//cysP//rhaT//modA//motB//fecI//argA//amtB//hycI//ileV//lysU//mipA//rpsS//lpxA//cysH//lsrR//deoD//ydeP//prpR//mtlR//fadA//dapD//paaI//znuB//speA//uhpA//bamA//ilvH//trpD//aroH//adhE//acs//ppdD//nagA//ssuD//pstS//nagE//nrfE//evgA//sgbE//ryhB//glpX//hycE//nagE//tpx//mtr//yiaM//tap//trpA//nanK//hemA//fucR//emrY//ldtC//tap//araG//uhpC//yfdX//phoH//phnF//rhaR//fhuB//aroL//gpsA//hisM//glnL//ilvL//cysI//ynfF//preT//rbsD//ccmD//nuoH//malQ//envY//nanA//envZ//yfdV//ccmB//fabZ//acrB//hdeB//tonB//astB//xylR//csgE//araD//xylH//glpA//hydN//malX//pyrC//uhpB//phnE_2//fhuA//nfuA//eda//cysN//entA//ygaC//narL//zraS//malQ//hupB//
