#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	citF//agaW//mtlR//fdnG//
AlaS-L-alanine	uidB//
AllS-allantoin	betA//oxyR//efeU_2//
AraC-L-arabinose	nuoE//pheT//sdhB//hupA//yaiW//znuB//miaA//cusA//ydeA//rplD//infB//cheB//narJ//dadX//
ArcA-Phosphorylated	ftnB//tyrB//aspA//hyfH//paaI//feaR//ccmD//soxS//fixC//citC//tsx//pheS//yeiW//yfdX//mntP//hha//qseC//ccmF//sdhD//nirC//mhpA//galT//ybdZ//trxA//ptsH//rimP//fdnI//rstA//galE//glpK//acrD//feoA//guaB//argD//gpmA//puuC//rrsB//idnD//napF//rseA//hycA//ugpA//malS//prpC//citF//entE//hflX//malS//gspL//glcF//xdhA//acnB//garP//cpxR//pheT//fhlA//cheB//glcA//rhaB//frc//tdcG//rpsF//csiE//bcsA//pitA//nrfB//ybjG//bioA//argF//hyaE//cyoD//fimG//dmsB//argF//hyaB//rplV//tdcD//fhuE//feoA//ivbL//fimD//ilvL//grpE//envY//artI//argT//hypD//ydeA//uof//phoA//thrV//lsrD//trpR//yfaE//argG//livH//purM//pyrD//allD//feoC//paaB//alaU//rrlE//uxuR//ydhX//glpQ//fhuB//nhaA//mtlA//fimE//srlR//tolC//flhD//carA//prs//kbaZ//ycdZ//xylG//hypC//ileU//nirD//tktB//malZ//narI//dcuB//psiE//hemL//phoU//atoE//glpX//nrdD//sdaA//pyrC//moaB//ygiC//rutE//tauD//rutA//pgaB//cydC//nohA//agaA//mltC//purN//infB//kbaZ//gatA//malE//aldB//alaV//hofP//lpd//ahpF//garP//chbG//astE//nirC//codB//erpA//hyfB//nrdA//cyaA//yibN//adhE//aaeX//uhpC//rrsD//hupA//hdeB//cysI//dpiB//lysP//iraD//nirC//ynfK//hybB//comR//
ArgP-L-arginine	frdD//nrfD//bamE//gyrA//acnB//upp//fadL//alkA//alkA//trxA//feoA//nrfD//nagE//uxaB//dctA//crl//
ArgR-L-arginine	lhgO//aceK//yhhY//ahpC//gabD//envZ//murP//metY//uxuA//xylH//nuoJ//pyrD//crp//mntH//ahpF//rutG//marA//metJ//metY//tam//tyrP//nrdG//yhcH//hflK//atoA//ppdD//dapD//bglB//gpmA//cynT//purM//ykgM//mhpA//citG//moaD//betB//hycA//acrA//zinT//
AtoC-phosphorylated	dnaE//xdhB//cheR//puuR//
BaeR-Phosphorylated	fucI//cheR//rpoS//hyfF//cpdB//glpE//casB//iraD//
BirA-bio-5'-AMP	malI//atoB//rstB//exbD//focB//
CRP-cAMP	speC//rplM//manA//rpsQ//ompT//rplC//rrsE//yaeQ//mtlR//lpxA//mutY//hmp//hdeB//epd//adiC//bcsC//rhaR//phnM//arcA//prpE//hyaD//yoaG//glpB//tcyJ//purE//gpmA//tpx//yaiA//ygaC//envY//uxuR//creA//feoB//sgbE//pyrD//ilvG_1//lldP//hofP//fldA//xdhC//pdhR//gspF//fimH//ynfK//uhpB//mtr//feoA//feoB//nrdA//fliZ//gspO//ybdZ//mpl//yjcH//aaeR//moeA//sodA//gabP//ybfN//glcE//tsaE//hyfA//speA//narJ//entF//narI//hisJ//narK//fecA//tyrA//hyfR//fumC//ulaA//hyaF//entC//tnaA//yneM//cadB//ilvX//tsr//fepA//moaA//rnlA//nuoL//livF//purN//fimI//fimF//ryhB//osmY//ftnA//nuoB//nrdD//hofO//glcD//xdhB//yaiA//xdhA//nupC//paaJ//metY//rcnA//udp//ahpC//purR//fdnI//astC//arcA//pnp//fumB//cynT//idnD//lldD//lolB//tonB//ebgC//alaA//phoQ//dcuC//dppC//efeU_1//puuP//cyoA//yiaM//ada//glpE//lsrG//folE//aroM//hdeD//chbA//phnO//treC//gspC//uxaB//lsrB//bcsA//yaeP//uidB//mdtC//glcF//bhsA//fucU//malG//ilvE//motB//motB//entS//cynT//yneM//sbcC//nrdF//cheA//agp//yjiY//fadI//glgX//purN//avtA//tauA//ybdN//znuC//rrlG//thrS//ldtC//serC//acnB//dpiB//fdhF//sdhA//fucU//mntS//gatZ//ilvG_2//pgpC//melA//pstS//nuoL//yiaK//pstB//cydA//ryhB//secB//ftnB//hupB//rplP//evgS//glcG//caiE//argG//dgcZ//cheY//xylB//ybjG//creB//hyfD//puuB//tdh//fdnH//hybF//malG//appC//tnaC//gspD//ilvG_1//nrdG//pgaD//ssuD//fdnH//hmp//exuT//pstB//srlD//entE//tcyJ//gltW//caiC//dctA//mscM//mgtA//yjeF//phnL//galK//glgA//emrY//fdnG//fucR//sroD//bhsA//yhfA//alaS//rplS//borD//secB//fecC//yiaO//uxuR//sbmC//uidA//aldA//ompA//lsrB//hofP//ahpC//feaB//mhpA//ppiD//recF//dppB//ubiG//rutG//aceK//baeR//nohA//dctA//pncB//dkgB//lpd//nupC//treB//yoaG//flhD//edd//glpC//yiaO//cynS//glpB//norV//nanC//gspH//rrfH//pyrD//fucK//adiC//priB//dadA//fur//phnD//rpsO//yfiP//feoA//ulaE//araA//fixA//ygeA//rnlA//paaG//phoA//cusB//cysM//puuB//dcuB//paaI//cyaA//argO//cydB//oppB//yjeF//cas2//nanC//znuA//ybdZ//dcuD//yiaJ//cpdB//fecD//metJ//uof//paaK//rcnB//glpX//sgbH//yaiA//iraM//agaW//artM//nagE//hdeB//lldR//ydeJ//phnN//garP//ugpC//gspE//mdtD//rimP//ykgO//nrdG//znuC//lacY//dnaN//efeU_1//ydfN//uxuA//acnB//aer//glgX//safA//sdhA//efeU_1//manY//malY//idnR//ilvH//xylH//gadC//nrfG//raiA//cheY//oxc//speC//metJ//hofP//hupB//rpsO//rrlH//yhiD//rrfG//ilvX//nac//tomB//moaD//nrdA//speB//rrfF//secB//phoB//ssrS//ptsH//metI//ptsI//gnd//gadC//nagB//prmC//ybjG//rutG//paaD//creB//csgC//lacA//ompT//xdhB//ycdZ//bglF//fimG//livM//hyaF//glgB//csgA//manY//aldB//ilvE//carA//nagA//sroD//hupA//bglG//ybjG//avtA//adiC//dctA//gspF//mhpC//rybA//pyrC//fadA//phnK//ilvA//gltD//rbsB//cdd//ulaB//treR//metB//gabP//phnG//iscA//trpA//yeaR//nagB//emrK//phnC//ahpF//gspO//argI//yccA//malS//ynfE//sbcD//nrfB//zntA//rrlA//hypE//ydiU//sgbE//araE//phnG//icd//leuE//oppD//fnrS//malQ//ileV//glnB//yfdE//cysB//fnrS//citD//ilvE//ilvI//copA//iscR//gabP//rpsJ//preA//nlpD//nlpD//nagB//gntR//aceB//glpG//gspK//fepC//malX//tnaB//rhaB//hyfG//ilvA//gltB//bioB//hypF//yeiP//yoaG//bglB//glgX//entB//ydeM//carA//fecA//nmpC//pheT//marB//treR//cheR//malY//fadB//yeaD//yhcH//fhuE//galE//araC//caiT//agp//ptsI//xdhC//bamA//mgtL//tktB//gspJ//puuD//fadE//trmD//znuA//ilvE//xapA//chbR//dmsA//dppC//fepE//ydeM//prfA//cyoD//pgaC//ppdD//speC//uxaB//atoD//ompW//mhpT//sohB//nagA//ryhB//ilvG_2//fimE//
