#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nrdA//hofP//cadC//feoB//
AlaS-L-alanine	hydN//
AllS-allantoin	cas2//paaC//rhaB//
AraC-L-arabinose	dppB//artP//hybF//ftnA//rrlA//slyB//ppdD//caiC//treR//sufA//adhE//yeaD//ompX//dcuR//
ArcA-Phosphorylated	caiF//rrfB//betT//yebE//citC//hisQ//betI//fecR//phnJ//cyoB//pgk//gntR//rrfH//narG//bhsA//prfA//prmC//hypA//tar//tehA//atoE//nlpD//yhjA//pstA//ygiB//rnhB//artP//puuR//yhiD//iscU//purK//appB//udp//ycjF//dppD//gltV//cysU//yiaK//argF//uidA//araJ//lysO//aldB//ldtC//citC//cyoE//cspE//puuD//nrdB//thrV//rrlB//ycjX//fimE//bcsA//moaC//tar//yaeQ//acrB//rrsH//cra//nupC//spf//argT//marR//ompX//znuC//recF//ydeP//rrsB//gdhA//nanM//ydfH//metC//mdtC//torR//prpD//rmf//yaeQ//rrlA//argI//mhpA//yecR//metY//hofM//ansB//azuC//cysD//rbsR//rplI//napB//mscM//ptsH//rrsD//purK//araE//rpoE//moaA//rhaD//fumA//yaiA//astA//rhaD//rpsC//gntT//lsrB//deoB//prpC//cusS//flhC//ubiA//hofM//sdhA//codA//puuP//ygiB//ilvC//rcnB//cynR//uraA//nhaA//nuoJ//napF//pagP//paaI//lacI//rrlE//fdnG//degP//phnH//ycjX//cusS//avtA//aldB//yeiW//ccmA//lacY//ung//idnD//fadA//fadH//rutG//bglG//garP//ynfH//trpC//astC//gltT//tdcE//rplP//ascB//ydhY//alaS//betA//hyaD//ilvL//baeS//baeR//mgrB//hlyE//lysO//nanT//lpxB//mepH//glpF//pitA//ykgM//rstA//prpE//prpD//malK//yibN//chbF//gabP//atoD//ydiU//ydhX//rhaB//
ArgP-L-arginine	rplM//cytR//ahpC//ahpF//nrfG//bglF//glpQ//bamE//tdcG//malX//idnK//gadC//borD//rbsK//iraD//cysI//
ArgR-L-arginine	galK//sbmC//fadA//ebgA//ccmD//hypE//dusB//hyaB//phnP//dppB//gdhA//alaT//bamE//napF//rcnA//glgB//narI//pdeF//malS//serC//aroP//cusF//yccA//argR//araE//carB//cusC//fnr//fucA//tfaQ//sucD//chbG//artI//dppD//pgpC//nikR//ydhT//ilvN//cusA//
AtoC-phosphorylated	rnpB//exuT//napD//hypD//
BaeR-Phosphorylated	yjcH//fhuD//trpC//iscR//caiD//purL//speA//ilvD//
BirA-bio-5'-AMP	nuoB//ompT//livJ//marR//tdcE//
CRP-cAMP	nikB//edd//dpiA//bioA//allD//fepG//dnaA//torA//slt//glgA//truB//prpB//fepC//glpK//gspH//cysM//tar//purK//sdaA//cysJ//malE//artP//cyoB//hycE//argG//folE//nuoA//mgrB//rhaS//fhuA//hyaD//modC//yidQ//evgS//purH//artJ//melR//sufE//glpB//emrK//glgS//phoH//glnD//norW//cyoA//ssuD//argT//puuP//rplD//ydiU//stpA//artP//hycF//ackA//phnP//hybG//pheM//oxyR//pgaD//alkB//fadB//gutM//ydhY//nuoC//thrS//chbC//trpL//purH//recF//cadB//ilvA//araH//bcsZ//betI//patZ//rnlA//fimE//rof//phoH//aroL//ydeN//cstA//fepA//yiaJ//fucA//cyoC//fur//ilvN//aceK//dmsA//ubiA//napC//cynR//xylB//narI//rbsB//gpsA//gutM//folA//creC//metA//nuoB//araF//metC//yiaJ//phnP//proP//epd//fhuC//rseA//galM//ccmD//rseC//paaE//bioA//psiF//ygiB//puuE//ccmB//ulaE//nrdB//hupA//aspC//paaC//dsdX//ydeN//ompW//rbsA//speB//hypA//cpxR//rnpB//sucA//argP//lysO//focB//phnL//degP//paaC//acrF//rhaD//chbR//sucB//hofC//fecA//mhpR//metC//gatC//zraS//cyaR//nuoG//carB//gltA//fbaA//raiA//aroM//caiB//yqjH//ugpE//pyrC//dnaN//ascF//ascB//codA//cheY//ompF//yeiL//guaB//gspC//yfdV//idnT//citD//lsrR//paaJ//pgaA//appX//yccA//alaS//nikC//ydeM//glpQ//nanK//phoA//trmD//hdeD//raiA//hlyE//nuoG//ompW//mglA//fucP//trpA//nrdB//araH//ynfG//melB//nhaA//rhaB//spy//cspE//gatB//mdtB//nuoG//yhfA//glpT//rrfE//qseC//erpA//tadA//acs//casB//treR//nadC//phnM//ivbL//ugpQ//carA//fadH//soxR//ubiX//fepB//xseA//argD//araA//fixA//hybF//ccmC//entH//mhpD//yhjA//leuE//adhE//ybjG//mscM//gntX//rstB//idnD//tehA//uhpB//rbsR//yaiW//norW//metA//acnB//fimC//gutQ//nlpE//dppF//mntS//sdhC//nac//ccmF//cyoA//cysI//infC//ygeH//acnA//trpD//uidC//paaB//cspE//fimC//nupC//tsr//yhcH//torR//marB//acrA//napH//hybO//mzrA//ydhW//evgA//trpB//fimE//yjiY//manY//ygiB//nanC//purB//preT//ssrS//cyoA//metQ//glgX//rof//hemA//cheA//fixB//flhC//rbsR//tfaQ//rhaA//creC//cheY//paaB//argR//yqjI//fimC//speC//garP//glcE//cynR//osmC//gnd//priB//gutQ//paaA//nuoA//yegH//sufD//deoD//ppdD//hyaE//ydhY//yibN//hyfJ//rrfF//eda//argG//psiF//dsdA//torA//nanE//narH//yhfA//idnK//uhpB//cyoC//oppD//cusR//uof//leuE//allE//gatA//chbA//ampD//sgbU//tyrR//feoB//treB//napG//paaC//gntR//ileV//cysU//gspE//ydeJ//frc//nusA//mpl//yqjA//nikE//araG//dppD//malY//ulaD//metK//lysU//glrR//lrp//purL//fdnG//casC//gatZ//melA//alaV//aroP//gatB//csgG//lsrR//yqaE//dcuR//rrfH//ykgR//chbB//pgaC//yoaC//glgX//nrdE//ugpA//srlD//tomB//pstA//ldtC//pstA//amtB//acrF//yfiP//argP//rrlC//gspO//tdcF//crp//mdtC//artM//katE//mglA//alaT//mhpC//ydhY//xylH//dapB//araH//yegR//hdeD//caiE//narQ//xapB//csiE//ulaB//moaE//nuoF//srlR//pgaB//sgbH//hypF//moaE//hofN//ynfG//hcp//bglF//cstA//fimC//ilvL//lysA//nanS//motA//paaF//frc//exbB//aroH//infB//infB//lsrB//xylH//rrfC//tehA//tauB//prpD//glgX//glgP//focB//purB//pgpC//nuoA//garL//cusR//hybB//cdd//fimH//nrfA//alaT//ccmA//caiB//torA//moaA//adiC//acnB//cysG//xylF//narG//thrS//srlE//efeU_2//narL//rrsG//emrK//glrR//bioF//ompR//caiA//yqjA//efeU_2//fepD//artQ//sufC//fecI//rplC//uidB//tauD//creB//focB//dcuS//mglA//purD//tcyJ//mltC//mutY//ydeM//idnK//slt//rrsE//frdC//uhpA//dmsD//nrfE//arcA//melR//ulaC//phnP//fecE//alkA//gltD//dcuC//dmsD//argT//fucP//gpmA//aroP//deoB//alaA//chbA//cysN//prmC//malY//ytfE//cas1//sbmA//focB//caiB//malK//uvrA//citG//ydhT//
