#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	qseC//lsrB//caiT//modB//
AlaS-L-alanine	ugpB//
AllS-allantoin	fucP//gntP//rplV//
AraC-L-arabinose	fecE//lhgO//pstB//ycjX//phnC//moeB//prfA//ilvB//lldD//nuoA//fes//phnM//iscA//manY//
ArcA-Phosphorylated	tauC//rplP//hybB//nrdD//uhpT//actP//abgA//tonB//idnR//cvpA//trpD//phnM//phoH//uof//rrlA//ygiA//paaZ//rmf//hofN//rpsS//hyaA//efeU_2//iraD//cyoE//tdcA//allE//tehB//fadL//nagB//aaeA//ccmD//glyA//raiA//hyaD//torR//tauD//hofB//rpsC//aaeR//cysG//tyrR//rnhB//katG//napD//rpsQ//baeR//lsrB//chbG//galS//ssuE//gltD//hpt//fabZ//degP//purM//lacZ//fadI//ilvI//nlpE//pstS//rutB//evgA//glnK//miaA//efeU_2//rbsK//aspC//rpsP//hemA//csiE//malZ//ssuC//thrV//fnrS//nrfC//cpdB//cbl//ccmB//frc//araG//mpl//rhaR//napD//yiaO//pgpC//glnL//trpL//uhpT//araE//lrp//glpA//gabP//hyfA//osmC//uxuB//aaeX//araC//cusR//marB//yaeQ//mntP//nanE//rrlA//sgbH//ynfK//ugpA//udp//yeaR//sdhC//aaeA//fepG//ssuB//chbG//uxaB//narX//yeiB//xylA//nagE//ihfA//rbfA//glpC//rutA//rpmI//ppdD//astC//glgP//rbsA//glgP//malI//pgaB//appB//caiD//casE//ygbA//cysI//folA//lamB//bioF//fabZ//cysN//prpD//speA//fepG//ubiC//zraS//rrlH//xylF//trpR//eda//xapB//trpC//bglG//phnM//zraR//fecA//rstB//glgB//tdcE//artQ//azuC//spf//trg//cheY//yjcH//agp//treC//yhhY//fadA//nirB//ompX//argP//acnA//hybF//phnI//purL//yiaM//rybB//
ArgP-L-arginine	skp//hfq//fixA//ubiA//mepH//cspD//aspA//yfbR//nhaA//yjjZ//ascB//rbsD//tehB//mhpF//rplC//modB//
ArgR-L-arginine	rbsR//eda//purA//glgA//puuC//ileV//deoD//torC//sucC//dkgB//guaA//argC//melA//ynfF//rimP//treR//folE//acrB//yfbR//purC//acrE//ppiA//dcuD//chbB//asr//livH//dusB//norW//dcuA//gabP//fadL//yiaO//ykgR//puuR//prmC//nagE//yhfA//yqjH//erpA//
AtoC-phosphorylated	csgA//pdhR//ftnA//ydiU//
BaeR-Phosphorylated	soxS//caiT//yfaE//phoQ//ascF//bioA//puuA//argB//
BirA-bio-5'-AMP	casE//torD//bglB//ebgA//ubiG//
CRP-cAMP	mhpE//fucI//napC//aaeA//trxA//appC//thrS//ydhV//psiF//glgX//preA//mgtL//gspE//kbaZ//glrR//mcaS//glrR//flhD//creD//efeU_1//atoB//trmD//nanT//fepG//mtlA//rpsS//nuoC//metQ//rplC//erpA//deoC//malY//envY//narJ//mzrA//yeiL//rrlB//feoB//hybA//napB//nrdI//uidC//gspI//patZ//gatD//trpL//marA//lsrG//hupA//mdtC//gapA//chbA//udp//artP//citX//gcvH//phoR//raiA//hybF//metA//yqjH//lsrF//nirB//gltU//tadA//hlyE//ulaA//cirA//yrbL//ccmE//glpE//paaG//lysU//hyfB//metA//frdC//hycF//phnL//ssuA//entA//rpoH//aceE//phnI//rpoE//purB//sufS//csgG//metE//hyaA//katE//lsrR//tdcG//yeaD//rrlE//copA//ybdN//nhaA//bglB//ygeH//znuB//modC//amtB//rbsD//dcuS//xdhB//ilvH//napC//cheW//aroA//fucP//paaI//chbF//alkA//rplD//rnlA//pncB//argO//cdd//gcvT//yjcH//rrlC//fecA//rhaR//casE//yhjC//focB//puuR//malY//motB//lsrF//sufD//metY//glcF//cpdB//srlE//rprA//dcuA//fdnI//cysD//hybO//ebgC//paaC//fimF//nrdB//paaZ//hypA//gspM//metQ//ppdD//nrfE//pheM//entE//hisM//aroL//ygbA//rrlD//hyaA//baeR//oxyR//nuoN//fhuF//rstB//mdtC//thrV//ssuA//uvrA//uraA//ssuD//nrdB//hyaF//ompC//ydhU//glcE//csgC//phnO//frdC//yccA//phnF//aaeA//feaB//atoD//nrfA//ulaA//torD//cas1//rstA//rdoA//evgA//livJ//ebgC//iscS//nrdI//phnD//fucU//gdhA//metC//argB//guaA//lpxA//dsbA//yqjI//gadB//abgT//metI//tdcB//livM//glgP//argC//xylB//iscS//paaE//ubiG//gatY//yhfA//ydhY//livF//qseB//cyoD//mhpE//aceK//map//emrY//mcaS//aldA//yaiA//yccA//mgrR//ilvE//pyrD//cusB//lysA//cysU//livH//rpoH//spy//sucB//nuoC//serA//csgC//nadC//aroF//ycjF//creD//soxS//secB//glpB//ydhU//glnB//ldtC//malE//flhC//yeiB//rutB//folE//soxS//stpA//chbC//ilvL//pitB//tfaQ//mipA//rplP//oppC//rplS//tnaA//aidB//rrsA//lldD//srlA//flhD//preT//ebgC//ugpE//ackA//ampE//fnr//fimE//dcuB//nikA//yecR//xdhB//mscM//hslJ//treB//nupG//ynfH//oppF//yecR//grcA//metI//cydB//hybD//yfaE//chbF//rhaD//cusR//dcuA//prpB//dps//sdhD//astD//mdtD//torR//efeU_2//rrlB//caiE//kbaZ//cynT//glnB//phoR//glcB//aaeX//napD//gabD//ynfH//ychO//znuA//pstA//cusR//mntH//rpsR//paaB//garR//atoD//iscS//tehA//pgaC//bamE//skp//ydeP//ung//amn//nirC//lsrK//napG//nuoJ//agaA//purB//cheB//melR//fur//nhaR//glgC//glcB//sdhD//sodA//baeS//aceK//lpxD//pheS//cysU//hofP//aldB//agp//ychH//nrfB//cstA//alkB//allE//rbsB//dadA//betB//rstA//fimI//glgA//hybD//tehB//ompW//alaV//dmsC//dsbA//rbfA//rhaT//cysN//araA//gatZ//rcnB//dcuS//fhuF//nagC//efeU_2//hofM//fepE//galT//malP//glgA//aceF//chbB//rutD//rutD//betA//nagB//fhuB//gadB//ssuC//gltF//cytR//soxR//ada//metK//rplS//abgT//cas2//lolB//ilvX//cydD//truB//ydeJ//ydbD//pgaD//gcd//fur//deoB//uidA//sufD//yeiW//ydeJ//oxc//ydfN//dusB//rseA//lyxK//csiE//flhC//narH//ubiC//treB//trpL//tauA//hemL//hyfA//livM//agp//hyaB//phnD//hyfD//iscA//rof//uvrA//glgX//amn//yeiW//mdtC//lsrF//ydhV//rbfA//astE//ppdD//mhpF//tsr//dpiA//nirB//moaA//gdhA//dppB//argI//deoD//marB//exuT//garR//lpxB//nuoG//ccmH//hmp//gdhA//pheM//psiF//arfB//ssuE//pitA//araG//oppA//agaV//oppF//dppA//nrfD//hyfR//carA//agaW//yebE//ileT//casC//rrfG//phnH//allC//yggX//pta//manY//tfaQ//fecA//mglC//nrfC//cyoE//argO//nikR//creD//folA//nmpC//rrsD//grxC//rpoH//fecD//rrsG//phnE_1//yojI//mhpE//ccmE//astC//norV//cydC//zraR//ptsG//rbsA//ftnA//cynS//frdA//exbD//ulaF//mhpC//entF//rplB//mutL//ssuC//ynfE//appY//
ChbR-Monoacetylchitobiose-6P	ihfA//slt//fucO//yhjC//rnlB//glpQ//
CpxR-Phosphorylated	fimH//rutB//rbsA//moaD//ansB//mtlD//yeiL//chbB//lldP//nrdA//aroA//frdD//sbcC//zraS//artJ//gatZ//hybD//hofB//srlD//glgB//alaV//garK//entH//ileU//hyfR//glnB//glpG//modA//hcp//rrsD//napF//nrdB//fes//yjjZ//cusF//baeS//cysJ//prs//pitA//ccmE//prs//acs//micF//moaD//rimM//rplS//rplD//yhjC//grpE//tap//cydB//gltA//ychH//lysO//yebE//aldA//yfdV//cysW//malI//crr//hycH//micF//purN//casC//sucC//lacI//alaA//hofB//raiA//
CreB-Phosphorylated	cynT//sufC//fepE//narH//crr//prpE//hypE//tnaC//gltW//
CueR-Ag	deoC//appX//hypE//norV//casB//melB//dsdA//
