#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	gltB//cysN//yhcH//fadJ//
AlaS-L-alanine	hybD//
AllS-allantoin	arcZ//chbA//yeiB//
AraC-L-arabinose	dmsA//phoE//ulaB//csgC//glpA//srlB//gapA//hlyE//mcaS//yegH//hisP//tdcC//deoB//yaiA//
ArcA-Phosphorylated	yiaM//hyfA//gltV//phnK//aaeR//tktB//paaD//cynR//phnC//putP//malX//cysU//caiC//malG//glcE//ytfE//pstB//glpX//torD//phnF//glcC//dgcZ//nrdB//mglA//bglF//gyrA//metK//hisM//putP//nac//xdhB//ydhY//paaD//lsrA//fadL//caiD//argG//ydeM//lacZ//sgbU//ykgO//chbF//entS//ugpE//borD//argC//ptsH//torR//ccmC//glpR//ccmH//argC//phoB//yjeV//gspH//ybfN//galT//ygaC//tdcE//mzrA//rutF//entB//ydeM//purM//agaW//sufD//ogt//crr//aldA//aceF//gcvH//lsrR//hslJ//chbA//nrdE//ompR//rplS//argD//lpd//ugpB//yqjA//gspM//cadB//puuA//uof//cheB//lpxD//rbsB//hisJ//ileU//nrfB//uhpB//gutM//yiaN//pgaC//iclR//nuoM//chbC//ivbL//tdcE//ompT//nuoL//gutM//prpE//dcuA//dmsC//speC//lsrG//bamA//pitA//sxy//sbcC//galM//appC//glpF//avtA//ykgO//appA//bglG//gntX//hofM//rhaS//metB//ompF//lsrG//aidB//lysU//ahpC//ompR//ilvX//uidC//prpR//evgS//rrfA//mgtL//cusF//csgA//gutQ//focA//cadB//glrR//exuT//hcp//phnK//rpmC//fimC//tcyJ//yjjZ//entC//grxC//mhpE//bamE//gspG//mhpD//napC//ydfN//paaB//lsrA//rbsK//gspL//rbsK//ascF//rutE//rhaB//glgS//ccmG//feaR//feoB//hybC//rpsF//artM//xylR//ilvC//deoA//bglG//dppC//nusA//
ArgP-L-arginine	rplS//gpmA//hha//ilvB//proP//fecI//fadA//ydhV//malG//hyfJ//gspJ//narG//cusC//crp//ompF//rpsQ//
ArgR-L-arginine	iscR//deoD//cyoD//prfA//murP//puuD//nrfC//mlc//gyrA//fhuC//sroD//spy//ccmF//trpA//ssuB//nrdF//rplT//moeA//glnD//gntR//fucP//astA//galP//frdB//appY//artI//hyfI//yiaL//hofP//malY//sohB//uxaB//dkgB//rrfD//hcp//ssuB//fucO//pgk//cadC//
AtoC-phosphorylated	nanT//agp//katG//argP//
BaeR-Phosphorylated	cirA//rrlB//rseB//degP//fepA//yiaK//yfaE//moaD//
BirA-bio-5'-AMP	hybC//nanC//fepG//cysK//rrlC//
CRP-cAMP	moaE//argH//rplP//bcsB//lsrC//rpoH//caiA//ulaC//caiT//carA//casB//prpD//trpR//fimH//rhaT//pncB//rnhB//fepE//lrp//rbfA//phnN//aroF//ilvL//sufE//lysO//ilvX//phoE//sbmC//dnaA//oppC//glpB//lolB//phnF//ascF//cheZ//rpsJ//napA//cysC//hofN//csgA//treC//sxy//sdaA//paaZ//crp//sucB//argI//yfiP//mhpF//ilvD//paaG//astA//raiA//ileU//rplW//hofC//chbF//fucP//metR//trpR//grcA//treC//fucK//ilvE//ilvM//xseA//lhgO//feoB//nac//rutB//gcd//nrdI//metY//rpsP//fecE//cydC//folA//cysW//cheW//glnG//narG//bacA//phnE_1//fadH//moaA//csgA//dapB//cysK//fadI//norV//ugpE//metF//mhpB//rhaR//cheR//ydeA//nanM//rrlG//sgbH//citG//rpsP//ulaD//paaA//aroL//betT//mhpF//rrfE//ykgR//rhaR//gltU//livG//gspO//tehB//hyfG//nikD//yaeQ//rutC//fadJ//rrfA//pheM//phnG//hycC//phnE_1//ilvI//glpB//nanK//csgA//adiC//ndh//nrdH//fimH//dusB//yegH//glyA//csiE//rpsI//yoaG//puuP//codB//hisJ//puuR//yfbR//gspL//ulaC//fadJ//crp//gspE//nikB//abgB//citX//serC//araG//torA//ycjX//ogt//cpxR//ilvB//ydhU//gabT//nrdD//aspA//nikE//tpx//rplC//glpQ//fucP//fadB//fes//agaW//ulaC//pitA//fixC//hycD//lacZ//phoP//hycC//ptsG//ahpF//manX//aroH//amiB//argP//srlR//nanM//priB//nirB//tauD//fucO//yfdE//xylR//trpR//hemA//idnR//cysA//osmC//dkgB//hyaF//napA//glgA//pstC//puuD//yiaO//phoP//malQ//nrdE//artM//ihfA//gatB//infC//gabP//dapB//frc//cysM//manX//oxc//tsx//fepC//hpt//livF//crl//hupA//uxuA//yoaC//purE//pgaA//dkgB//puuR//malS//nrfA//bglG//nrfD//csgE//ydeN//tsaE//sodA//uraA//gntK//glcF//nuoH//malK//fepG//hslJ//iscS//nadC//ssb//hyfG//uxuB//hcr//nirD//qseC//nagC//hycA//acrD//nrfC//paaE//torD//gspI//yeiW//rpsJ//yeiW//skp//cadC//phnO//fepC//ybiT//rprA//rutC//exbD//gutM//aroF//fhuD//sbcD//rrfA//puuP//gdhA//rhaD//napD//cstA//rpoH//sucA//glnD//lsrK//glnB//rpsJ//lacY//lamB//lysC//fnr//fiu//rplM//hyaB//preA//nagB//fimI//fdnG//mhpA//ptsH//cusC//uhpB//citD//csiD//hyaA//speA//agaA//degP//phnE_1//rnpB//xylA//tdcE//agaV//nagB//grcA//grxD//hofC//atoD//nmpC//gltD//sucB//ssuC//napC//gyrA//lacI//ydiU//metN//ydeJ//aaeB//cydC//citG//gpsA//oppA//evgS//moeA//cysM//oppB//dmsD//mntP//malE//araB//argR//hycI//metL//aidB//ilvG_1//nlpE//rrfC//tadA//motB//yiaJ//glmY//marR//fadJ//yjjZ//tar//ihfA//yegR//deoD//cpxA//chbB//yjiY//mglC//yiaN//fbaA//erpA//torR//hycG//argH//ccmA//copA//nagC//metK//idnO//folE//gltV//ydeO//fadE//waaH//ycjF//argE//gatY//pheM//acnA//yccA//dmsC//ivbL//rrfC//treC//ilvL//nuoM//dnaA//umpH//cheY//trpE//betT//glgX//abgT//fumA//torD//citX//pgaC//yhiD//grxD//truB//citC//ileV//rrfC//cheW//gntT//lpd//fdnG//ydfH//uvrA//rof//argA//speA//ugpQ//rplV//glmY//phnN//purC//rutF//ompW//caiA//yhhY//xapB//allD//trpC//malS//mcaS//uxaA//garP//csiE//cysC//oppA//ulaD//cysC//garP//srlA//napC//manY//fepA//flhD//rpsS//glnD//livH//tnaA//efeU_1//pitA//csgA//yfiP//mdtC//rbsR//trpA//uhpA//lpd//pheS//nagB//mipA//rpsO//ccmE//edd//cysU//gntK//pagP//idnK//soxR//cyoA//rplP//cheR//nhaR//bacA//glcG//rstA//malM//spf//glgC//hyfI//metE//cusC//modB//rrsC//atoE//fecC//aceK//ccmF//actP//phnL//chbF//glyA//ccmG//rplV//pgaD//oppF//hycE//gspH//tam//galT//tam//gadB//cydC//pgaC//ubiA//ygiB//lacI//avtA//uxaC//gutQ//znuC//ilvX//bhsA//pgaC//cynT//hdeD//nuoE//purD//cadB//ydhT//rrlA//gcvT//araJ//xylR//mhpF//hybF//ompA//nuoE//ydbD//
