#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	tehB//uxaA//fau//atoE//
AlaS-L-alanine	sbmA//
AllS-allantoin	nikC//hflD//ssuD//
AraC-L-arabinose	ydhW//nmpC//phoQ//cirA//fimF//dmsA//eda//dgcZ//rpsP//hypE//adhE//sufE//argB//creD//
ArcA-Phosphorylated	trpC//arfB//gspD//dpiA//yoaG//yhcH//tyrB//raiA//yfbR//polA//glcD//hyaF//tyrP//cpxA//iraM//bcsC//ydeP//allE//ulaD//crl//avtA//iscU//entC//malT//ydeJ//ascF//iscA//tdcD//uhpA//cirA//tam//nrdI//creB//cyoD//yiaO//hyfC//trpD//lsrB//malZ//mhpA//grxC//ompX//cynR//rnpB//caiT//exbB//rbfA//nlpE//agaW//motB//gltD//fdnH//narX//mhpF//tauD//rpsC//grxC//metY//glpG//ilvB//cas2//rstB//ilvY//mhpC//gatD//rrlC//garP//purA//ynfE//ygbA//ssrS//rhaD//hycD//ychH//fes//fbaA//dppC//soxS//phnF//rhaA//xylB//glpG//sodA//rbsA//yfaE//appA//purK//glpE//argF//lldR//cadB//ihfA//fis//oppF//ytfE//carA//artI//codA//raiA//cra//modC//puuR//cysK//gspH//ydfH//fucU//ldtB//rplV//metL//bioD//dcuA//glyA//hmp//yaeP//cra//sbcD//acnB//fnr//fucA//rrlC//mutY//gutQ//phoA//hpt//tdcB//glnG//codB//cheW//aroP//pgk//prfA//phoR//glcD//fadH//xdhA//allC//argB//hybO//ygeA//pflB//casA//argF//murQ//nac//mltC//cadC//gcvT//yeiP//pnp//cadC//cyoE//ileU//hflD//tnaB//xylB//hyaF//fdnG//fdhF//dnaE//ydiU//phoA//glpC//tnaC//yqjI//creB//slt//cusF//cusS//glcB//sdhB//nrdF//pdhR//phnJ//actP//ybiT//tauD//ileV//
ArgP-L-arginine	puuR//manX//cheY//hyaC//glpQ//yegH//rutE//yeaR//gltA//hlyE//zraS//glnB//rrlB//speB//bacA//phnP//
ArgR-L-arginine	fumB//tyrP//ogt//torR//aroL//ompR//nagB//fhuC//yeaR//hemA//paaA//phnP//nlpE//yaeQ//rpsP//phnO//glgX//yeaE//bamA//ilvA//pnp//aidB//gatB//ilvY//ppiD//tcyJ//ssuE//lolB//acrB//deoC//acrB//dnaN//caiE//nrdI//cadA//hisP//livG//metC//sbmA//
AtoC-phosphorylated	abgB//phnI//puuP//ydhX//
BaeR-Phosphorylated	ilvC//oppB//hofB//tdcB//trg//glcE//purB//hydN//
BirA-bio-5'-AMP	moaA//fixC//fucA//argT//sufA//
CRP-cAMP	xdhB//atoD//lpxB//ydeA//nrfD//pstS//bcsA//frdA//torC//citC//glgX//fadI//yhfA//csgB//yhfA//oppB//glgS//yebE//sdhC//hofB//glnG//gspO//oxc//gatZ//nirD//rnpB//ydeA//hcr//ydeA//trpE//mdtB//yeiL//cysD//galP//metY//argF//cspD//tdcG//nagB//rhaS//ysgA//stpA//tdcE//manA//rplM//narK//cyaA//gntX//acrF//manX//oppD//gatY//yhjA//nrfG//glpT//gapA//cysB//gspJ//alaV//focB//fecB//napB//abgT//modB//nrfB//murQ//comR//purE//citG//sodB//gspL//torR//mgtA//zinT//tdcC//avtA//puuB//sgbE//manA//galP//yaeQ//xylA//efeU_1//fadB//yeiP//rybB//sgbH//phoR//znuC//ilvN//purB//fimG//tehA//nuoC//gspO//fucI//motA//rrlA//fixA//zntA//hofC//ssuA//rutB//galP//torC//chbB//ycjF//speB//entF//ssuD//ulaD//manA//lldR//hyfR//mhpC//nuoN//hyaC//ccmF//sbmA//modC//betT//fis//astE//srlD//argH//pta//emrY//avtA//metQ//hyaC//slt//puuC//tauD//malI//yeaD//uhpT//rplB//ahpC//fadH//rplB//mhpF//tdcB//ilvH//csgE//fadB//tyrR//fimE//ampE//mtlR//mhpB//uidA//sdhD//leuE//cusB//lacY//ilvM//rhaT//metJ//fecI//yqjI//lpd//phoP//glcG//nrfF//yjcH//rbsR//rutC//glpD//dcuC//pyrC//yegH//fixA//sdaA//argC//lpxB//pgpC//zinT//cysB//nhaA//nadC//lysU//fhuC//hycG//glnL//hypC//sucB//hflC//casD//ubiX//iscS//glpX//acrE//gutM//tdcC//aldA//fixA//alaS//iscU//tap//ssrS//gntT//ppiD//gltA//amiB//yeaR//rnlB//ampE//citC//torC//rbfA//hycB//metA//trpA//livG//ilvD//cysP//puuE//ygiB//nikR//lsrD//pyrC//ydeN//gspK//glyA//melB//yjcH//ilvX//aroH//nuoM//frdA//aldA//ynfH//yhhY//mtr//ydeJ//dapB//metH//kbl//cadC//carB//nupC//galT//uhpT//ccmH//treR//sohB//comR//yecR//chbB//ileU//tdh//amtB//rpoE//tfaQ//speB//cysP//treR//artI//livG//lpxA//purA//araH//flhC//narH//nrfF//cdd//phnC//cynR//mntH//lysC//yiaL//rseC//gltD//ilvA//icd//ydhW//araD//raiA//phnI//tsgA//ebgC//rutD//tfaQ//infC//xylH//malE//iraD//rutB//hyaB//ilvC//fepD//aldA//glgC//ilvI//livJ//hycE//ccmF//citD//tdcC//phnN//hyfJ//rrfA//atoD//livH//lsrG//pepT//zwf//feoB//fimF//cadB//envZ//dmsC//rutE//paaF//gltF//gltB//deoB//yhcH//deoD//nikR//casD//sodA//pta//uidB//idnD//sufC//cvpA//mutY//gadB//metI//nrdD//xylF//frdA//grpE//lsrR//ygeH//hypD//treC//purM//mutL//fadI//dmsA//yiaL//pagP//glpD//fliZ//hfq//aroA//citC//rnhB//lysO//nadC//cas1//ulaA//lldP//rcnB//gspC//ccmA//nrdD//yfiP//dkgB//fepC//ygeH//adiC//argF//allC//pyrC//bacA//cpxR//paaF//rprA//xdhA//polA//xylG//lysC//uxaC//rimM//soxR//evgS//bglB//phoU//cadA//rrfD//lyxK//hybE//ackA//cyoA//purA//rpsC//galM//mcaS//cusA//nrfB//moaC//fimG//hybF//cheR//mutL//oppD//metJ//ynfF//tolC//ynfE//nanA//hflD//cusF//hyaC//rnlB//phoR//ytfE//rrfG//yqaE//tyrR//paaI//metE//map//rpmI//tdcB//dpiA//yiaJ//envZ//evgS//pdhR//cirA//fumA//gntP//hyfG//motB//ompR//mhpR//modC//glgB//tfaQ//hypD//bioD//araJ//gltD//srlD//uidB//phnL//exuT//tap//rprA//cheB//fur//rplT//ugpA//rrlE//spf//ppiA//hybF//yeaR//uidA//yaiA//csgC//udp//xylR//secB//rpsI//narG//yfiP//ydeO//cyoE//hisM//idnT//aldB//nirC//puuB//araE//ilvX//hflC//entF//gltV//avtA//dcuC//hdeB//nuoA//dadA//phnH//paaB//efeU_2//dcuB//fadH//fepE//argC//rrsD//uxuR//paaG//cysI//rutD//rrfD//fhuF//rhaR//hupB//dpiB//purB//pagP//argC//paaB//trpE//fimE//alaU//ansB//kbl//frdD//fliA//glyA//yneM//entC//infC//phnH//rrfG//araA//aspC//hcr//casE//gltV//fimA//glpG//narG//glgX//puuC//glpG//amtB//treR//
ChbR-Monoacetylchitobiose-6P	phnJ//gdhA//nrfC//phnO//mglB//aaeA//
