# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	cysM//ilvI//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	frdC//astA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	sgbH//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gcd//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	fadB//nrdA//
AdiY_H-NS_IHF	paaK//
AgaR_CRP	hmp//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	fucU//ilvA//
AraC_CRP	katG//fadB//murF//pgk//entC//
AraC_CRP_XylR	pck//purM//
AraC_NagC	
ArcA_BetI_Cra	galK//rutC//rsmH//
ArcA_CRP_CaiF_FNR_H-NS	paaI//malY//acs//fadA//napA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gatD//citX//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	fucO//mazG//mnmG//paaF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	nagA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	lsrF//rnpB//xylA//
ArcA_CRP_Cra_Fis	glcF//
ArcA_CRP_Cra_IHF_IclR	pspE//dmsB//cysJ//
ArcA_CRP_DcuR	sdhA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	lacA//
ArcA_CRP_DnaA_FNR	cyoE//
ArcA_CRP_DpiA_FNR_NarL	ssuD//waaZ//dusB//
ArcA_CRP_DpiA_FlhDC	fadD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	appA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ilvA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	malY//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	ddlB//glpX//rutE//fadB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	idnO//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	hemA//
ArcA_CRP_FNR_IHF_NarL	glpK//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	atoD//
ArcA_CRP_FadR_HipB	icd//
ArcA_CRP_FadR_OmpR_PhoP	prpE//
ArcA_CRP_Fis_Mlc_SoxS	cyoE//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	paaJ//caiB//puuD//
ArcA_CRP_GlpR	araA//
