# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aspC//tauD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	glnA//nfsA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	prpB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	dadA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ahpC//mtlD//
AdiY_H-NS_IHF	moeB//
AgaR_CRP	napG//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	napB//metL//
AraC_CRP	gdhA//cysI//tdcD//nrfA//fadA//
AraC_CRP_XylR	rimK//carB//
AraC_NagC	
ArcA_BetI_Cra	garR//malY//glpQ//
ArcA_CRP_CaiF_FNR_H-NS	napB//nrdE//codA//xylB//garL//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	glcB//deoD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	pflB//prpD//cysJ//pspE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	rhaA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ascB//ldtB//ynfH//
ArcA_CRP_Cra_Fis	araB//
ArcA_CRP_Cra_IHF_IclR	aldB//appA//purA//
ArcA_CRP_DcuR	metK//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	aspC//
ArcA_CRP_DnaA_FNR	xylA//
ArcA_CRP_DpiA_FNR_NarL	gabT//puuA//umpH//
ArcA_CRP_DpiA_FlhDC	frdA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	lacA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ynfF//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	dgcZ//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	nagB//ugpQ//astD//nirD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	dsdA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	glgC//
ArcA_CRP_FNR_IHF_NarL	fucU//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	purD//
ArcA_CRP_FadR_HipB	galE//
ArcA_CRP_FadR_OmpR_PhoP	gabD//
ArcA_CRP_Fis_Mlc_SoxS	paaZ//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	paaA//ulaE//metL//
ArcA_CRP_GlpR	recF//
