# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	argD//napA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	araB//rsmH//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	paaI//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	rsmH//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	truB//paaJ//
AdiY_H-NS_IHF	lacA//
AgaR_CRP	uidA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	fabB//moeB//
AraC_CRP	paaI//srlD//pdeR//hcp//aroL//
AraC_CRP_XylR	prpB//rhaA//
AraC_NagC	
ArcA_BetI_Cra	dusB//fucK//ulaF//
ArcA_CRP_CaiF_FNR_H-NS	ilvM//paaH//fadB//guaB//ubiC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	pck//atoA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	cysH//accB//ftsI//metE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gutQ//
ArcA_CRP_Cra_FNR_NsrR_PdhR	frdB//ldtB//glpA//
ArcA_CRP_Cra_Fis	treC//
ArcA_CRP_Cra_IHF_IclR	paaI//purA//metE//
ArcA_CRP_DcuR	gcvP//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	sgbH//
ArcA_CRP_DnaA_FNR	fadD//
ArcA_CRP_DpiA_FNR_NarL	hycB//nrdE//acnB//
ArcA_CRP_DpiA_FlhDC	putA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	fucO//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	gabD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	purD//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	glcD//gltB//dadA//gloA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hypB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	tdcD//
ArcA_CRP_FNR_IHF_NarL	pflB//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	lsrF//
ArcA_CRP_FadR_HipB	lpd//
ArcA_CRP_FadR_OmpR_PhoP	ulaG//
ArcA_CRP_Fis_Mlc_SoxS	sucB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	umpH//napH//fucI//
ArcA_CRP_GlpR	pyrC//
