# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	puuA//citC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	pgaC//glgA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	cysI//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ilvD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	chbF//mnmG//
AdiY_H-NS_IHF	rsmH//
AgaR_CRP	lpxA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	astA//puuE//
AraC_CRP	treC//puuD//lysA//adhE//fadI//
AraC_CRP_XylR	nanM//paaB//
AraC_NagC	
ArcA_BetI_Cra	nrfD//gnd//idnK//
ArcA_CRP_CaiF_FNR_H-NS	glpC//prpE//astD//srlD//guaA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	purD//caiD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	hemA//lyxK//cadA//entH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	malY//
ArcA_CRP_Cra_FNR_NsrR_PdhR	deoD//xylA//caiA//
ArcA_CRP_Cra_Fis	citD//
ArcA_CRP_Cra_IHF_IclR	prpD//ilvG_2//glcB//
ArcA_CRP_DcuR	cysJ//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	astC//
ArcA_CRP_DnaA_FNR	lysA//
ArcA_CRP_DpiA_FNR_NarL	gabD//sgbH//fucU//
ArcA_CRP_DpiA_FlhDC	fadB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	aceA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	lacZ//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	uxaC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	rbsD//hycE//astE//lsrG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	cyoE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	malQ//
ArcA_CRP_FNR_IHF_NarL	fumA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	glcF//
ArcA_CRP_FadR_HipB	mraY//
ArcA_CRP_FadR_OmpR_PhoP	patA//
ArcA_CRP_Fis_Mlc_SoxS	folA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	adiA//nagB//cadA//
ArcA_CRP_GlpR	murE//
