# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	acnB//uxuB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	moaD//rnpB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	nagB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	puuC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	citG//purD//
AdiY_H-NS_IHF	moaA//
AgaR_CRP	pgaB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	cadA//ubiA//
AraC_CRP	hyaB//gdhA//aroA//nrdD//fucU//
AraC_CRP_XylR	hyaC//citF//
AraC_NagC	
ArcA_BetI_Cra	ubiC//gadA//ilvG_2//
ArcA_CRP_CaiF_FNR_H-NS	adiA//pspE//mdh//glgP//ubiC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	fucO//napG//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	moaD//pck//pdeR//rutB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	hyaC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	sucA//waaY//nrdF//
ArcA_CRP_Cra_Fis	edd//
ArcA_CRP_Cra_IHF_IclR	waaZ//araA//atoD//
ArcA_CRP_DcuR	fumA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	entD//
ArcA_CRP_DnaA_FNR	sgbH//
ArcA_CRP_DpiA_FNR_NarL	paaB//sodB//hycD//
ArcA_CRP_DpiA_FlhDC	narH//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	paaH//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	lysA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	fadD//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	moaA//fucU//fucI//kbaZ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	glpD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	melA//
ArcA_CRP_FNR_IHF_NarL	ilvE//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	treC//
ArcA_CRP_FadR_HipB	ldtB//
ArcA_CRP_FadR_OmpR_PhoP	betB//
ArcA_CRP_Fis_Mlc_SoxS	gdhA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	nfsB//galM//paaJ//
