# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	mnmG//truB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ynfH//pgaB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	argG//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	lacZ//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	murG//acnB//
AdiY_H-NS_IHF	murD//
AgaR_CRP	truB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	gutQ//pgaD//
AraC_CRP	gatZ//sgbU//eda//acnB//ftsI//
AraC_CRP_XylR	citF//cadA//
AraC_NagC	
ArcA_BetI_Cra	idnO//fadE//napG//
ArcA_CRP_CaiF_FNR_H-NS	sucB//fucK//rutC//uvrA//puuE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ascB//ulaF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ilvA//glcB//glyA//purH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	araB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gltB//sucC//lacZ//
ArcA_CRP_Cra_Fis	prpB//
ArcA_CRP_Cra_IHF_IclR	betA//carB//yiaK//
ArcA_CRP_DcuR	mhpB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fabA//
ArcA_CRP_DnaA_FNR	eda//
ArcA_CRP_DpiA_FNR_NarL	gltD//atoD//fdhF//
ArcA_CRP_DpiA_FlhDC	mhpF//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	sodA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	pgaC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	frdB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	waaZ//aldA//nfsA//ftsI//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	pspE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	citG//
ArcA_CRP_FNR_IHF_NarL	caiA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	uvrA//
ArcA_CRP_FadR_HipB	lysA//
ArcA_CRP_FadR_OmpR_PhoP	mpl//
ArcA_CRP_Fis_Mlc_SoxS	puuC//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	rbsK//fucK//aceF//
ArcA_CRP_GlpR	malS//
